index,t_s,rpm,rev,force_x_N,force_y_N,axial_load_N,moment_x_Nm,moment_y_Nm,Moment_z_Nm,bearing,stress_inner_MPa,stress_outer_MPa,s0_static,L10_basic_rev,L10m_mod_rev,L10r_rev,L10mr_rev,dmg_ISO281_basic,dmg_ISO281_mod,dmg_ISO16281_basic,dmg_ISO16281_mod,shaft_DIN743_SF_inf,shaft_SF_offset_m
0,0.0,0.3365713,0.11219043333333334,4304259.489023335,554201.8301917514,350936.74475504353,14680618.713623747,-21012708.72581192,-493.929095,Main Bearing_UW,1625.4387991588374,1574.9908050520844,8.202252368708244,9695192.961269364,1125929.20379543,10229719.61696014,1172245.4842512005,1.157175868304168e-08,9.964252899307265e-08,1.0967107363072754e-08,9.570557945462902e-08,,
0,0.0,0.3365713,0.11219043333333334,4304259.489023335,554201.8301917514,350936.74475504353,14680618.713623747,-21012708.72581192,-493.929095,Main Bearing_DW,1246.0069904988552,1207.9759924490813,13.454355477028743,37354422.22897351,4454703.754486792,63841795.28772557,7501784.081924999,3.0034043264177213e-09,2.5184712500878376e-08,1.7573195244229517e-09,1.4955166945373433e-08,,
1,20.0,0.2461109695,0.08203698983333334,4390930.557101534,424419.6662062125,409885.6983437986,6973935.666605674,-23898619.178667188,1368.8005050000002,Main Bearing_UW,1633.1365422086346,1582.4654834746264,8.100361640528822,9299524.145135874,981527.5430956306,9804758.743347885,1029959.065379871,8.821633080682184e-09,8.358093505414799e-08,8.367058484635532e-09,7.965072845208303e-08,,
1,20.0,0.2461109695,0.08203698983333334,4390930.557101534,424419.6662062125,409885.6983437986,6973935.666605674,-23898619.178667188,1368.8005050000002,Main Bearing_DW,1235.0975026560723,1197.3979289531449,13.9489030046042,39071825.931425184,4166078.306474989,68065142.96187629,7219016.99633942,2.099645662255871e-09,1.969165814906313e-08,1.205271689200488e-09,1.1364011176997118e-08,,
2,40.0,0.24311006849999997,0.08103668949999998,4355873.8452962125,318772.38609576045,422014.98550109874,3779840.1693683383,-28941236.22503583,-2011.07405,Main Bearing_UW,1698.1584940278794,1645.1145273988063,7.335036397081973,6680161.196274131,701241.9718872311,6970156.027001486,728814.8084523942,1.2130948209033985e-08,1.1556166451632725e-07,1.1626237516932805e-08,1.1118968572013209e-07,,
2,40.0,0.24311006849999997,0.08103668949999998,4355873.8452962125,318772.38609576045,422014.98550109874,3779840.1693683383,-28941236.22503583,-2011.07405,Main Bearing_DW,1303.999492664273,1264.1978688491554,11.83951048733331,25523844.72327031,2702199.8950356077,43105832.924896106,4544184.669131304,3.1749405459326483e-09,2.998915426237634e-08,1.879947190469358e-09,1.7833053760002997e-08,,
3,60.0,0.26486747051,0.08828915683666666,4305117.314793437,289258.1460470996,420037.7449453713,8800950.684884015,-27059159.96038436,4688.5248815,Main Bearing_UW,1679.51929853737,1627.061431260632,7.537602917617137,7315155.263364863,786885.5728726351,7663864.073723089,819426.6858736604,1.2069348312923568e-08,1.1220075685763919e-07,1.1520188248038169e-08,1.0774503486243445e-07,,
3,60.0,0.26486747051,0.08828915683666666,4305117.314793437,289258.1460470996,420037.7449453713,8800950.684884015,-27059159.96038436,4688.5248815,Main Bearing_DW,1291.3883008266473,1251.9716636512337,12.136045962344406,27986681.427916016,3049307.9965203656,47117846.66041561,5099772.211330448,3.1546847404565956e-09,2.8953833767338498e-08,1.8737943920268253e-09,1.7312372627253764e-08,,
4,80.0,0.33585481500000003,0.11195160500000001,4390274.576712157,398648.59932414716,416760.3626544715,10014645.666166674,-22379822.152505446,-1832.3690000000001,Main Bearing_UW,1620.9283536395546,1570.747722356317,8.251294805827197,9889774.258046154,1148142.4793995915,10456647.633493127,1197837.474956626,1.1319935327029135e-08,9.750671803254234e-08,1.0706261597781476e-08,9.346143140500242e-08,,
4,80.0,0.33585481500000003,0.11195160500000001,4390274.576712157,398648.59932414716,416760.3626544715,10014645.666166674,-22379822.152505446,-1832.3690000000001,Main Bearing_DW,1227.4156778479414,1189.951231678161,14.143162136839486,41629446.47873181,4971972.144496923,72171704.2255565,8489851.981292935,2.6892407771310455e-09,2.2516539060644225e-08,1.5511841683843345e-09,1.3186520241658053e-08,,
