idx,dmg_UW,dmg_DW
0,3.5723619572825235e-10,5.483757131774567e-11
1,3.7425027369888994e-10,5.90038350009235e-11
2,3.8736716719008456e-10,6.382565671511775e-11
3,3.8962186735330794e-10,6.802259166199192e-11
4,4.091398669690485e-10,7.609035679237862e-11
5,4.62676095305269e-10,9.141146244419073e-11
6,5.20598657574886e-10,1.0689818660086336e-10
7,5.428289579149027e-10,1.1382222707961726e-10
8,5.294037336777737e-10,1.1098662456515781e-10
9,5.287863324961065e-10,1.0895558121180569e-10
10,5.490911843299372e-10,1.1120534478305198e-10
11,5.5532196469043e-10,1.1056182173596552e-10
12,5.435612539708966e-10,1.0777162382676616e-10
13,5.581375644223838e-10,1.0892829054924585e-10
14,6.163934013292661e-10,1.204191206271832e-10
15,6.535428831905507e-10,1.2726389045416423e-10
16,6.416581217551957e-10,1.2343221841062885e-10
17,5.985418811511239e-10,1.1073067784577514e-10
18,5.626620180651252e-10,9.994124549968573e-11
19,5.196177213406045e-10,8.889953176568057e-11
20,4.679084622585358e-10,7.72354094375285e-11
21,4.292283463789197e-10,7.021664076179424e-11
22,4.418920351459666e-10,7.307079867903115e-11
23,4.836115304090733e-10,8.144525833305277e-11
24,4.929771708299312e-10,8.31986846052952e-11
25,4.7013838722785e-10,7.750852294812878e-11
26,4.468935392269788e-10,7.071835584379913e-11
27,4.153682995495072e-10,6.227853391818691e-11
28,3.6322407003611005e-10,5.090492293108274e-11
29,3.104452610038554e-10,4.140587278130515e-11
30,2.918858943847246e-10,3.802192788586571e-11
31,3.2206482792492673e-10,4.2858750208270685e-11
32,3.669147902892791e-10,5.1388284533419614e-11
33,3.9676197695588726e-10,5.836205676994754e-11
34,4.2886209095598903e-10,6.655762425261855e-11
35,4.709029828211664e-10,7.721319427103129e-11
36,5.272557777791207e-10,9.21431023882518e-11
37,5.639855073730083e-10,1.0358241954074603e-10
38,5.93277735397299e-10,1.1490537377659868e-10
39,6.546786892133353e-10,1.3309675762896042e-10
40,7.515623135612348e-10,1.593407048610196e-10
41,8.380185377048193e-10,1.843017327877365e-10
42,8.988100098531308e-10,2.0343772005472916e-10
43,9.371201139326561e-10,2.1438237342540418e-10
44,9.898477261809945e-10,2.2516521266399642e-10
45,1.0377740371967747e-09,2.2958729838436918e-10
46,1.0319824134996804e-09,2.2217044691669547e-10
