t,rpm,Mx,My,Mz,Fx,Fy,Fz
-1.37845e-12,0.140168,65.7566,-28215.0,-13946.8,341.045,572.652,-4306.22
0.1,0.15733,24.7841,-28434.8,-12941.8,328.26,508.212,-4271.95
0.2,0.166495,29.8351,-28579.0,-11819.5,275.118,468.631,-4324.1
0.3,0.171859,0.573069,-28767.3,-11518.4,232.303,442.736,-4365.9
0.4,0.179419,41.0025,-28217.6,-11999.6,186.059,485.409,-4343.46
0.5,0.198461,62.2583,-27857.8,-12973.4,174.015,514.454,-4311.75
0.6,0.221385,60.3327,-28595.6,-14017.2,200.49,504.474,-4332.71
0.7,0.238756,28.4516,-30237.5,-15180.5,244.639,485.344,-4390.91
0.8,0.247744,24.5023,-31212.6,-16301.1,293.241,500.639,-4389.0
0.9,0.256951,24.6162,-31188.4,-16977.0,323.209,546.531,-4302.58
1.0,0.267938,33.3072,-30643.3,-16842.4,322.14,577.608,-4244.57
1.1,0.275446,7.61043,-30296.6,-15674.2,303.26,549.115,-4252.2
1.2,0.275023,-12.7112,-29655.7,-13552.0,290.425,484.348,-4297.0
1.3,0.265736,-28.9436,-28590.0,-11166.3,278.17,400.799,-4280.89
1.4,0.256108,-21.8269,-27651.8,-8690.3,283.239,341.697,-4251.76
1.5,0.250496,-4.29509,-27440.4,-6394.48,310.168,300.772,-4252.07
1.6,0.259377,48.5423,-27693.9,-4519.1,353.011,257.908,-4249.49
1.7,0.266739,-10.0141,-27653.1,-3214.53,421.123,242.148,-4260.24
1.8,0.260605,-18.5523,-27698.8,-2921.2,472.57,246.094,-4261.47
1.9,0.251459,-28.3381,-27904.8,-3597.47,501.526,287.423,-4296.31
2.0,0.239921,-35.2807,-27611.4,-4746.58,495.318,333.023,-4325.48
2.1,0.223331,-41.7505,-26679.5,-5851.83,477.477,367.566,-4343.14
2.2,0.213572,-7.82044,-25662.5,-6625.65,444.101,391.234,-4345.46
2.3,0.213653,7.34725,-25186.0,-7081.85,420.436,411.886,-4386.31
2.4,0.221949,41.1985,-24816.4,-6961.47,425.546,441.807,-4420.52
2.5,0.235279,25.0978,-24683.6,-6422.68,447.102,445.936,-4408.63
2.6,0.242133,14.6289,-24789.9,-5577.44,479.592,434.254,-4383.68
2.7,0.253149,38.6336,-25103.2,-4813.43,509.444,422.691,-4388.94
2.8,0.262601,14.5411,-25429.4,-4770.0,520.458,404.125,-4393.83
2.9,0.26884,16.0767,-25252.7,-5635.1,512.66,388.806,-4381.25
3.0,0.277282,25.3414,-24834.8,-7101.07,481.082,374.94,-4388.05
3.1,0.28979,45.391,-24683.2,-8927.32,439.116,353.52,-4403.22
3.2,0.307182,49.9653,-24985.9,-11009.9,406.686,324.71,-4440.96
3.3,0.325469,44.9297,-25494.7,-12813.2,392.134,334.04,-4472.09
3.4,0.337226,12.7015,-26461.9,-14095.3,399.326,345.337,-4471.58
3.5,0.341699,15.0439,-27424.8,-14463.8,418.326,348.305,-4473.32
3.6,0.343178,-13.9785,-28186.0,-13916.4,441.583,346.71,-4469.82
3.7,0.331586,-42.3845,-28442.2,-13226.2,458.72,343.7,-4456.38
3.8,0.317081,-33.313,-28006.0,-12716.0,458.696,375.465,-4453.88
