index,t_s,rpm,rev,force_x_N,force_y_N,axial_load_N,moment_x_Nm,moment_y_Nm,Moment_z_Nm,bearing,stress_inner_MPa,stress_outer_MPa,s0_static,L10_basic_rev,L10m_mod_rev,L10r_rev,L10mr_rev,dmg_ISO281_basic,dmg_ISO281_mod,dmg_ISO16281_basic,dmg_ISO16281_mod,shaft_DIN743_SF_inf,shaft_SF_offset_m
0,0.0,0.419968,0.0006999466666666667,4286200.0,136762.0,482871.0,12780400.0,-21448600.0,24872.800000000003,Main Bearing_UW,1609.0311051002063,1559.2376954915383,8.390687082127654,10457738.595685957,1312395.7289743512,11134927.421372725,1368875.9549033323,6.693097750171435e-11,5.333350689991053e-10,6.286046061900388e-11,5.113295066360456e-10,,
0,0.0,0.419968,0.0006999466666666667,4286200.0,136762.0,482871.0,12780400.0,-21448600.0,24872.800000000003,Main Bearing_DW,1229.0758236493166,1191.5613349625135,13.838998995725698,43592032.37856728,5711316.380317951,73078813.76854283,9344912.714956725,1.6056756899703688e-11,1.2255435000568125e-10,9.577969736667545e-12,7.490135949010927e-11,,
1,0.1,0.4226,0.0007043333333333333,4261350.0,144211.0,450505.0,13680600.0,-20104700.0,-13947.699999999999,Main Bearing_UW,1592.3899443669634,1543.2453288969334,8.610900499252761,11400955.96010184,1437467.101739454,12157618.63630083,1500288.168603415,6.177844522846853e-11,4.899822281017992e-10,5.793349457683262e-11,4.694653654364159e-10,,
1,0.1,0.4226,0.0007043333333333333,4261350.0,144211.0,450505.0,13680600.0,-20104700.0,-13947.699999999999,Main Bearing_DW,1218.012133084921,1180.8360017101045,14.200940860661433,47020229.3732875,6192683.171794448,79028881.34751208,10149048.17962776,1.4979368300008117e-11,1.1373637465280487e-10,8.912353576614387e-12,6.939895454897391e-11,,
2,0.2,0.408913,0.0006815216666666668,4247120.0,152037.0,413279.0,14931000.0,-19385600.0,-53644.6,Main Bearing_UW,1589.8775252558416,1540.810473902511,8.660019808017049,11619184.547937177,1448331.1782761733,12382325.029285733,1512102.9219293864,5.865486203914899e-11,4.70556511445003e-10,5.5039878621727636e-11,4.5071116309799254e-10,,
2,0.2,0.408913,0.0006815216666666668,4247120.0,152037.0,413279.0,14931000.0,-19385600.0,-53644.6,Main Bearing_DW,1221.0198508256751,1183.7527088949375,14.088537384478192,46252665.74297618,6002470.34590207,77519603.82646571,9823533.830291798,1.473475432646087e-11,1.1354019718430537e-10,8.791604097878409e-12,6.937642588099306e-11,,
3,0.30000000000000004,0.383056,0.0006384266666666667,4275390.0,157322.0,392016.0,16420800.0,-19678800.0,-83783.90000000001,Main Bearing_UW,1605.2048885739007,1555.523206201675,8.444155137848334,10681527.852996485,1298245.8871860416,11354761.543757817,1355727.0549987603,5.976922734771216e-11,4.917609776145424e-10,5.622545785804162e-11,4.709109140462278e-10,,
3,0.30000000000000004,0.383056,0.0006384266666666667,4275390.0,157322.0,392016.0,16420800.0,-19678800.0,-83783.90000000001,Main Bearing_DW,1241.436979248517,1203.5476264762094,13.417811176424172,40576839.13619854,5103916.220484396,67387899.24870585,8305792.771507258,1.573377030487146e-11,1.2508564778245434e-10,9.473906647697248e-12,7.686522939228245e-11,,
4,0.4,0.346416,0.0005773600000000001,4331210.0,201361.0,372083.0,17389300.0,-19969400.0,-94323.7,Main Bearing_UW,1620.5962985768938,1570.2416770444217,8.24941012032613,9882246.490927385,1158955.7787878064,10472122.675055288,1210749.092926075,5.842396266173467e-11,4.981725882620661e-10,5.513304397925723e-11,4.76861806771762e-10,,
4,0.4,0.346416,0.0005773600000000001,4331210.0,201361.0,372083.0,17389300.0,-19969400.0,-94323.7,Main Bearing_DW,1256.9406266967385,1218.5779333409082,12.970000249231688,36495324.12447015,4398613.363760895,60505975.88781049,7176576.789968941,1.58201088454748e-11,1.3125954755576577e-10,9.542197965214784e-12,8.045061272207174e-11,,
