index,t_s,rpm,rev,Fx,Fy,Fz,Mx,My,Mz
0,-0.0,3.49618,1.16539,1276.539,7.865,-4976.228,2739.038,-26594.61,5853.305
1,20.0,3.49446,1.16482,1288.03,-8.809,-4973.1,2613.384,-24611.672,4291.728
2,40.0,3.49624,1.16541,1295.979,-5.372,-4978.467,2879.148,-22858.651,5420.162
3,60.0,3.49029,1.16343,1246.491,4.162,-4974.602,2247.696,-25041.523,4829.112
4,80.0,3.4976,1.16587,1268.132,-8.946,-4981.187,2334.465,-23780.492,7638.849
5,100.0,3.49898,1.16633,1292.157,-10.083,-4978.589,2910.461,-22573.679,7253.82
6,120.0,3.51454,1.17151,1413.497,-14.51,-4985.337,4969.413,-20350.231,8751.079
7,140.0,3.49366,1.16455,1424.89,-13.035,-4987.005,5506.992,-21063.569,7105.544
8,160.0,3.50633,1.16878,1496.613,-10.69,-4970.624,6255.526,-24098.4,2934.661
9,180.0,3.50382,1.16794,1571.903,-6.449,-4969.498,7936.738,-26736.833,2379.373
10,200.0,3.49138,1.16379,1563.931,8.022,-4972.308,7591.921,-27395.559,2944.243
11,220.0,3.48449,1.1615,1498.44,-4.965,-4972.056,6499.608,-27296.325,4179.76
12,240.0,3.48163,1.16054,1399.153,-11.574,-4973.04,4549.007,-25598.801,2222.751
13,260.0,3.49299,1.16433,1366.673,-11.4,-4965.855,4185.651,-26465.814,809.671
14,280.0,3.48576,1.16192,1308.65,-11.941,-4961.888,3258.69,-26157.515,454.877
15,300.0,3.48638,1.16213,1235.556,-3.898,-4966.315,1855.311,-27636.249,-1325.964
16,320.0,3.4932,1.1644,1207.086,-6.23,-4964.145,1480.957,-27992.971,-3475.623
17,340.0,3.50466,1.16822,1282.867,-5.895,-4967.139,2687.171,-27641.561,-1077.444
18,360.0,3.49837,1.16612,1295.19,10.828,-4965.336,3107.61,-31490.696,-1765.454
19,380.0,3.49666,1.16555,1297.103,14.857,-4962.921,3429.136,-32255.301,-2176.649
20,400.0,3.49535,1.16512,1310.635,6.171,-4966.126,3565.409,-28187.844,742.221
21,420.0,3.49693,1.16564,1293.98,-10.843,-4966.721,3573.151,-24763.71,720.106
22,440.0,3.50187,1.16729,1346.031,-19.401,-4965.183,4381.608,-21160.209,795.619
23,460.0,3.49463,1.16488,1364.529,-19.407,-4969.585,4601.046,-23045.0,1657.989
24,480.0,3.49648,1.16549,1387.762,-16.261,-4970.423,4673.684,-23514.206,3774.214
25,500.0,3.48627,1.16209,1338.422,-13.588,-4977.885,4088.888,-21491.953,4720.737
26,520.0,3.4863,1.1621,1251.174,-6.615,-4971.442,2587.923,-22955.228,3513.151
27,540.0,3.49779,1.16593,1270.209,-12.668,-4968.774,2655.998,-22705.935,3392.16
28,560.0,3.49368,1.16456,1273.166,-8.304,-4975.538,2801.03,-22818.032,4612.919
29,580.0,3.49418,1.17055,1240.62,3.623,-4977.216,2417.428,-25004.639,7375.221
