index,t_s,rpm,rev,Fx,Fy,Fz,Mx,My,Mz
0,-0.0,3.51664,1.17221,1677.385,-17.352,-4986.865,10936.247,-23162.834,10843.102
1,20.0,3.49707,1.16569,1668.42,8.578,-4992.227,10951.645,-24724.747,9212.398
2,40.0,3.50073,1.16691,1678.535,-12.354,-4976.237,11150.335,-22540.355,6441.583
3,60.0,3.48668,1.16223,1651.975,-7.447,-4984.786,10213.946,-23628.343,8333.595
4,80.0,3.48478,1.16159,1608.426,9.442,-4987.695,9136.382,-26466.037,6633.505
5,100.0,3.4922,1.16407,1559.655,-14.063,-4984.376,8453.523,-21968.701,5684.882
6,120.0,3.4819,1.16063,1466.533,14.582,-4974.78,6825.228,-27021.131,2962.124
7,140.0,3.50511,1.16837,1555.871,6.164,-4974.076,7535.485,-26380.436,5183.493
8,160.0,3.51046,1.17015,1639.315,-10.307,-4983.069,9522.241,-26344.16,7062.56
9,180.0,3.50224,1.16741,1658.688,-10.488,-4980.903,10705.74,-27684.972,4651.816
10,200.0,3.55668,1.18556,1762.214,12.893,-4980.685,11704.257,-28484.223,4945.405
11,220.0,3.76333,1.25444,1930.247,24.631,-4986.335,13173.362,-30576.062,9012.711
12,240.0,4.00823,1.33608,2129.228,40.335,-4973.11,14943.853,-31930.299,8177.95
13,260.0,4.13313,1.37771,2211.413,16.588,-4979.532,15832.255,-27245.071,7310.799
14,280.0,4.27467,1.42489,2352.62,-16.802,-4988.131,16975.385,-21092.856,6854.202
15,300.0,4.30862,1.43621,2284.969,-22.978,-4988.743,17287.416,-19620.979,7465.382
16,320.0,4.22227,1.40742,2261.552,-11.017,-5001.853,16529.464,-19430.053,10706.739
17,340.0,4.12443,1.37481,2142.703,-10.195,-5003.452,15899.662,-22396.379,12297.773
18,360.0,3.90983,1.30328,1953.988,6.668,-4995.926,14279.844,-24272.806,10776.478
19,380.0,3.74519,1.2484,1851.546,-25.289,-4984.553,13072.897,-19905.737,6251.076
20,400.0,3.68633,1.22878,1812.209,-24.764,-4980.753,12612.917,-22341.899,3124.64
21,420.0,3.63385,1.21128,1765.716,-20.495,-4961.441,12261.101,-23084.481,-2490.921
22,440.0,3.58635,1.19545,1725.612,-17.522,-4960.283,11944.614,-23307.744,-4092.927
23,460.0,3.50455,1.16818,1654.686,-24.541,-4978.781,10657.149,-20732.241,4501.827
24,480.0,3.53708,1.17903,1698.395,-41.661,-4978.347,11482.08,-14682.839,4628.425
25,500.0,3.53121,1.17707,1676.936,-29.523,-4972.807,11420.485,-17350.075,1835.49
26,520.0,3.51332,1.17111,1723.129,-33.892,-4973.846,11228.5,-16620.834,1932.564
27,540.0,3.64364,1.21455,1845.496,-32.074,-4981.057,12331.58,-14047.554,3189.21
28,560.0,3.64808,1.21603,1748.465,-28.937,-4987.463,12408.227,-15657.579,5638.488
29,580.0,3.49065,1.16937,1551.115,-26.706,-4985.062,8757.201,-17782.843,6967.512
