index,t_s,rpm,rev,Fx,Fy,Fz,Mx,My,Mz
0,-0.0,4.73209,1.57736,2777.428,-11.01,-5031.245,20849.165,-5586.012,13947.836
1,20.0,4.58769,1.52923,2536.665,22.015,-5032.686,19783.134,-12473.195,17465.97
2,40.0,4.25497,1.41832,2206.486,-21.968,-5014.03,17019.816,-12837.497,11179.664
3,60.0,4.18903,1.39634,2250.643,18.824,-5027.858,16306.707,-17830.25,17633.678
4,80.0,4.1345,1.37817,2118.473,29.185,-5009.095,16073.351,-22754.52,15769.812
5,100.0,3.757,1.25233,1809.659,-13.619,-4985.669,13298.708,-22707.99,9407.814
6,120.0,3.77768,1.25923,1977.324,14.0,-4982.43,13321.348,-25085.842,7979.257
7,140.0,4.24374,1.41458,2420.165,23.283,-4980.965,16898.796,-25776.426,11213.564
8,160.0,4.81945,1.60648,2940.983,20.72,-5004.864,21731.689,-19576.606,13443.514
9,180.0,5.37625,1.79208,3447.575,51.222,-5028.743,26995.567,-18532.544,16881.76
10,200.0,5.51799,1.83933,3416.031,51.099,-5052.716,28499.143,-12724.177,17474.573
11,220.0,4.98452,1.66151,2805.544,-20.05,-5033.002,23615.982,-10616.207,11833.912
12,240.0,4.64828,1.54943,2642.414,-44.122,-4997.44,20095.672,-17618.425,4777.169
13,260.0,4.96586,1.65529,3053.545,-23.826,-4993.728,23002.962,-24410.903,7759.58
14,280.0,5.17414,1.72471,3135.927,-38.665,-4986.161,24811.945,-22211.978,2870.309
15,300.0,5.1611,1.72037,3081.455,-56.364,-4982.195,24757.621,-19898.343,-2329.312
16,320.0,5.04452,1.68151,2976.849,23.979,-4999.453,23707.122,-24817.658,10039.714
17,340.0,4.77332,1.59111,2648.827,-22.533,-4983.899,21344.412,-22756.934,5551.261
18,360.0,4.6032,1.5344,2462.156,-26.752,-5002.667,19795.584,-19183.472,8513.747
19,380.0,4.56579,1.52193,2563.173,17.698,-5004.478,19339.539,-25759.372,11098.551
20,400.0,4.70302,1.56767,2749.2,48.27,-4978.228,20558.314,-27244.784,9693.437
21,420.0,5.14902,1.71634,3277.189,60.294,-4994.199,24765.117,-27663.491,13957.653
22,440.0,5.4327,1.8109,3408.203,81.161,-4975.403,27363.098,-33789.802,10481.169
23,460.0,5.41252,1.80417,3393.734,88.947,-4951.182,27178.013,-34916.505,10235.449
24,480.0,5.47311,1.82437,3461.155,38.201,-4958.236,27838.267,-26696.512,5506.201
25,500.0,5.26845,1.75615,3220.937,36.34,-5009.043,26056.147,-17176.766,13654.868
26,520.0,4.79622,1.59874,2684.079,33.576,-5000.438,21931.257,-20024.99,8577.42
27,540.0,4.32306,1.44102,2296.032,22.129,-5005.597,17509.974,-19680.618,13355.643
28,560.0,4.20415,1.40138,2179.204,23.659,-5001.641,16452.444,-20302.416,10268.348
29,580.0,4.31511,1.44556,2433.763,-17.346,-5005.077,17408.731,-13356.134,8058.47
