index,t_s,rpm,rev,Fx,Fy,Fz,Mx,My,Mz
0,-0.0,6.15045,2.05015,4165.833,104.43,-4993.189,35263.389,-22675.406,13593.424
1,20.0,6.13274,2.04425,4195.493,156.784,-5005.693,34975.101,-20775.387,22607.658
2,40.0,6.20628,2.06876,4288.422,205.34,-5032.546,38092.719,-19438.641,32610.653
3,60.0,6.20035,2.06678,4219.785,92.456,-5030.076,39919.734,-9757.226,22250.02
4,80.0,6.07875,2.02625,4237.59,111.923,-5017.691,37908.729,-19239.65,18500.292
5,100.0,6.17409,2.05803,4261.399,153.507,-4977.442,38078.48,-29177.041,16519.862
6,120.0,6.19183,2.06394,4364.371,153.54,-4972.924,40527.371,-25958.898,22402.325
7,140.0,6.0797,2.02657,4180.209,112.461,-5017.873,40224.069,-17789.23,21807.0
8,160.0,6.01434,2.00478,4013.156,63.128,-4996.124,34171.815,-19401.247,17096.791
9,180.0,5.75476,1.91825,3730.61,34.511,-5015.136,30802.581,-14866.645,13547.083
10,200.0,5.70104,1.90035,3761.367,32.575,-5029.242,30187.679,-15384.336,16150.826
11,220.0,6.17107,2.05702,4281.65,62.837,-5013.794,38159.326,-22860.941,16060.511
12,240.0,6.06777,2.02259,3942.852,33.323,-4992.764,43667.188,-22945.254,10688.863
13,260.0,6.02024,2.00675,4307.982,38.379,-4971.771,41564.137,-30509.707,7069.595
14,280.0,5.84691,1.94897,3729.225,30.268,-4962.531,32126.399,-26535.611,5588.45
15,300.0,5.46216,1.82072,3335.12,54.019,-4956.728,27961.598,-32593.673,9482.78
16,320.0,5.23282,1.74427,3112.707,77.637,-4982.626,25460.525,-35049.39,17576.204
17,340.0,4.9577,1.65257,2809.496,34.386,-5006.435,23269.464,-24052.698,13851.482
18,360.0,4.81879,1.60626,2834.994,12.315,-5019.232,21593.368,-15790.461,14890.611
19,380.0,4.88077,1.62692,2812.106,-14.285,-5026.302,22118.607,-14113.063,14693.29
20,400.0,4.77794,1.59265,2684.544,-65.445,-5002.697,21315.812,-11633.471,3313.548
21,420.0,4.64364,1.54788,2672.117,-33.253,-4988.698,20066.56,-18690.747,2871.644
22,440.0,5.36293,1.78764,3600.662,89.974,-5025.017,27113.927,-20881.43,18304.461
23,460.0,6.15284,2.05095,4364.085,107.6,-5051.989,37907.663,-17710.246,22365.857
24,480.0,6.16654,2.05551,4328.188,70.677,-5008.855,38979.055,-19161.94,13289.106
25,500.0,6.18979,2.06326,4348.931,85.531,-5038.107,38531.251,-12710.057,19079.761
26,520.0,6.14611,2.0487,4256.003,128.757,-5060.321,40377.894,-15840.051,24920.212
27,540.0,5.83132,1.94377,3659.609,114.377,-5036.376,32264.958,-20848.481,19424.459
28,560.0,5.58214,1.86071,3618.331,62.399,-5021.557,28975.041,-19529.448,14113.131
29,580.0,5.97032,2.00006,4043.426,92.107,-4991.361,33191.249,-21756.277,12443.72
