index,t_s,rpm,rev,Fx,Fy,Fz,Mx,My,Mz
0,-0.0,5.70288,1.90096,3684.87,120.991,-5081.528,41730.332,-16952.347,33142.689
1,20.0,6.04709,2.0157,4209.917,101.669,-5117.96,41022.475,-5026.088,22734.895
2,40.0,6.03409,2.01136,4143.644,103.325,-5098.826,38683.62,-4596.148,23872.134
3,60.0,6.15377,2.05126,4205.278,77.633,-5028.669,35754.652,-18385.478,12604.42
4,80.0,6.23697,2.07899,4312.122,56.973,-4992.338,39899.879,-20858.672,8122.361
5,100.0,6.46867,2.15622,3692.04,-45.363,-5064.734,41521.272,-8733.294,17009.503
6,120.0,6.2997,2.0999,3508.528,-72.195,-5029.638,42424.408,-5835.126,8905.301
7,140.0,5.91127,1.97042,3739.249,-66.517,-5019.362,44588.124,-9618.687,-2666.973
8,160.0,5.92874,1.97625,4249.622,75.468,-5076.579,43091.232,-13087.217,15729.69
9,180.0,6.35758,2.11919,4323.422,85.043,-5080.093,42557.831,-15381.936,19481.082
10,200.0,6.38479,2.12826,3370.586,38.166,-4973.427,42553.135,-24758.36,7056.86
11,220.0,6.29541,2.09847,3871.869,-48.198,-4965.378,43205.166,-23282.207,6165.868
12,240.0,6.30874,2.10291,3044.354,-40.03,-4997.74,42527.101,-21520.411,6561.393
13,260.0,6.12995,2.04332,3553.241,-40.568,-4951.319,43904.243,-22524.171,-8330.074
14,280.0,6.221,2.07367,3199.026,-77.827,-5003.174,43028.777,-16664.523,3137.582
15,300.0,6.27448,2.09149,3374.021,-41.471,-5019.357,42833.036,-19149.735,18795.916
16,320.0,6.14898,2.04966,3220.712,-50.737,-5050.522,43405.093,-14727.867,15265.17
17,340.0,6.1057,2.03523,3466.167,66.701,-5044.601,43796.169,-29538.283,22979.525
18,360.0,6.25808,2.08603,3216.27,-34.285,-4983.205,42762.135,-24535.716,9890.955
19,380.0,6.09378,2.03126,3312.529,-58.037,-4945.248,43804.518,-19857.129,-5129.99
20,400.0,6.05974,2.01991,3616.666,-74.458,-5028.619,44106.524,-8385.775,8729.026
21,420.0,5.97134,1.99045,3806.987,70.225,-5071.711,44683.985,-10571.25,25970.158
22,440.0,5.84654,1.94885,4053.269,126.831,-5030.326,42647.47,-18834.879,25897.825
23,460.0,5.89405,1.96468,3931.525,153.911,-5003.198,32546.9,-25958.609,21787.166
24,480.0,6.09828,2.03276,4097.901,142.279,-4988.404,35085.58,-22368.766,23283.959
25,500.0,6.11346,2.03782,4181.715,181.291,-4977.348,36272.466,-30733.844,23866.254
26,520.0,6.40398,2.13466,3823.41,126.614,-5002.807,41780.629,-27594.341,21400.126
27,540.0,6.29528,2.09843,3736.498,123.135,-5076.56,42713.486,-22109.162,36808.051
28,560.0,6.19375,2.06458,3255.351,111.418,-5060.718,43365.351,-28849.911,28690.688
29,580.0,5.84104,1.95675,3921.56,144.18,-5026.945,45018.178,-23941.267,26661.893
