index,t_s,rpm,rev,Fx,Fy,Fz,Mx,My,Mz
0,-0.0,5.71625,1.90542,3847.718,128.631,-5067.422,44141.927,-16229.911,22462.711
1,20.0,6.13018,2.04339,3579.135,103.674,-5077.925,43429.871,-16163.886,29485.408
2,40.0,6.22193,2.07398,3275.747,94.373,-5079.177,42980.487,-15924.39,27233.0
3,60.0,6.42319,2.14106,2921.978,-68.602,-5059.415,41671.43,-4960.987,25243.018
4,80.0,6.15868,2.05289,3161.769,39.221,-5063.104,43845.004,-9301.505,31056.853
5,100.0,6.12517,2.04172,2716.716,-74.895,-5016.632,43839.549,-9159.672,19783.318
6,120.0,5.96081,1.98694,3363.943,32.269,-5031.851,44686.38,-16592.149,19553.305
7,140.0,5.94296,1.98099,3681.074,30.663,-5059.689,44856.316,-12250.914,23058.569
8,160.0,6.49901,2.16634,3611.949,-95.58,-5028.326,41940.761,-7925.889,9452.132
9,180.0,6.23176,2.07725,3080.163,-43.504,-5009.499,43132.499,-25227.575,12536.805
10,200.0,6.16099,2.05366,3135.25,-64.286,-5039.529,43568.94,-12904.453,10819.951
11,220.0,6.20517,2.06839,3244.969,-78.773,-5046.005,43158.374,-10219.272,10537.832
12,240.0,6.2021,2.06737,3035.895,-69.203,-5042.944,43304.14,-17746.362,14373.536
13,260.0,6.01357,2.00452,3405.579,-35.366,-5072.948,44412.86,-20048.636,23140.47
14,280.0,6.55858,2.18619,3022.801,-80.522,-5045.125,41392.123,-16497.809,17919.125
15,300.0,6.37356,2.12452,2495.371,-98.007,-5053.779,41906.908,-7413.036,21958.021
16,320.0,5.84062,1.94687,2637.846,-85.027,-5013.138,44737.739,-14863.212,9145.327
17,340.0,6.01686,2.00562,3204.074,38.805,-5000.255,44391.522,-27524.983,14410.126
18,360.0,6.24105,2.08035,3077.262,-49.236,-4968.017,42883.907,-22455.293,-4167.663
19,380.0,6.25212,2.08404,3070.21,-60.901,-5001.592,42902.447,-24812.276,3298.265
20,400.0,6.31071,2.10357,2716.218,-71.937,-5045.427,42599.936,-18776.552,12054.412
21,420.0,6.21689,2.0723,2874.865,32.371,-4972.687,43170.155,-33327.358,7381.139
22,440.0,6.01619,2.0054,2849.312,-97.034,-5027.927,44474.159,-13388.018,17253.666
23,460.0,5.69061,1.89687,3558.128,-95.22,-5007.026,45080.489,-7306.675,-2638.284
24,480.0,6.46222,2.15407,3951.891,44.224,-5024.406,42802.68,-15919.675,11375.424
25,500.0,6.29363,2.09788,3042.936,73.31,-4994.681,42773.245,-30701.64,12632.617
26,520.0,6.20067,2.06689,3021.514,48.641,-5033.302,43244.463,-27459.099,18289.613
27,540.0,6.14948,2.04983,3322.039,-30.617,-5045.487,43744.769,-9341.539,18716.386
28,560.0,6.33984,2.11328,2843.745,-58.614,-5012.543,42323.905,-8910.676,11619.711
29,580.0,5.92961,1.98642,3177.522,37.78,-5046.726,44640.781,-13859.299,22985.89
