index,t_s,rpm,rev,Fx,Fy,Fz,Mx,My,Mz
0,-0.0,6.32282,2.10761,2951.997,-59.144,-5039.618,42598.649,-17812.256,17303.28
1,20.0,6.23501,2.07834,2848.423,48.13,-5054.365,43039.588,-21654.807,25002.427
2,40.0,6.39667,2.13222,2726.098,-96.465,-5085.665,42158.328,-9130.681,30172.311
3,60.0,6.15015,2.05005,2329.726,-109.17,-5000.634,43727.916,-11238.726,10257.691
4,80.0,6.00481,2.0016,2803.331,-66.948,-5039.389,44529.596,-17164.144,14063.044
5,100.0,6.10889,2.0363,2889.646,-81.06,-5026.117,43914.256,-13418.308,9978.938
6,120.0,6.39249,2.13083,3042.739,-55.156,-5029.338,42870.256,-20514.85,8164.886
7,140.0,6.15809,2.0527,2495.985,-100.863,-5097.31,43882.452,-17050.961,20299.098
8,160.0,6.28862,2.09621,2654.713,-119.861,-5089.743,42864.047,-5158.48,27657.492
9,180.0,6.2993,2.09977,2543.866,-118.883,-5055.485,42761.651,-6500.523,17233.127
10,200.0,5.92859,1.9762,2649.632,41.272,-5075.673,44895.512,-30131.759,27495.181
11,220.0,6.18544,2.06181,2655.222,55.037,-4980.582,43422.331,-33230.532,11645.545
12,240.0,6.20038,2.06679,2779.019,-94.129,-5053.889,43382.889,-17387.692,19879.916
13,260.0,6.03757,2.01252,2835.076,-129.302,-5035.695,44310.037,4751.801,5746.609
14,280.0,6.28666,2.09555,2886.207,-148.817,-5006.985,42889.057,4862.477,10183.219
15,300.0,6.18684,2.06228,2747.484,-104.076,-5041.723,43288.747,-15629.264,16770.218
16,320.0,6.30554,2.10185,2647.193,-42.133,-5053.825,42655.545,-30110.865,19224.963
17,340.0,6.16339,2.05446,2788.631,-55.804,-5078.57,43608.158,-23825.993,19185.413
18,360.0,6.31319,2.1044,2650.546,-91.095,-5089.227,42551.898,-15242.281,25438.979
19,380.0,6.24174,2.08058,2525.127,-65.415,-4997.587,42975.912,-31196.983,7293.502
20,400.0,6.09553,2.03184,2662.522,-105.007,-5041.169,43958.978,-15859.228,9085.949
21,420.0,6.28287,2.09429,2506.552,-90.968,-5058.459,42620.215,-16280.521,20758.594
22,440.0,6.07813,2.02604,2607.774,-117.384,-5025.044,43953.693,-6610.844,11307.602
23,460.0,6.00655,2.00218,2775.013,-136.498,-5029.778,44514.006,5201.446,15417.035
24,480.0,6.368,2.12267,2898.158,-205.736,-5066.106,42864.103,18280.594,17417.625
25,500.0,5.92637,1.97546,2970.502,-90.737,-5077.796,44874.59,-8858.955,20111.07
26,520.0,6.45614,2.15205,2829.395,-116.299,-4987.239,41962.413,-8086.087,4601.073
27,540.0,6.0018,2.0006,2581.343,-140.024,-4931.292,44368.106,-4957.357,-16289.452
28,560.0,5.98417,1.99472,3178.665,-94.437,-5044.749,44761.858,-5938.125,18569.16
29,580.0,6.21831,2.08313,2888.617,53.482,-4977.059,43490.447,-19448.048,-4746.327
