index,t_s,rpm,rev,Fx,Fy,Fz,Mx,My,Mz
0,-0.0,6.08821,2.0294,2571.905,-94.848,-5012.929,43984.835,-16750.18,6906.777
1,20.0,6.2314,2.07713,2539.13,-77.759,-5062.983,42948.766,-30164.26,17891.927
2,40.0,6.15303,2.05101,2613.953,-47.593,-5054.003,43681.281,-28724.772,22382.103
3,60.0,6.17406,2.05802,2852.019,-95.989,-5015.066,44047.726,-19932.55,12567.596
4,80.0,6.43907,2.14636,2187.413,-129.138,-4986.886,41899.219,-12982.814,-11591.936
5,100.0,6.12537,2.04179,2416.068,-175.972,-4972.805,43742.998,-7957.337,-15510.215
6,120.0,6.26141,2.08714,2242.283,-187.575,-5043.3,43231.773,7325.372,23920.314
7,140.0,5.98128,1.99376,2605.045,-74.693,-5057.255,44699.276,-21896.205,19529.932
8,160.0,6.44346,2.14782,2341.164,-115.772,-5066.677,41585.305,-23047.444,24374.351
9,180.0,5.96618,1.98873,2344.119,-159.863,-5078.533,44882.533,-12009.293,31427.057
10,200.0,6.15783,2.05261,2543.258,-145.152,-5067.826,43807.401,5691.754,21472.008
11,220.0,6.07611,2.02537,2837.437,-102.818,-5081.16,44508.671,-8396.676,24958.141
12,240.0,6.12758,2.04253,2641.607,-125.622,-5021.47,44111.921,-11070.765,14921.078
13,260.0,6.14088,2.04696,2593.763,-74.86,-5119.161,43897.989,-26532.047,30801.982
14,280.0,6.37432,2.12477,2842.911,-124.058,-5071.957,42855.363,-16575.954,15776.883
15,300.0,6.29616,2.09872,2498.002,-129.73,-5092.68,42940.641,-13817.745,23490.548
16,320.0,6.28679,2.0956,2357.2,-189.564,-5070.839,42945.993,-7052.009,20369.28
17,340.0,6.26539,2.08846,2071.65,-201.502,-5024.334,42997.182,7392.911,11968.993
18,360.0,6.15562,2.05187,2273.559,-140.256,-5029.392,43540.442,-11128.208,7916.455
19,380.0,6.04275,2.01425,2372.692,-130.222,-4964.447,44442.506,-9971.606,-6292.994
20,400.0,6.08086,2.02695,2460.777,-138.501,-5057.153,44095.159,-10281.159,23183.01
21,420.0,6.07032,2.02344,2539.193,-148.921,-5082.557,44051.776,-6456.364,23058.374
22,440.0,6.12243,2.04081,2928.932,-163.602,-5085.057,44384.913,8503.303,14003.735
23,460.0,6.51752,2.17251,2305.134,-212.639,-5037.387,41129.295,12872.473,12464.109
24,480.0,6.06315,2.02105,2146.679,-241.344,-4983.651,44283.784,18943.953,-5229.088
25,500.0,6.01495,2.00498,2915.187,-109.892,-5072.077,44493.422,-8638.379,17938.731
26,520.0,6.43649,2.1455,2425.332,-66.545,-5033.887,41674.902,-15503.782,10282.385
27,540.0,6.13209,2.04403,2456.811,-98.89,-4955.209,44070.104,-18867.004,-10811.401
28,560.0,6.42198,2.14066,2156.172,-194.161,-4918.521,42230.941,5981.613,-9151.561
29,580.0,5.88757,1.97233,2443.558,-157.461,-5015.434,45078.569,5323.352,8067.356
