index,t_s,rpm,rev,Fx,Fy,Fz,Mx,My,Mz
0,-0.0,6.35031,2.11677,2187.521,-207.62,-4945.216,42272.869,8827.643,5850.715
1,20.0,6.21343,2.07114,2114.06,-151.549,-4942.261,43096.609,-14114.571,-7094.052
2,40.0,6.08799,2.02933,2294.292,-98.222,-5055.791,44041.127,-20775.938,15051.162
3,60.0,6.28023,2.09341,2281.545,-160.182,-5082.301,42833.938,-16726.93,21742.085
4,80.0,6.38436,2.12812,2009.884,-237.661,-4990.006,42104.95,-4564.449,5594.416
5,100.0,6.2008,2.06693,2041.521,-266.364,-5031.599,43407.739,13174.678,10860.819
6,120.0,6.15395,2.05132,2141.358,-151.659,-5008.501,43867.159,-10382.745,-6135.155
7,140.0,5.83644,1.94548,2122.09,-156.889,-4997.494,44979.387,-10172.009,-6436.344
8,160.0,5.94472,1.98157,2677.71,-124.538,-5018.291,44851.261,-12829.752,9242.476
9,180.0,6.38374,2.12791,2414.288,-80.275,-5032.011,41981.917,-22894.474,13541.809
10,200.0,6.4417,2.14723,2226.294,-206.268,-5021.526,41636.905,-10753.435,14507.384
11,220.0,6.28176,2.09392,2169.019,-147.295,-5063.029,42985.572,-20314.735,21748.599
12,240.0,6.20721,2.06907,1989.452,-200.655,-5088.308,43166.697,-8120.861,30536.557
13,260.0,5.91455,1.97152,2246.759,-181.002,-5082.302,44842.489,9720.424,23120.461
14,280.0,6.1638,2.0546,2367.597,-211.592,-5081.641,43620.578,10908.644,23086.029
15,300.0,6.18887,2.06296,2322.041,-209.411,-5115.632,43323.858,12085.611,27492.375
16,320.0,6.2641,2.08803,2120.131,-250.485,-4993.349,42805.133,14771.916,9129.301
17,340.0,5.83296,1.94432,2494.373,-115.408,-5084.369,45084.337,-12531.264,24893.004
18,360.0,6.28777,2.09592,2746.824,-201.138,-5054.634,43160.427,12067.295,18284.49
19,380.0,6.36902,2.12301,2289.222,-198.742,-4923.061,42344.888,14763.663,-14494.533
20,400.0,6.32186,2.10729,2033.175,-284.163,-4928.955,43015.762,26945.381,-7483.07
21,420.0,6.3892,2.12973,2225.113,-177.095,-5009.045,42643.134,8119.149,17271.37
22,440.0,6.03001,2.01,2203.739,-137.247,-5063.206,44577.229,-4248.191,23952.008
23,460.0,6.23688,2.07896,2136.843,-104.962,-5050.691,43140.05,-18109.466,14180.576
24,480.0,5.65984,1.88661,2472.892,79.973,-5081.275,45088.397,-36409.638,28600.73
25,500.0,6.48839,2.1628,2704.789,-55.217,-5042.703,42557.509,-23673.405,17871.827
26,520.0,6.10311,2.03437,2228.87,-209.037,-4974.252,44163.515,13255.403,4688.802
27,540.0,6.32531,2.10844,2234.707,-235.084,-4985.206,42489.395,16800.54,4139.125
28,560.0,5.92394,1.97465,2533.411,-78.007,-5064.56,44821.405,-18572.76,16725.269
29,580.0,6.36528,2.13237,2291.525,-185.773,-5019.805,42309.587,-10102.496,13387.996
