index,t_s,rpm,rev,Fx,Fy,Fz,Mx,My,Mz
0,-0.0,6.22385,2.07462,1878.591,-172.57,-4907.52,43535.303,-5805.264,-27337.772
1,20.0,5.89479,1.96493,2225.992,-206.946,-5078.603,45057.361,-16993.551,17794.41
2,40.0,6.11312,2.03771,2219.234,-338.041,-4999.804,43966.475,33481.992,11918.37
3,60.0,6.39188,2.13063,2260.49,-210.397,-5049.39,42438.66,6484.278,22402.05
4,80.0,6.07419,2.02473,2222.341,-167.672,-5071.19,44267.721,-12517.57,11594.581
5,100.0,6.38504,2.12835,2091.771,-76.057,-5017.33,42188.537,-22103.957,11212.309
6,120.0,6.27474,2.09158,2094.465,-195.461,-4981.998,43273.94,-11197.0,8045.172
7,140.0,6.10014,2.03338,2188.695,-155.656,-5006.2,44223.701,-17402.288,11050.93
8,160.0,5.98663,1.99554,2228.175,-182.157,-5049.69,44726.929,-17039.785,13218.437
9,180.0,6.25713,2.08571,2209.092,-259.263,-5027.631,43089.871,13152.575,8627.491
10,200.0,5.89162,1.96387,2478.501,-228.254,-5158.216,44808.857,8852.224,29527.883
11,220.0,6.67558,2.22519,2286.15,-330.845,-5152.943,41926.872,15315.644,42100.715
12,240.0,6.08226,2.02742,1863.925,-307.299,-5021.504,44356.028,19663.176,9849.637
13,260.0,5.83141,1.9438,2269.628,-208.017,-5095.316,45120.129,-8499.34,21600.939
14,280.0,6.31567,2.10522,2388.147,-175.041,-5088.627,43084.823,-15965.538,19771.622
15,300.0,6.15372,2.05124,2423.285,-182.258,-5043.547,44398.548,5185.383,12210.629
16,320.0,6.37713,2.12571,1866.475,-332.944,-5020.219,43496.833,19888.033,17082.729
17,340.0,6.09448,2.03149,2076.09,-289.892,-5086.913,44244.99,25320.548,28589.375
18,360.0,6.1592,2.05307,2209.074,-193.081,-5115.183,43798.204,-13005.97,21869.963
19,380.0,6.17392,2.05797,2267.108,-178.515,-5016.004,43771.95,-19141.196,11375.692
20,400.0,6.46268,2.15423,2161.958,-287.803,-5104.383,42245.748,8455.455,29891.412
21,420.0,6.09204,2.03068,1985.97,-224.792,-4986.056,44591.296,7755.646,13082.172
22,440.0,6.15081,2.05027,2088.383,-309.151,-4931.746,43861.41,20387.049,-16636.431
23,460.0,6.28421,2.09474,2034.771,-334.0,-5033.754,42797.708,17438.318,19653.393
24,480.0,6.1173,2.0391,2029.651,-241.274,-5078.063,44037.575,13027.106,29419.774
25,500.0,6.30535,2.10178,2197.025,-117.263,-5041.989,43196.301,-18484.069,11765.724
26,520.0,6.32424,2.10808,1900.038,-247.563,-4944.206,42590.243,14499.807,-7033.828
27,540.0,5.72556,1.90852,1982.414,-150.39,-5028.794,45095.439,-19657.797,8947.013
28,560.0,6.13612,2.04537,2496.214,-120.381,-4974.27,44074.128,-16821.156,-11533.264
29,580.0,6.47296,2.16844,2269.184,-152.029,-4990.585,42202.567,-8085.46,-16437.302
