index,t_s,rpm,rev,Fx,Fy,Fz,Mx,My,Mz
0,-0.0,6.17106,2.05702,1947.564,-248.442,-5067.509,44112.384,13117.016,17862.54
1,20.0,6.48393,2.16131,1987.82,-301.12,-5083.739,42104.729,23853.677,36572.975
2,40.0,5.8911,1.9637,1983.84,-224.441,-5170.486,44969.618,-12901.724,36577.868
3,60.0,6.39078,2.13026,2068.81,-200.714,-5037.7,42579.565,-17109.575,8379.451
4,80.0,6.0041,2.00137,1972.167,-209.669,-5048.764,44784.514,-23185.357,17131.093
5,100.0,6.28303,2.09434,2004.657,-128.968,-4986.548,43469.541,-18123.229,-9983.432
6,120.0,6.09787,2.03262,2218.474,-207.163,-5007.75,44746.067,-9655.952,-15377.256
7,140.0,6.55999,2.18666,1767.879,-358.438,-4886.045,41897.064,28727.719,-11532.864
8,160.0,5.97618,1.99206,1964.281,-275.659,-4950.811,44839.113,17927.971,-22417.731
9,180.0,6.22238,2.07413,1908.194,-226.142,-5070.352,43483.625,-16397.646,19411.096
10,200.0,6.23169,2.07723,1891.826,-370.623,-5167.465,43678.775,16390.254,38723.041
11,220.0,5.96178,1.98726,2100.178,-298.983,-5057.151,44664.351,13216.846,19186.463
12,240.0,6.5146,2.17153,1848.53,-350.744,-4999.176,41863.449,24279.504,18596.166
13,260.0,6.13647,2.04549,1728.394,-373.552,-4928.958,43865.991,26070.573,-6516.94
14,280.0,5.86281,1.95427,2009.655,-335.099,-4999.858,44933.773,17515.461,7877.511
15,300.0,5.97155,1.99052,2106.154,-306.304,-5088.086,44829.651,28227.032,22378.042
16,320.0,6.32275,2.10758,2075.159,-295.049,-5006.276,42794.875,25770.493,-10518.583
17,340.0,6.22581,2.07527,2048.021,-313.851,-4994.464,43926.572,24496.5,10717.95
18,360.0,6.22089,2.07363,2031.266,-367.425,-5013.059,43668.345,35289.997,21111.225
19,380.0,6.13686,2.04562,1974.855,-353.945,-5066.763,43612.092,22665.415,27423.603
20,400.0,6.32437,2.10812,1992.83,-326.987,-5021.708,42699.465,20428.985,19843.016
21,420.0,5.98509,1.99503,2108.928,-196.947,-5048.032,44795.786,10826.172,18066.011
22,440.0,6.45148,2.15049,2148.354,-279.605,-5072.895,42115.186,11291.953,21687.581
23,460.0,6.38558,2.12853,1705.601,-239.874,-4999.172,42473.571,-10836.598,-16405.166
24,480.0,6.07212,2.02404,1862.57,-189.674,-5032.907,44185.843,-13708.047,-10643.992
25,500.0,6.34539,2.11513,2039.991,-283.656,-4952.979,43266.178,20217.61,10579.551
26,520.0,5.96436,1.98812,1766.774,-424.286,-4943.147,44762.956,26700.352,-7235.148
27,540.0,6.19226,2.06409,2086.248,-248.491,-4938.872,44166.846,10425.138,-16041.644
28,560.0,6.21709,2.07236,2070.607,-157.221,-4888.223,43568.384,-16764.578,-29219.669
29,580.0,6.04853,2.02626,2257.314,-213.912,-5053.545,44650.33,-16086.852,10402.778
