index,t_s,rpm,rev,Fx,Fy,Fz,Mx,My,Mz
0,-0.0,5.82968,1.94323,3883.157,93.986,-5038.72,31226.609,-19752.349,23444.703
1,20.0,6.08066,2.02689,3757.777,30.726,-5073.5,32407.189,-14163.234,17644.949
2,40.0,6.68743,2.22914,4585.235,66.609,-5045.096,38031.293,-8143.922,20576.841
3,60.0,6.86367,2.28789,4317.424,104.106,-4998.739,38922.385,-15839.986,22312.866
4,80.0,7.25333,2.41778,4316.552,73.283,-5018.785,36796.702,-12477.761,11719.946
5,100.0,6.87022,2.29007,1868.247,-84.771,-4983.487,27649.954,-6549.502,7774.545
6,120.0,5.2759,1.75863,773.48,-74.785,-5002.93,15195.99,-17857.875,13795.494
7,140.0,3.06912,1.02304,109.122,-45.015,-4949.471,684.712,-27876.327,-2260.639
8,160.0,1.00796,0.33599,397.011,-13.318,-4922.118,-19.463,-29976.681,-3410.682
9,180.0,0.23324,0.07775,468.871,-12.964,-4904.99,-6.23,-28469.708,-569.439
10,200.0,0.10888,0.03629,463.045,6.328,-4886.778,-1.246,-28516.121,-408.83
11,220.0,0.1117,0.03723,458.571,7.556,-4882.663,1.949,-28686.836,-584.369
12,240.0,0.14603,0.04868,465.196,-7.636,-4891.397,-2.11,-28246.254,-871.849
13,260.0,0.13778,0.04593,462.293,-16.973,-4903.114,1.835,-27940.374,-838.901
14,280.0,0.1068,0.03578,463.836,-10.651,-4926.657,-1.793,-27980.392,-661.083
