index,t_s,rpm,rev,Fx,Fy,Fz,Mx,My,Mz
0,-0.0,6.27562,2.09187,1821.066,-325.023,-5009.538,43058.642,21647.161,15940.765
1,20.0,6.49596,2.16532,1871.094,-350.106,-5019.339,41640.459,21831.665,19384.665
2,40.0,6.60288,2.20096,2108.662,-298.844,-5081.712,40604.679,16468.042,24769.297
3,60.0,6.92306,2.30769,1962.462,-337.213,-5010.235,38813.249,26021.987,20073.058
4,80.0,7.13087,2.37696,1613.643,-386.598,-4897.721,32927.1,29477.041,6710.041
5,100.0,5.51464,1.83821,972.441,-279.227,-4878.294,21944.525,12142.957,-11413.22
6,120.0,4.50184,1.50061,510.375,-161.105,-4809.11,6126.169,-7787.146,-29641.564
7,140.0,1.99688,0.66563,376.475,-66.15,-4749.966,-46.309,-27503.017,-18261.782
8,160.0,0.48826,0.16275,482.865,68.68,-4629.495,-25.714,-32742.34,-6682.392
9,180.0,0.25178,0.08393,467.155,171.947,-4666.854,8.102,-31836.58,-6199.602
10,200.0,0.17081,0.05694,435.491,194.532,-4611.707,-7.723,-28015.398,-4653.827
11,220.0,0.1896,0.0632,450.104,54.487,-4579.588,10.016,-25015.802,3636.661
12,240.0,0.19179,0.06393,454.358,-47.183,-4579.405,11.136,-26866.935,3625.304
13,260.0,0.25189,0.08396,403.6,-259.269,-4501.522,-7.833,-29584.355,4325.29
14,280.0,0.11934,0.03998,468.022,-168.998,-4584.124,-10.087,-28619.91,-3061.856
