index,t_s,rpm,rev,Fx,Fy,Fz,Mx,My,Mz
0,-0.0,6.23711,2.07904,1870.109,-167.058,-4901.525,41302.773,3045.161,-1447.988
1,20.0,5.94394,1.98131,1251.533,-148.694,-4839.174,27960.709,3222.816,-9126.513
2,40.0,4.83345,1.61115,695.079,-87.268,-4771.84,13243.277,-5509.582,-21316.991
3,60.0,3.08124,1.02708,302.638,103.132,-4695.801,-34.284,-28760.298,-25495.642
4,80.0,0.93551,0.31184,387.488,187.53,-4583.615,-22.784,-30572.857,-10846.745
5,100.0,0.2092,0.06973,438.929,220.612,-4659.857,-1.984,-25876.488,-6639.175
6,120.0,0.14987,0.04996,419.643,283.42,-4632.937,-1.13,-22946.777,-4371.674
7,140.0,0.11068,0.03689,400.998,300.066,-4584.636,-0.83,-22856.27,-1656.562
8,160.0,0.10809,0.03603,392.227,295.701,-4550.673,0.668,-24950.303,1772.319
9,180.0,0.13886,0.04652,392.122,254.418,-4523.12,1.252,-27315.335,1326.881
