DLC,k,dt_s,n_raw,n_bins,T_s,file
DLC1.2-a-s1,0.21,20.0,6001,30,600.0,DLC1.2-a-s1.csv
DLC1.2-a-s2,0.18,20.0,6001,30,600.0,DLC1.2-a-s2.csv
DLC1.2-a-s3,0.18,20.0,6001,30,600.0,DLC1.2-a-s3.csv
DLC1.2-a-s4,0.18,20.0,6001,30,600.0,DLC1.2-a-s4.csv
DLC1.2-a-s5,0.2,20.0,6001,30,600.0,DLC1.2-a-s5.csv
DLC1.2-a-s6,0.2,20.0,6001,30,600.0,DLC1.2-a-s6.csv
DLC1.2-b-s1,0.23,20.0,6001,30,600.0,DLC1.2-b-s1.csv
DLC1.2-b-s2,0.22,20.0,6001,30,600.0,DLC1.2-b-s2.csv
DLC1.2-b-s3,0.22,20.0,6001,30,600.0,DLC1.2-b-s3.csv
DLC1.2-b-s4,0.23,20.0,6001,30,600.0,DLC1.2-b-s4.csv
DLC1.2-b-s5,0.22,20.0,6001,30,600.0,DLC1.2-b-s5.csv
DLC1.2-b-s6,0.22,20.0,6001,30,600.0,DLC1.2-b-s6.csv
DLC1.2-c-s1,0.24,20.0,6001,30,600.0,DLC1.2-c-s1.csv
DLC1.2-c-s2,0.26,20.0,6001,30,600.0,DLC1.2-c-s2.csv
DLC1.2-c-s3,0.25,20.0,6001,30,600.0,DLC1.2-c-s3.csv
DLC1.2-c-s4,0.27,20.0,6001,30,600.0,DLC1.2-c-s4.csv
DLC1.2-c-s5,0.25,20.0,6001,30,600.0,DLC1.2-c-s5.csv
DLC1.2-c-s6,0.25,20.0,6001,30,600.0,DLC1.2-c-s6.csv
DLC1.2-d-s1,0.26,20.0,6001,30,600.0,DLC1.2-d-s1.csv
DLC1.2-d-s2,0.25,20.0,6001,30,600.0,DLC1.2-d-s2.csv
DLC1.2-d-s3,0.24,20.0,6001,30,600.0,DLC1.2-d-s3.csv
DLC1.2-d-s4,0.26,20.0,6001,30,600.0,DLC1.2-d-s4.csv
DLC1.2-d-s5,0.27,20.0,6001,30,600.0,DLC1.2-d-s5.csv
DLC1.2-d-s6,0.26,20.0,6001,30,600.0,DLC1.2-d-s6.csv
DLC1.2-e-s1,0.29,20.0,6001,30,600.0,DLC1.2-e-s1.csv
DLC1.2-e-s2,0.31,20.0,6001,30,600.0,DLC1.2-e-s2.csv
