index,rpm,rev_30y,Fx [kN],Fy [kN],Fz [kN],Mx [kNm],My [kNm],Mz [kNm]
0,3.49775,44071.776,1415.003,-5.402,-4978.348,4884.039,-25885.283,6301.253
1,3.50088,44111.088,1425.476,17.885,-4972.65,5383.607,-30346.594,5939.214
2,3.50197,44124.696,1473.616,11.319,-4972.699,6377.202,-27852.206,2514.205
3,3.49825,44077.824,1508.832,13.671,-4970.903,6823.773,-27215.099,3021.153
4,3.49622,44052.498,1523.152,9.54,-4959.604,7030.454,-28390.211,1743.662
5,3.48519,43913.394,1478.693,-12.54,-4971.611,6181.593,-24084.985,4677.532
6,3.47927,43838.928,1368.149,-16.502,-4973.548,4278.496,-21308.656,3562.409
7,3.48885,43959.51,1291.798,-12.594,-4976.325,3094.68,-23319.963,2285.798
8,3.4975,44068.374,1290.136,-12.291,-4970.692,3006.112,-24253.67,-886.256
9,3.49527,44040.402,1281.034,-18.372,-4970.286,3418.442,-21360.845,-2151.69
10,3.49441,44029.44,1275.508,-18.763,-4967.357,3332.185,-19757.731,-977.518
11,3.49576,44046.45,1297.949,-12.948,-4964.781,3213.579,-22760.182,-1475.688
12,3.4951,44038.134,1320.371,-8.268,-4970.727,3381.278,-27046.537,2378.635
13,3.50644,44181.018,1403.011,8.928,-4971.799,4535.219,-31399.437,3199.581
14,3.49492,44035.866,1408.972,6.865,-4970.048,5048.306,-30356.422,3092.894
15,3.49499,44037.0,1378.063,5.378,-4972.072,4584.216,-28546.796,5097.979
16,3.4911,43987.86,1361.291,-3.996,-4972.676,4639.255,-25463.095,4821.357
17,3.48301,43885.8,1276.698,-8.862,-4968.956,2995.14,-24642.573,2274.418
18,3.50111,44114.112,1329.358,-13.697,-4977.633,3363.006,-22982.196,5674.814
19,3.49614,44051.364,1348.713,-20.453,-4978.24,3714.862,-21317.34,4324.633
20,3.4924,44004.114,1327.325,-15.456,-4972.977,3375.714,-22086.313,2922.465
21,3.49059,43981.434,1290.531,-18.941,-4966.92,2852.001,-21644.504,-617.177
22,3.4891,43962.534,1254.648,-13.26,-4964.361,2218.078,-23995.396,989.52
23,3.48963,43969.338,1205.615,6.361,-4971.066,1394.442,-28145.318,3713.583
24,3.49087,43984.836,1157.047,5.679,-4976.898,859.151,-27473.242,4911.719
25,3.49928,44091.054,1182.661,-4.186,-4977.552,1216.555,-25399.036,6373.533
26,3.50088,44111.088,1234.316,-12.573,-4970.584,1969.073,-23949.667,4169.069
27,3.50073,44109.198,1273.92,-6.851,-4971.908,2616.182,-25501.395,3749.381
28,3.50313,44139.438,1330.618,12.449,-4973.186,3515.248,-27289.606,5847.221
29,3.50133,44337.51,1381.039,-6.808,-4973.088,4386.156,-24824.279,5900.941
