index,rpm,rev_30y,Fx [kN],Fy [kN],Fz [kN],Mx [kNm],My [kNm],Mz [kNm]
0,3.78948,57726.412,1922.759,-15.85,-4977.589,13310.183,-20400.646,2852.244
1,3.8319,58372.61,1921.92,-11.868,-4986.15,13614.503,-20698.435,7002.684
2,3.60171,54866.049,1626.883,-25.234,-4995.57,11587.124,-17190.887,7521.831
3,3.47714,52968.585,1442.111,-21.141,-4982.74,6113.973,-21007.078,6267.043
4,3.49162,53188.859,1437.847,-8.955,-4978.826,6078.66,-22857.981,8310.614
5,3.49789,53284.372,1454.338,-16.931,-4986.898,5848.171,-21220.61,9702.238
6,3.51279,53511.501,1575.656,-14.428,-4993.947,8211.012,-23402.399,9133.632
7,3.5044,53383.541,1615.562,6.465,-4982.816,9319.952,-24557.254,6750.798
8,3.49965,53311.335,1641.817,15.004,-4982.161,10095.801,-27477.279,5627.098
9,3.49413,53227.247,1633.993,22.772,-4954.868,10002.675,-30790.16,1503.779
10,3.58447,54603.274,1799.942,8.21,-4976.949,11867.269,-25212.851,4521.518
11,3.85626,58743.694,2045.954,20.73,-4988.195,13850.472,-26223.377,8102.949
12,4.05171,61721.049,2134.457,-12.743,-4991.08,15221.75,-21318.347,8126.059
13,4.13244,62950.836,2188.52,-35.185,-4993.721,15829.508,-15980.612,6369.852
14,4.15596,63309.124,2174.981,-26.683,-5016.903,16023.195,-17762.695,9840.885
15,4.08093,62166.167,2130.037,-17.451,-5019.85,15463.009,-19426.798,12243.935
16,3.98329,60678.632,2019.554,-29.074,-4996.654,14809.511,-18558.956,9246.162
17,3.77338,57481.003,1823.228,-34.51,-4984.51,13321.109,-18362.338,7871.804
18,3.56922,54371.118,1695.692,-24.74,-4988.749,11615.406,-22370.454,8762.475
19,3.50464,53387.197,1683.691,-20.068,-4971.926,10749.337,-23599.32,2684.206
20,3.60183,54867.877,1797.749,-19.784,-4952.614,12041.593,-26174.831,-2490.152
21,3.68494,56133.767,1863.291,-34.188,-4962.94,12596.796,-22505.115,-3577.04
22,3.844,58556.781,1997.507,-31.789,-4967.296,13737.885,-21440.991,1360.873
23,4.06223,61881.456,2130.419,-10.112,-4988.077,15321.566,-23803.938,7082.683
24,3.94768,60136.173,1958.479,17.457,-4998.673,14616.658,-24238.845,9391.714
25,3.63753,55411.707,1692.588,11.41,-4981.092,12173.385,-23832.823,3710.687
26,3.49957,53309.964,1626.524,-17.04,-4983.651,9613.433,-22682.691,4269.065
27,3.54953,54071.326,1742.066,9.893,-4991.715,11537.309,-24443.429,6975.289
28,3.64343,55501.736,1832.757,-8.599,-4992.452,12319.851,-22634.742,8789.245
29,3.75678,57514.364,1895.586,-20.388,-4986.519,13077.146,-20637.723,5904.502
