index,rpm,rev_30y,Fx [kN],Fy [kN],Fz [kN],Mx [kNm],My [kNm],Mz [kNm]
0,5.6008,84086.527,3604.787,136.831,-5025.221,29144.408,-25878.252,28622.822
1,5.34925,80309.923,3224.0,91.282,-4993.542,26881.422,-25344.042,19494.099
2,5.26263,79009.618,3244.327,72.089,-4973.02,25719.384,-26560.187,10900.358
3,5.07164,76142.372,2951.007,37.029,-4986.823,24267.101,-19369.774,8569.579
4,4.57766,68726.086,2460.961,-20.369,-4997.372,19888.355,-16173.172,7562.569
5,4.01726,60312.614,1978.419,-31.274,-4991.164,15406.592,-15244.585,6080.338
6,3.78169,56775.622,1881.829,-40.149,-4985.473,13263.296,-13755.513,5632.258
7,4.04718,60761.662,2218.828,-13.584,-5011.902,15313.648,-17529.908,9068.499
8,4.35485,65380.965,2409.627,-15.606,-5013.447,17637.072,-15654.188,10858.91
9,4.38986,65906.582,2385.638,24.282,-4993.176,17889.494,-25212.615,11250.295
10,4.65991,69960.632,2782.397,28.939,-5003.218,20292.821,-25739.942,11400.477
11,5.06694,76071.659,3133.495,37.88,-4971.197,23882.037,-30842.109,5815.535
12,5.1799,77767.415,3097.315,27.58,-4971.432,25100.531,-27695.772,6792.992
13,5.02451,75434.794,3024.231,51.27,-4987.742,23441.039,-32298.607,13209.92
14,5.10802,76688.257,3044.505,33.672,-4973.874,24221.478,-30060.324,10134.614
15,4.85617,72907.149,2714.816,-37.791,-4990.709,22151.459,-20387.06,5469.646
16,4.56053,68468.907,2465.693,-29.865,-4974.674,19574.842,-25612.35,1564.753
17,4.39892,66042.602,2403.856,-34.297,-4973.105,17983.931,-24069.214,2681.96
18,4.5649,68534.215,2573.834,-44.451,-4984.473,19351.26,-20484.778,3159.356
19,4.81951,72356.76,2808.153,-45.986,-4973.984,21593.498,-18605.911,1494.478
20,4.99272,74957.37,3000.772,29.094,-4984.178,23137.775,-23618.024,5837.909
21,5.11768,76833.286,3072.721,36.352,-5006.515,24317.108,-19025.543,10927.229
22,5.03307,75563.158,2908.935,57.588,-5013.025,23781.143,-23276.714,16485.641
23,4.7678,71580.721,2702.647,48.392,-4998.625,21164.898,-23264.652,13708.689
24,4.69835,70538.045,2628.686,72.739,-5037.419,20615.88,-21265.317,20434.948
25,4.40067,66068.726,2328.552,29.853,-5025.453,18205.575,-17441.335,18517.808
26,4.21302,63251.474,2258.525,-20.898,-5012.53,16485.511,-14243.481,12248.197
27,4.33867,65137.749,2468.557,-35.269,-5031.409,17551.112,-7398.777,12024.173
28,4.8836,73319.265,3000.037,30.163,-5041.329,22270.123,-11097.869,15730.945
29,5.32807,80391.896,3444.347,93.904,-5055.225,26496.029,-19065.544,23547.428
