index,rpm,rev_30y,Fx [kN],Fy [kN],Fz [kN],Mx [kNm],My [kNm],Mz [kNm]
0,6.15045,78274.727,4165.833,104.43,-4993.189,35263.389,-22675.406,13593.424
1,6.13274,78049.465,4195.493,156.784,-5005.693,34975.101,-20775.387,22607.658
2,6.20628,78985.257,4288.422,205.34,-5032.546,38092.719,-19438.641,32610.653
3,6.20035,78909.66,4219.785,92.456,-5030.076,39919.734,-9757.226,22250.02
4,6.07875,77362.225,4237.59,111.923,-5017.691,37908.729,-19239.65,18500.292
5,6.17409,78575.585,4261.399,153.507,-4977.442,38078.48,-29177.041,16519.862
6,6.19183,78801.229,4364.371,153.54,-4972.924,40527.371,-25958.898,22402.325
7,6.0797,77374.443,4180.209,112.461,-5017.873,40224.069,-17789.23,21807.0
8,6.01434,76542.5,4013.156,63.128,-4996.124,34171.815,-19401.247,17096.791
9,5.75476,73238.785,3730.61,34.511,-5015.136,30802.581,-14866.645,13547.083
10,5.70104,72555.363,3761.367,32.575,-5029.242,30187.679,-15384.336,16150.826
11,6.17107,78537.024,4281.65,62.837,-5013.794,38159.326,-22860.941,16060.511
12,6.06777,77222.486,3942.852,33.323,-4992.764,43667.188,-22945.254,10688.863
13,6.02024,76617.715,4307.982,38.379,-4971.771,41564.137,-30509.707,7069.595
14,5.84691,74411.675,3729.225,30.268,-4962.531,32126.399,-26535.611,5588.45
15,5.46216,69515.09,3335.12,54.019,-4956.728,27961.598,-32593.673,9482.78
16,5.23282,66596.229,3112.707,77.637,-4982.626,25460.525,-35049.39,17576.204
17,4.9577,63095.123,2809.496,34.386,-5006.435,23269.464,-24052.698,13851.482
18,4.81879,61327.007,2834.994,12.315,-5019.232,21593.368,-15790.461,14890.611
19,4.88077,62115.806,2812.106,-14.285,-5026.302,22118.607,-14113.063,14693.29
20,4.77794,60807.377,2684.544,-65.445,-5002.697,21315.812,-11633.471,3313.548
21,4.64364,59098.058,2672.117,-33.253,-4988.698,20066.56,-18690.747,2871.644
22,5.36293,68252.095,3600.662,89.974,-5025.017,27113.927,-20881.43,18304.461
23,6.15284,78305.271,4364.085,107.6,-5051.989,37907.663,-17710.246,22365.857
24,6.16654,78479.372,4328.188,70.677,-5008.855,38979.055,-19161.94,13289.106
25,6.18979,78775.267,4348.931,85.531,-5038.107,38531.251,-12710.057,19079.761
26,6.14611,78219.366,4256.003,128.757,-5060.321,40377.894,-15840.051,24920.212
27,5.83132,74213.139,3659.609,114.377,-5036.376,32264.958,-20848.481,19424.459
28,5.58214,71041.908,3618.331,62.399,-5021.557,28975.041,-19529.448,14113.131
29,5.97032,76362.291,4043.426,92.107,-4991.361,33191.249,-21756.277,12443.72
