index,rpm,rev_30y,Fx [kN],Fy [kN],Fz [kN],Mx [kNm],My [kNm],Mz [kNm]
0,5.99275,56911.054,3795.326,52.378,-5077.162,43278.103,4899.093,25737.585
1,5.95795,56580.57,3500.112,-44.733,-5049.667,44694.55,-7060.973,16858.163
2,5.87296,55773.448,4214.461,73.032,-5060.541,44714.595,-10659.104,16497.123
3,6.48597,61595.095,4004.428,46.483,-5102.036,41665.054,-2240.767,17902.297
4,6.32717,60087.119,3337.591,-54.814,-5076.597,42362.128,-4877.173,16076.804
5,5.91403,56163.477,3510.804,44.234,-5039.88,44899.946,-17168.658,17289.55
6,5.78135,54903.649,3637.398,56.732,-5048.335,44781.929,-13813.928,19326.824
7,5.90713,56097.95,4157.544,141.828,-5080.959,40529.207,-15686.094,30024.684
8,6.0394,57354.074,4107.37,121.861,-5035.823,34692.57,-22975.776,23768.453
9,6.02733,57239.544,4165.455,101.052,-5021.804,37623.079,-20291.154,23114.485
10,6.17103,58604.215,4004.446,44.082,-5037.737,43209.121,-14704.673,16403.858
11,6.53088,62021.59,3818.493,-57.875,-5000.648,41944.117,-12769.255,3923.355
12,6.18303,58718.175,3113.731,-100.181,-5014.319,43580.423,-16464.816,2807.248
13,6.13232,58236.694,3386.653,-62.04,-5024.855,43633.577,-15381.383,15164.696
14,6.18781,58763.474,3515.17,-30.134,-5078.778,43313.763,-11702.49,20251.697
15,5.75723,54674.589,3681.978,34.96,-5014.802,42206.463,-21679.987,12162.559
16,6.02644,57230.997,4139.056,80.881,-4961.121,36373.87,-34807.325,7635.348
17,6.12514,58168.318,4170.408,-47.17,-4981.129,42995.96,-23060.074,6628.486
18,5.94493,56456.924,3859.63,-53.142,-5033.444,44716.685,-14376.864,10648.702
19,6.44738,61228.714,3772.966,41.334,-4989.352,42167.196,-26527.955,13355.05
20,6.00466,57024.16,3254.101,89.007,-4973.622,44226.834,-34871.275,11343.912
21,6.12856,58200.797,3776.505,71.014,-4979.863,43859.561,-31948.156,10907.93
22,6.26165,59464.898,3221.255,80.731,-4987.965,42779.608,-37271.225,9405.128
23,5.8304,55369.46,3789.276,115.823,-5000.095,45026.788,-30774.271,19683.47
24,5.91505,56173.163,3884.009,119.092,-5033.597,44711.769,-25899.352,22148.466
25,5.80825,55158.919,4100.977,120.992,-4980.296,42212.428,-26361.096,16620.44
26,6.05707,57521.88,4224.337,166.258,-5080.515,42446.662,-18697.562,34739.316
27,6.10471,57974.301,4300.572,189.281,-5073.696,38536.387,-19326.72,31518.735
28,6.37166,60509.626,4133.391,176.186,-5007.411,41962.512,-25726.218,23634.324
29,6.09905,58210.198,4203.748,114.585,-5047.608,42019.626,-11166.95,18832.757
