index,rpm,rev_30y,Fx [kN],Fy [kN],Fz [kN],Mx [kNm],My [kNm],Mz [kNm]
0,6.1704,39017.496,3098.491,-55.832,-5045.105,43270.373,-5964.627,14146.67
1,6.45129,40793.657,2934.01,-86.21,-5019.261,41567.825,-8899.36,12888.781
2,6.20257,39220.854,2526.754,29.003,-5014.894,43505.678,-27203.576,15096.801
3,5.97622,37789.568,3100.629,32.699,-5027.73,44807.616,-24614.544,15691.329
4,6.3602,40217.728,2766.084,-106.715,-5012.974,42261.567,-6438.133,9070.779
5,5.92836,37486.996,3200.786,-68.181,-5048.7,44901.705,3327.197,13882.162
6,6.30201,39849.71,2904.406,-33.881,-5022.74,42464.86,-11618.29,9690.303
7,6.13283,38779.992,3194.015,40.154,-5036.34,43931.048,-15844.643,20139.173
8,6.10102,38578.72,2956.481,54.522,-5053.07,43960.491,-26172.931,26655.499
9,5.83531,36898.547,3859.889,148.285,-5043.121,45008.056,-35921.806,28556.4
10,6.60088,41739.501,3187.843,41.522,-5022.228,41180.329,-26302.06,12722.463
11,6.29228,39788.247,2911.61,-76.288,-5084.525,42459.142,-11318.971,24261.838
12,6.37635,40319.786,2678.873,-71.982,-4971.006,41932.608,-20030.458,5628.496
13,6.1225,38714.545,2660.164,-106.617,-4997.456,43716.312,-16455.849,4176.958
14,6.10057,38575.874,2795.411,-57.882,-5012.595,43929.055,-21990.849,6615.919
15,6.00186,37951.761,3052.065,-49.368,-5038.604,44489.602,-14746.854,17910.769
16,6.17121,39022.618,3407.057,-38.967,-5047.245,43773.955,-15667.254,16586.388
17,6.23812,39445.649,2935.601,-67.856,-4981.015,42930.539,-17352.602,4097.349
18,6.03251,38145.635,3202.163,-59.471,-5033.665,44286.749,-16595.431,9839.252
19,6.30923,39895.428,3418.52,-81.963,-5031.416,43024.144,-11409.221,8189.928
20,5.94675,37603.283,3398.19,-36.196,-5037.11,44711.408,-16456.227,15487.942
21,5.89578,37280.982,3435.891,-57.437,-5040.705,44638.447,-13666.825,8535.967
22,6.26451,39612.585,4089.437,56.193,-5072.176,43734.712,-16356.505,22483.316
23,6.3767,40322.063,2912.746,-44.086,-5014.197,42634.871,-16511.442,16181.978
24,6.32688,40006.971,2991.573,-42.39,-5008.86,42391.337,-24627.261,19021.936
25,5.92006,37434.45,3143.657,-65.471,-5026.791,44693.275,-11509.149,10718.159
26,6.09227,38523.517,3359.358,100.917,-5022.862,44039.59,-28887.702,18407.728
27,5.81824,36790.608,3937.973,94.185,-5075.726,45061.958,-14518.79,25755.34
28,6.31512,39932.609,4044.476,70.584,-5064.868,42675.361,-6062.323,27692.297
29,6.59495,41910.611,3150.743,-88.239,-5042.151,41162.656,-11235.318,22083.307
