index,rpm,rev_30y,Fx [kN],Fy [kN],Fz [kN],Mx [kNm],My [kNm],Mz [kNm]
0,6.23351,23562.706,2441.704,-162.689,-5000.776,43043.693,4811.547,14215.011
1,6.21082,23476.862,2400.209,-106.461,-5012.801,43229.406,-7771.758,7442.757
2,6.27703,23727.136,2360.299,-120.856,-5010.031,42620.536,-8355.445,10463.174
3,6.2365,23573.932,2343.657,-164.415,-5011.344,42953.419,-4305.524,9246.799
4,5.96147,22534.394,2356.84,-85.316,-5033.317,44558.673,-18565.428,14985.106
5,6.02263,22765.504,2981.105,-84.628,-4992.468,44603.481,-16921.578,16547.687
6,6.00571,22701.546,2704.677,-104.321,-5035.2,44459.386,-9673.718,11872.697
7,6.25511,23644.354,3125.383,-124.423,-5058.586,43382.97,5362.491,10906.111
8,6.3554,24023.45,2526.113,-118.422,-5013.979,42090.477,-11524.053,11928.593
9,6.21703,23500.336,2667.191,-65.419,-5097.179,43129.299,-22388.657,30420.716
10,6.03876,22826.513,2782.312,-115.846,-5024.084,44485.773,-11856.677,9109.73
11,6.24653,23611.921,2807.433,-103.388,-5027.446,42891.355,-12489.101,7093.544
12,6.24851,23619.406,2734.86,-132.34,-5035.23,42982.786,-7422.759,11421.516
13,5.71582,21605.762,3079.646,-59.307,-5050.939,45013.572,-15958.566,12847.785
14,6.2025,23445.45,3389.675,-85.148,-5054.334,43797.726,-11081.235,15357.415
15,6.18907,23394.647,3195.76,-60.184,-5037.162,43710.364,-19233.634,12353.146
16,6.33693,23953.595,2735.129,-78.643,-5047.909,42427.199,-21653.686,12414.916
17,6.05964,22905.439,2842.69,-43.105,-5018.64,44181.031,-25901.401,11077.029
18,5.81104,21965.693,3647.802,50.478,-5000.355,45079.774,-27062.093,16357.739
19,6.4703,24457.772,3257.195,-73.461,-5019.562,41645.596,-21453.872,5808.257
20,6.12484,23151.857,3122.549,-73.232,-5047.978,43671.353,-12421.967,16616.397
21,6.62607,25046.545,3079.323,-43.566,-5076.518,41784.478,-21216.753,25406.991
22,6.14035,23210.485,2468.294,-52.797,-5054.39,43897.762,-23720.858,29865.068
23,5.98209,22612.3,2844.761,-42.511,-5041.881,44724.558,-20040.617,24357.445
24,6.23727,23576.881,2869.122,-70.863,-5001.371,42998.323,-13591.165,9913.099
25,6.43457,24322.712,2597.387,-101.215,-5061.045,41589.871,-14881.332,26821.92
26,6.34719,23992.378,2344.235,-80.572,-5027.586,42163.536,-19185.853,15114.306
27,5.86269,22160.968,2538.615,-101.085,-5043.468,44993.639,-9723.087,11502.907
28,6.20515,23455.429,2957.635,-63.307,-4997.075,43722.542,-8540.016,4147.687
29,6.34003,24085.139,2470.811,-110.186,-5012.803,42210.975,-3999.207,10067.43
