index,rpm,rev_30y,Fx [kN],Fy [kN],Fz [kN],Mx [kNm],My [kNm],Mz [kNm]
0,6.17656,12612.515,2359.388,-212.116,-5048.953,43413.203,8791.762,27548.727
1,6.24116,12744.469,2303.796,-127.472,-5050.56,43050.667,-6246.512,24940.755
2,5.65619,11549.96,2958.996,-49.787,-5083.698,45066.047,-11632.742,25115.097
3,6.37983,13027.613,2725.273,-155.462,-5030.883,42362.426,15940.541,21036.497
4,6.19949,12659.379,2561.153,-145.413,-5021.396,43180.491,8394.464,12391.69
5,6.10901,12474.619,2662.736,-97.976,-4985.512,43932.624,-14163.388,-6168.439
6,6.32353,12912.628,2551.718,-86.356,-5015.52,42648.264,-23720.447,12703.438
7,6.3846,13037.353,2501.119,-159.233,-5034.655,42393.502,-14174.775,16860.729
8,5.99902,12249.978,2387.271,-176.751,-5076.381,44563.908,-4216.272,29362.927
9,6.09343,12442.764,2704.718,-87.408,-5060.761,44226.883,-23485.056,19411.065
10,6.04559,12345.115,2785.226,-137.911,-5099.858,44332.22,10004.918,26348.731
11,6.46126,13193.872,2657.483,-129.591,-5026.197,41692.266,-9916.641,14482.277
12,6.19108,12642.165,2306.339,-109.41,-5008.21,43406.595,-23644.634,11963.975
13,6.18147,12622.562,2741.249,-131.239,-5043.803,44261.634,-16283.029,19276.923
14,5.9746,12200.113,2459.438,-192.094,-5043.561,44735.744,4164.535,7214.042
15,6.54425,13363.379,2552.145,-212.686,-5036.311,42007.004,13163.933,8743.794
16,6.13511,12527.915,2296.144,-218.366,-5037.931,43721.827,15625.441,15139.454
17,6.24911,12760.703,2139.27,-229.705,-5007.728,43526.0,14579.764,14429.663
18,6.213,12686.946,2278.25,-85.33,-5016.926,43572.419,-21164.673,8250.633
19,6.05464,12363.554,2419.162,-95.667,-4976.587,44368.875,-15675.379,-7671.546
20,6.2273,12716.167,2243.349,-89.064,-5008.24,43079.75,-16045.2,-5513.822
21,5.93593,12121.149,2621.67,-83.757,-5044.142,45025.647,-23967.345,12223.286
22,6.19811,12656.561,2451.317,-78.474,-5076.35,43467.128,-15830.777,23283.913
23,6.08423,12424.018,2903.636,-68.329,-5041.574,44429.926,-15485.392,17218.006
24,6.30712,12879.119,2378.866,-153.63,-5027.234,42899.196,-8134.17,8119.013
25,6.31167,12888.43,2517.813,-143.489,-5073.385,42570.019,-10545.834,17551.514
26,6.16353,12585.928,2319.993,-100.756,-5052.192,43851.214,-14787.076,15856.404
27,6.222,12705.324,2711.812,76.901,-5050.487,44098.5,-36186.509,15612.122
28,6.35363,12974.133,2094.765,-75.289,-5017.738,42486.054,-29036.83,6673.766
29,6.07005,12457.037,2478.151,-207.408,-5070.477,44287.569,7026.05,24623.597
