index,rpm,rev_30y,Fx [kN],Fy [kN],Fz [kN],Mx [kNm],My [kNm],Mz [kNm]
0,6.43362,6427.186,2345.316,-132.719,-5166.631,41762.72,-10249.545,39630.064
1,6.28457,6278.295,2243.018,-126.573,-5122.648,42832.833,-17487.481,37177.878
2,5.96477,5958.815,2431.129,-113.662,-5022.768,44725.225,-13115.06,13533.971
3,6.52404,6517.516,2152.328,-161.703,-4932.843,41771.418,11832.487,-6149.599
4,6.11177,6105.668,2144.059,-153.607,-5009.577,43802.386,-10477.041,12405.357
5,6.22125,6215.029,2136.48,-222.992,-4941.351,43206.739,18434.507,-11020.402
6,6.27679,6270.503,2127.517,-184.433,-4953.752,42935.281,8716.523,-12229.683
7,6.14724,6141.093,1960.046,-251.618,-4949.461,43970.655,13964.961,-9466.156
8,6.06263,6056.577,2306.642,-127.672,-5067.35,44235.544,-18827.638,10586.434
9,5.92848,5922.552,2313.553,-192.056,-5011.491,44930.639,-3978.123,8765.24
10,6.15509,6148.945,2584.586,-109.985,-5062.035,43921.511,-14648.723,22212.183
11,6.24135,6235.109,2503.502,-155.504,-5066.145,43235.93,-13937.104,20499.958
12,6.31597,6309.644,2366.169,-168.952,-5096.999,42693.539,3993.08,20447.271
13,6.25912,6252.851,2231.271,-176.739,-5110.982,42813.957,-5282.897,26832.064
14,6.16459,6158.415,2426.741,-155.794,-4976.127,44041.022,-11191.714,-10684.0
15,6.14645,6140.314,1976.863,-209.541,-5012.099,43974.251,15515.245,13317.025
16,6.22158,6215.358,2549.756,-132.298,-5072.65,43793.906,-15357.951,24613.471
17,5.83154,5825.718,2455.969,-186.317,-4993.701,45049.96,6242.865,-4178.021
18,6.43107,6424.639,2445.103,-183.082,-4977.049,41894.18,12007.169,4617.018
19,6.41672,6410.313,2115.671,-261.409,-4988.919,41799.75,24009.928,12957.455
20,6.06282,6056.757,2095.455,-200.991,-5072.549,44129.34,11448.811,25457.175
21,6.15548,6149.335,2493.82,-155.686,-4939.42,44049.83,9082.588,-15608.585
22,6.47653,6470.043,2000.981,-148.091,-5001.564,41579.27,-18448.196,7391.12
23,6.11686,6110.733,2107.06,-185.065,-5024.314,43844.715,-16540.744,16669.703
24,6.33256,6326.217,2072.871,-182.441,-4989.304,42423.349,-10998.234,7428.327
25,6.09654,6090.443,2172.907,-172.113,-5068.099,44229.693,-14231.316,21691.974
26,5.91766,5911.732,2049.158,-187.376,-5041.146,44733.174,-5943.662,16358.335
27,5.88285,5876.967,2642.322,-79.847,-5074.077,45071.967,-12399.237,19387.211
28,6.32075,6314.439,2468.954,-73.289,-5018.045,42515.665,-18955.845,15534.766
29,6.12388,6148.345,2625.049,87.827,-5030.345,44144.603,-33442.213,19883.708
