index,rpm,rev_30y,Fx [kN],Fy [kN],Fz [kN],Mx [kNm],My [kNm],Mz [kNm]
0,5.89326,2616.607,2518.221,-144.634,-5049.086,44675.323,-14084.528,12345.493
1,6.55932,2912.338,2281.504,-183.191,-5046.688,41259.87,-12528.574,11919.581
2,6.085,2701.736,1892.4,-181.656,-5001.369,44418.109,-13712.737,-16871.773
3,6.13653,2724.619,2371.624,-172.277,-5000.88,44160.397,-15131.94,13246.54
4,6.30699,2800.304,2191.095,-205.224,-5012.422,43264.13,-9643.258,10530.681
5,6.1496,2730.427,2251.37,-123.618,-4926.902,44331.195,-23371.677,-26775.265
6,6.40965,2845.885,1787.869,128.718,-4954.026,42592.976,-20370.735,-32249.115
7,5.57771,2476.508,2215.829,-257.026,-5109.828,45118.786,8849.837,18024.662
8,6.33404,2812.318,2626.156,-227.441,-5072.634,43483.395,7328.663,15981.199
9,6.44161,2860.07,1913.525,-272.509,-5056.479,42275.413,15072.925,16860.776
10,6.20624,2755.575,2119.423,-325.132,-4988.556,44099.505,23868.626,13568.93
11,6.29365,2794.376,1703.187,-447.354,-4981.532,42905.242,42340.988,19864.45
12,6.08495,2701.722,2272.828,-255.865,-5059.861,44258.68,7441.247,15084.909
13,6.02142,2673.51,1846.428,-236.649,-5054.79,44467.891,10500.115,23706.934
14,5.91687,2627.09,2357.722,-184.32,-5084.065,44775.847,-12110.532,28525.192
15,6.4568,2866.824,2208.224,-254.122,-5121.087,41979.494,-9563.947,34059.327
16,6.28768,2791.725,1902.083,-364.842,-5107.624,42875.851,23885.114,30400.725
17,6.07525,2697.407,2053.66,-312.102,-4991.028,44338.328,14494.262,14478.34
18,6.15714,2733.77,2079.424,-282.676,-4979.542,43771.867,15917.761,7966.891
19,6.3816,2833.43,1959.268,-259.717,-5026.049,42111.919,12037.439,15577.499
20,5.91831,2627.73,2091.655,-183.907,-5014.991,44650.685,9590.075,13580.59
21,6.09818,2707.596,2347.801,-155.762,-5069.63,44431.328,-14032.138,15077.437
22,6.32012,2806.138,2344.252,-126.579,-5007.429,43370.252,-15828.571,8574.787
23,6.31894,2805.605,2286.407,-222.181,-5004.037,43374.788,-13036.766,12815.893
24,6.17885,2743.414,2036.2,-220.917,-5057.318,44064.559,-13497.82,18735.511
25,6.36685,2826.877,1960.249,-288.734,-5010.684,42239.665,20455.068,24106.258
26,5.73018,2544.2,2082.387,-192.362,-4980.492,45153.476,-6389.162,9558.153
27,6.1665,2737.926,2415.757,-147.731,-5029.952,43850.605,-11738.147,8271.533
28,6.28762,2791.699,2321.698,-250.024,-5064.194,43104.955,15656.995,22004.95
29,6.28358,2803.86,2275.82,-219.057,-5142.94,43159.739,9753.373,28270.34
