index,rpm,rev_30y,Fx [kN],Fy [kN],Fz [kN],Mx [kNm],My [kNm],Mz [kNm]
0,6.17106,1107.088,1947.564,-248.442,-5067.509,44112.384,13117.016,17862.54
1,6.48393,1163.217,1987.82,-301.12,-5083.739,42104.729,23853.677,36572.975
2,5.8911,1056.863,1983.84,-224.441,-5170.486,44969.618,-12901.724,36577.868
3,6.39078,1146.506,2068.81,-200.714,-5037.7,42579.565,-17109.575,8379.451
4,6.0041,1077.137,1972.167,-209.669,-5048.764,44784.514,-23185.357,17131.093
5,6.28303,1127.174,2004.657,-128.968,-4986.548,43469.541,-18123.229,-9983.432
6,6.09787,1093.956,2218.474,-207.163,-5007.75,44746.067,-9655.952,-15377.256
7,6.55999,1176.86,1767.879,-358.438,-4886.045,41897.064,28727.719,-11532.864
8,5.97618,1072.127,1964.281,-275.659,-4950.811,44839.113,17927.971,-22417.731
9,6.22238,1116.297,1908.194,-226.142,-5070.352,43483.625,-16397.646,19411.096
10,6.23169,1117.965,1891.826,-370.623,-5167.465,43678.775,16390.254,38723.041
11,5.96178,1069.543,2100.178,-298.983,-5057.151,44664.351,13216.846,19186.463
12,6.5146,1168.717,1848.53,-350.744,-4999.176,41863.449,24279.504,18596.166
13,6.13647,1100.883,1728.394,-373.552,-4928.958,43865.991,26070.573,-6516.94
14,5.86281,1051.788,2009.655,-335.099,-4999.858,44933.773,17515.461,7877.511
15,5.97155,1071.298,2106.154,-306.304,-5088.086,44829.651,28227.032,22378.042
16,6.32275,1134.3,2075.159,-295.049,-5006.276,42794.875,25770.493,-10518.583
17,6.22581,1116.91,2048.021,-313.851,-4994.464,43926.572,24496.5,10717.95
18,6.22089,1116.028,2031.266,-367.425,-5013.059,43668.345,35289.997,21111.225
19,6.13686,1100.953,1974.855,-353.945,-5066.763,43612.092,22665.415,27423.603
20,6.32437,1134.59,1992.83,-326.987,-5021.708,42699.465,20428.985,19843.016
21,5.98509,1073.725,2108.928,-196.947,-5048.032,44795.786,10826.172,18066.011
22,6.45148,1157.394,2148.354,-279.605,-5072.895,42115.186,11291.953,21687.581
23,6.38558,1145.575,1705.601,-239.874,-4999.172,42473.571,-10836.598,-16405.166
24,6.07212,1089.338,1862.57,-189.674,-5032.907,44185.843,-13708.047,-10643.992
25,6.34539,1138.363,2039.991,-283.656,-4952.979,43266.178,20217.61,10579.551
26,5.96436,1070.006,1766.774,-424.286,-4943.147,44762.956,26700.352,-7235.148
27,6.19226,1110.893,2086.248,-248.491,-4938.872,44166.846,10425.138,-16041.644
28,6.21709,1115.344,2070.607,-157.221,-4888.223,43568.384,-16764.578,-29219.669
29,6.04853,1090.533,2257.314,-213.912,-5053.545,44650.33,-16086.852,10402.778
