index,rpm,rev_30y,Fx [kN],Fy [kN],Fz [kN],Mx [kNm],My [kNm],Mz [kNm]
0,6.16804,51.4,3672.065,-30.824,-5082.102,43422.582,-5422.465,22576.526
1,6.61027,55.085,3622.765,-59.031,-5034.586,40513.319,-7421.399,14376.818
2,6.69825,55.819,4327.626,75.232,-5004.908,40186.142,-18588.938,15602.43
3,7.11256,59.271,3662.623,58.508,-5012.404,37642.014,-24320.415,19182.482
4,6.76444,56.37,4559.37,129.369,-4973.735,39338.693,-26246.989,16455.951
5,7.27521,60.627,4651.375,121.344,-4984.616,36613.554,-21875.606,14655.015
6,6.88306,57.359,1891.853,-31.702,-5017.959,27110.576,-12279.396,18315.034
7,5.22018,43.502,788.294,-30.007,-4986.929,14814.222,-19781.025,12257.829
8,3.20685,26.724,84.41,-15.681,-4912.91,595.683,-26891.278,-8782.166
9,1.15581,9.632,398.734,16.604,-4928.812,-21.148,-30363.094,-3370.074
10,0.26972,2.248,480.756,-21.765,-4933.293,-10.005,-28667.489,-1215.893
11,0.10321,0.86,478.038,-28.743,-4904.496,1.476,-28521.032,-676.122
12,0.14309,1.192,478.532,-44.838,-4903.523,-1.338,-28369.535,-512.18
13,0.08948,0.746,479.09,-46.443,-4909.865,-2.066,-28098.452,-537.748
14,0.03158,0.265,488.598,-23.649,-4914.681,6.959,-27708.69,-442.299
