index,rpm,rev_30y,Fx [kN],Fy [kN],Fz [kN],Mx [kNm],My [kNm],Mz [kNm]
0,6.00402,50.033,2050.209,-253.963,-4981.605,44621.021,-11445.936,10423.255
1,6.69918,55.827,1944.176,-334.673,-4909.509,40615.583,16603.953,-15978.229
2,6.717,55.975,2024.974,-362.688,-5020.872,40279.215,27935.079,24661.12
3,6.99392,58.283,2037.439,-302.146,-4989.465,37862.477,20928.521,30712.081
4,6.29012,52.418,1223.496,-398.281,-4884.7,27050.481,28203.092,-11206.485
5,4.85021,40.419,702.633,-281.345,-4834.355,13385.45,9492.982,-25841.302
6,3.28764,27.397,341.683,-192.927,-4811.424,-57.613,-23396.655,-30219.935
7,0.94515,7.876,510.371,-69.091,-4776.966,-35.407,-34866.251,-17321.217
8,0.26006,2.167,463.489,-109.049,-4645.677,-15.059,-31943.656,-14428.06
9,0.19355,1.613,434.556,85.867,-4547.521,14.561,-30455.41,-15547.459
10,0.24865,2.072,473.936,129.063,-4703.387,-12.076,-26356.339,-16342.185
11,0.18778,1.565,468.49,220.43,-4626.068,14.0,-27749.772,-12340.12
12,0.12562,1.047,442.077,225.317,-4550.95,-14.968,-30326.06,10183.965
13,0.16363,1.363,439.629,-63.149,-4452.155,10.833,-27126.407,11483.771
14,0.1581,1.324,432.302,-50.084,-4474.351,-11.477,-30300.524,-8017.929
