index,rpm,rev_30y,Fx [kN],Fy [kN],Fz [kN],Mx [kNm],My [kNm],Mz [kNm]
0,3.49939,11664.6,857.879,-0.91,-4963.464,59.694,-28023.089,614.361
1,2.79577,9319.2,-142.859,-2.463,-4972.916,-21.192,-31847.17,-1446.795
2,1.20314,4010.5,410.087,-3.181,-4965.832,-15.671,-29433.049,-834.316
3,0.50319,1677.3,467.728,-2.159,-4964.244,-5.499,-28360.468,476.634
4,0.26216,873.9,470.797,-1.919,-4965.91,-2.225,-28223.712,430.27
5,0.14261,475.4,469.179,1.226,-4965.7,-1.294,-28204.673,-307.976
6,0.06604,220.1,468.209,1.728,-4963.542,-0.827,-28205.127,-387.994
7,0.02762,92.1,467.142,1.487,-4962.096,-0.299,-28139.4,-307.088
8,0.01582,52.7,464.931,1.169,-4961.581,-0.136,-28078.57,218.565
9,0.01354,45.4,466.015,1.037,-4961.368,-0.058,-28060.509,250.577
