index,rpm,rev_30y,Fx [kN],Fy [kN],Fz [kN],Mx [kNm],My [kNm],Mz [kNm]
0,6.2788,1046.465,4406.301,31.9,-4972.373,40967.372,-21974.548,11544.97
1,6.27578,1045.965,2242.335,-35.175,-4973.049,27735.522,-15076.297,7633.511
2,4.62614,771.025,703.097,-59.267,-4943.529,12952.049,-14205.23,2122.96
3,2.84578,474.295,115.677,-48.925,-4917.098,-32.337,-23479.274,-5103.452
4,0.95888,159.815,407.353,-40.679,-4905.15,-15.643,-27808.239,-2196.682
5,0.22062,36.77,451.937,-41.666,-4876.82,-5.929,-27766.387,-390.209
6,0.10682,17.805,452.672,-69.1,-4878.084,0.417,-28409.891,488.719
7,0.11872,19.785,455.086,-74.387,-4896.431,0.266,-28407.171,205.503
8,0.12983,21.64,459.93,-65.263,-4913.604,0.2,-27852.124,-274.621
9,0.13122,21.98,464.91,-44.415,-4918.317,-0.133,-27447.891,-407.609
