index,rpm,rev_30y,Fx [kN],Fy [kN],Fz [kN],Mx [kNm],My [kNm],Mz [kNm]
0,6.2371,1039.515,1844.229,-253.293,-4976.062,42320.906,14016.045,16530.904
1,5.95002,991.67,1261.021,-288.3,-4915.65,29197.36,17579.195,14135.179
2,4.85297,808.83,697.936,-289.236,-4829.432,15304.073,17324.891,4201.799
3,3.21371,535.62,333.057,-266.21,-4747.42,-40.76,-11915.464,-16286.139
4,1.08241,180.4,462.602,-351.53,-4638.379,-37.992,-28680.287,-12032.148
5,0.29018,48.365,539.403,-267.554,-4745.12,-6.728,-31626.838,-14191.781
6,0.25952,43.255,479.887,-106.341,-4625.758,-10.569,-35360.341,-10142.894
7,0.21369,35.615,433.519,-236.028,-4483.592,4.269,-34877.01,11801.302
8,0.2533,42.215,480.57,-349.373,-4620.998,5.426,-36008.904,8418.258
9,0.28873,48.36,474.54,-263.017,-4729.767,-4.605,-29176.685,-10374.31
