DLC,scale_factor,hours_30y,n_bins,rev_30y_total,file
DLC1.2-a-s1,37800.0,6299.681,30,1321345.494,DLC1.2-a-s1_30y.csv
DLC1.2-a-s2,37800.0,6299.681,30,1321343.604,DLC1.2-a-s2_30y.csv
DLC1.2-a-s3,37800.0,6299.681,30,1321359.48,DLC1.2-a-s3_30y.csv
DLC1.2-a-s4,37800.0,6299.681,30,1321363.638,DLC1.2-a-s4_30y.csv
DLC1.2-a-s5,37800.0,6299.681,30,1321343.982,DLC1.2-a-s5_30y.csv
DLC1.2-a-s6,37800.0,6299.681,30,1321356.078,DLC1.2-a-s6_30y.csv
DLC1.2-b-s1,45700.0,7615.056,30,1678915.175,DLC1.2-b-s1_30y.csv
DLC1.2-b-s2,45700.0,7615.056,30,1696607.016,DLC1.2-b-s2_30y.csv
DLC1.2-b-s3,45700.0,7615.056,30,1691755.961,DLC1.2-b-s3_30y.csv
DLC1.2-b-s4,45700.0,7615.056,30,1682840.348,DLC1.2-b-s4_30y.csv
DLC1.2-b-s5,45700.0,7615.056,30,1688108.187,DLC1.2-b-s5_30y.csv
DLC1.2-b-s6,45700.0,7615.056,30,1700637.756,DLC1.2-b-s6_30y.csv
DLC1.2-c-s1,45040.0,7505.501,30,2143413.514,DLC1.2-c-s1_30y.csv
DLC1.2-c-s2,45040.0,7505.501,30,2138049.25,DLC1.2-c-s2_30y.csv
DLC1.2-c-s3,45040.0,7505.501,30,2149598.858,DLC1.2-c-s3_30y.csv
DLC1.2-c-s4,45040.0,7505.501,30,2143849.502,DLC1.2-c-s4_30y.csv
DLC1.2-c-s5,45040.0,7505.501,30,2145418.245,DLC1.2-c-s5_30y.csv
DLC1.2-c-s6,45040.0,7505.501,30,2139286.049,DLC1.2-c-s6_30y.csv
DLC1.2-d-s1,38180.0,6361.528,30,2227363.548,DLC1.2-d-s1_30y.csv
DLC1.2-d-s2,38180.0,6361.528,30,2201661.536,DLC1.2-d-s2_30y.csv
