Z1_m,L_m,mean_dEpsUW,max_abs_dEpsUW,mean_dEpsSys,n_escape_baseok,max_abs_dk
0.3,2.0,-1.003,2.419,-1.045,34,0.03
0.3,2.25,-0.596,1.557,-0.648,24,0.02
0.3,2.375,-0.407,1.527,-0.455,14,0.01
0.3,2.5,-0.227,1.504,-0.258,13,0.01
0.3,2.625,-0.05,1.487,-0.062,9,0.01
0.3,2.75,0.119,1.53,0.13,15,0.01
0.3,3.0,0.44,2.705,0.505,35,0.02
0.3,3.5,1.027,4.774,1.203,50,0.03
0.4,2.0,-0.876,2.475,-0.901,28,0.03
0.4,2.25,-0.476,1.269,-0.511,15,0.02
0.4,2.375,-0.29,0.745,-0.321,8,0.01
0.4,2.5,-0.112,0.739,-0.128,3,0.01
0.4,2.625,0.06,0.775,0.064,10,0.01
0.4,2.75,0.227,1.405,0.253,20,0.01
0.4,3.0,0.54,2.589,0.619,41,0.02
0.4,3.5,1.113,4.666,1.302,50,0.03
0.45,2.0,-0.813,2.5,-0.829,28,0.03
0.45,2.25,-0.417,1.338,-0.444,10,0.01
0.45,2.375,-0.232,0.622,-0.255,6,0.01
0.45,2.5,-0.055,0.366,-0.064,2,0.01
0.45,2.625,0.114,0.714,0.126,11,0.01
0.45,2.75,0.279,1.346,0.313,25,0.01
0.45,3.0,0.59,2.533,0.676,44,0.02
0.45,3.5,1.155,4.613,1.351,50,0.04
0.5,2.0,-0.751,2.522,-0.758,26,0.03
0.5,2.25,-0.359,1.403,-0.377,6,0.01
0.5,2.375,-0.176,0.683,-0.19,4,0.01
0.5,2.5,0.0,0.0,0.0,0,0.0
0.5,2.625,0.168,0.656,0.188,16,0.01
0.5,2.75,0.331,1.288,0.373,31,0.01
0.5,3.0,0.638,2.478,0.732,43,0.02
0.5,3.5,1.197,4.561,1.4,50,0.04
0.55,2.0,-0.69,2.542,-0.687,24,0.02
0.55,2.25,-0.302,1.457,-0.311,6,0.01
0.55,2.375,-0.12,0.742,-0.125,3,0.01
0.55,2.5,0.055,0.359,0.063,8,0.01
0.55,2.625,0.221,0.599,0.249,18,0.01
0.55,2.75,0.382,1.232,0.432,35,0.01
0.55,3.0,0.686,2.424,0.787,43,0.02
0.55,3.5,1.238,4.509,1.448,50,0.04
0.6,2.0,-0.629,2.559,-0.617,19,0.02
0.6,2.25,-0.245,1.492,-0.245,4,0.01
0.6,2.375,-0.065,0.799,-0.061,2,0.01
0.6,2.5,0.108,0.71,0.125,17,0.01
0.6,2.625,0.273,0.708,0.31,27,0.01
0.6,2.75,0.432,1.178,0.491,39,0.02
0.6,3.0,0.733,2.37,0.843,43,0.02
0.6,3.5,1.278,4.458,1.495,50,0.04
0.8,2.0,-0.394,2.605,-0.34,13,0.02
0.8,2.25,-0.025,2.193,0.013,19,0.01
0.8,2.375,0.147,2.117,0.188,27,0.01
0.8,2.5,0.314,2.043,0.368,34,0.01
0.8,2.625,0.475,1.968,0.547,42,0.02
0.8,2.75,0.628,1.888,0.721,45,0.02
0.8,3.0,0.916,2.326,1.058,47,0.03
0.8,3.5,1.43,4.259,1.678,53,0.05
