n,life_UW_ref,life_Sys_ref,life_UW_scr,life_Sys_scr,bias_Sys_life_pct,vs_final_scr_Sys_pct
1,127.84625671509572,105.12049327074442,124.50033813457985,103.88240026175133,1.1918217194380132,2584.2613699406197
2,64.38038591691016,52.87332412119503,62.67472985664228,52.21335981699815,1.2639759374037274,1249.1631344523491
3,43.64617593000761,37.613635476563466,42.59328990484326,37.07798296432122,1.4446646484456371,858.0737169690609
4,33.282795802465614,29.416342913687508,32.53028255248809,28.978001563389196,1.5126693583042305,648.7748644495284
5,26.925461879118643,23.62187006652625,26.316831796154382,23.29603923569813,1.3986533398725687,501.9562316180859
6,22.650299830888727,20.15271869645186,22.152013861050037,19.8617508159249,1.4649659197902398,413.21619754875485
7,19.547212640233365,17.5720701526993,19.120601231971595,17.306219377927732,1.5361574296846925,347.18273758440813
8,17.201954132623154,15.337853929211352,16.818458682099767,15.111424501082695,1.4983989637272987,290.4705025184661
9,15.361373430514824,13.611392246509615,15.02289074857599,13.419113420936712,1.4328727952541698,246.74215924845706
10,13.88573024976566,12.399023901499264,13.585034700360394,12.220297391302207,1.462538140227787,215.7654437518446
11,12.669941168644659,11.249776530216044,12.389495473329454,11.088355913748185,1.4557669119162897,186.51672815058893
12,11.653553466628102,10.412395400700552,11.39451809474466,10.257012980487882,1.5148895736824874,165.03530574120137
13,10.804816077591717,9.699524636241193,10.562346048555014,9.549947354033181,1.5662628982435312,146.7651373361301
14,10.08898040880685,9.095544641505663,9.85841729649196,8.949726962650841,1.6292975133582521,131.25578824544039
15,9.482412973532444,8.580712061430805,9.265203754130075,8.440732440520907,1.6583823962705635,118.1036630555894
16,8.945141085048547,8.120942962210192,8.7379503645412,7.985148131202536,1.7005925096996943,106.3316269919921
17,8.465846199161248,7.707979345979512,8.268636071415855,7.576987770109376,1.7288080678562912,95.78499842678
18,8.03582796406129,7.335857612902461,7.847252346844145,7.208955146428516,1.7603447919469328,86.275247476328
19,7.648128895582741,6.967756496622561,7.469599014773832,6.848985195523579,1.734144514965652,76.97383134502101
20,7.31691636766977,6.660663976202194,7.145962382109424,6.547742446203976,1.724587228743002,69.1898922664489
21,7.017110464234858,6.38238454225213,6.852715678455864,6.273679756654948,1.7327117387825108,62.108270272301084
22,6.740962113287965,6.125242384036797,6.582319242703942,6.020658875350761,1.737077466956527,55.570356479764
23,6.488762857780231,5.8736150575579575,6.336335757421221,5.776878927160091,1.6745396886034714,49.27122307462959
24,6.256608177107777,5.643314703471092,6.108597934196741,5.552143096172647,1.6420975778036917,43.4641786855791
25,6.043049511511856,5.449946465878104,5.899455054005231,5.361308113139674,1.6532971220436288,38.5331126753794
26,5.848737226492958,5.275694418827501,5.709491018457527,5.189714219827652,1.656742459370042,34.09922533763405
27,5.671461076919856,5.099633331170637,5.5363044840353925,5.017384256851808,1.6392819466938047,29.64631838386904
28,5.50855144011374,4.942433909415198,5.376319553400653,4.8630987107470025,1.63137134133986,25.659668765590936
29,5.35682660108154,4.7944903373898615,5.2285437382904165,4.720151206858696,1.5749311255780496,21.965987625667417
30,5.232210382920029,4.676937773530445,5.105823817198582,4.6043488490143005,1.5765296439622212,18.973721419587065
31,5.152380399916592,4.598456973238219,5.027734716150333,4.527514386121153,1.5669212964741996,16.98836316732737
32,5.082130541854061,4.531079914295539,4.958468593977811,4.461097231996894,1.568732503669712,15.272182171625248
33,5.015301583068849,4.46723694722428,4.892554253543714,4.398240106509391,1.568737473262849,13.647990264752853
34,4.950677480377962,4.405009792907621,4.829150865983699,4.337285778667526,1.5614376754510495,12.072965552728965
35,4.890162514966916,4.347847899652027,4.769854183592351,4.281389919527104,1.5522524547884053,10.628648757466031
36,4.838370812050928,4.3000224180782,4.718895315075151,4.234443052807988,1.5487128874415834,9.415568770323347
37,4.805304938748047,4.268537965303184,4.68664366643065,4.203872097757522,1.538245361464674,8.625632905562908
38,4.773255802772498,4.238296437121055,4.65537137278504,4.174343070250028,1.5320582375419445,7.862619848196517
39,4.742717054279559,4.208926549641172,4.625751656716299,4.145792524475919,1.5228457476470947,7.124890195059286
40,4.714101551019035,4.182201730107826,4.597781375849198,4.119618177199673,1.5191590631997487,6.448560142037718
41,4.687470903849521,4.156881396434313,4.57179496185258,4.094828052752171,1.515407799368651,5.807997609377913
42,4.662311529450045,4.133234863172141,4.547259960754205,4.071803356044313,1.5087051548458685,5.213052712342647
43,4.645930412588445,4.116764954471958,4.531462443322248,4.055875239805429,1.50127188501612,4.8014793658640365
44,4.632279318230567,4.103572072794528,4.5182028469569495,4.043091446908958,1.4959005177043183,4.471153522921867
45,4.619057354350295,4.0908540470169825,4.505296789182116,4.030688698434046,1.4926816006979315,4.150673648290448
46,4.605935748000916,4.078393885777784,4.492434747134456,4.018409176636302,1.4927476646789062,3.833377879998867
47,4.592907420795112,4.067179783253361,4.4799547782979365,4.007442157127149,1.4906672082582784,3.5499964146338936
48,4.580132276461569,4.054815282207447,4.46745795404968,3.995337472828419,1.488680487781724,3.2372183465825266
49,4.568208560049112,4.043580991748254,4.45573157215911,3.984240068627301,1.4893912540113963,2.95046781589956
50,4.556435508938023,4.033454683054933,4.44444962983627,3.9743340478137306,1.4875607971032156,2.694501945524075
51,4.5466465511393395,4.025123547077503,4.434959811832658,3.966098034439349,1.488251478546676,2.481688105186697
52,4.537159062845328,4.0170536935167105,4.425757206305966,3.958115866122517,1.4890374457868116,2.2754334748812166
53,4.527797919055378,4.00909364900599,4.41668618487543,3.9502502220319005,1.4896126489886585,2.072189763444565
54,4.5196182000744,4.0020538490588935,4.408854197663189,3.943370446074736,1.488153440987805,1.8944203165591533
55,4.511655943065073,3.9952004298155863,4.401222754058672,3.936665966745206,1.4869044913855323,1.7211804335329761
56,4.503727180137724,3.98837466980622,4.393616947681188,3.929982822625719,1.4858041323826399,1.5484918400418435
57,4.496315823336602,3.9819942698123345,4.386527886448041,3.923754330011155,1.484291189071807,1.3875511794861684
58,4.49085771757104,3.9766018181298777,4.381165887039282,3.9184420172891548,1.4842582991940967,1.2502840794886838
59,4.485504829402567,3.970723572708282,4.375989969417407,3.9126818342266247,1.4834259707480202,1.1014442679366132
60,4.4802763573124205,3.9654054400443433,4.370858995924822,3.9074515282208737,1.483163934470011,0.9662961742380682
61,4.475316629556078,3.9605395248574964,4.365992696579947,3.9026614093372194,1.4830421973528685,0.8425222621565309
62,4.4707329911449625,3.9558172526673436,4.361506782329595,3.8980206878665005,1.482715701862447,0.7226086931485298
63,4.466513387116109,3.951479756958724,4.357424599050719,3.8937847412139117,1.4817207313526426,0.6131542722261907
