n,life_UW_ref,life_Sys_ref,life_UW_scr,life_Sys_scr,bias_Sys_life_pct,vs_final_scr_Sys_pct
1,127.84625671509572,105.12049327074442,124.50033813457985,103.88240026175133,1.1918217194380132,2581.6464342545382
2,64.38038591691016,52.87332412119503,62.67472985664228,52.21335981699815,1.2639759374037274,1247.8488157849747
3,43.64617593000761,37.613635476563466,42.59328990484326,37.07798296432122,1.4446646484456371,857.1403871598051
4,33.282795802465614,29.416342913687508,32.53028255248809,28.978001563389196,1.5126693583042305,648.0454279886022
5,26.925461879118643,23.62187006652625,26.316831796154382,23.29603923569813,1.3986533398725687,501.3698219453378
6,22.650299830888727,20.15271869645186,22.152013861050037,19.8617508159249,1.4649659197902398,412.7162360454996
7,19.547212640233365,17.5720701526993,19.120601231971595,17.306219377927732,1.5361574296846925,346.74710411301663
8,17.201954132623154,15.337853929211352,16.818458682099767,15.111424501082695,1.4983989637272987,290.09011659076475
9,15.361373430514824,13.611392246509615,15.02289074857599,13.419113420936712,1.4328727952541698,246.40437230407022
10,13.88573024976566,12.399023901499264,13.585034700360394,12.220297391302207,1.462538140227787,215.45783349579995
11,12.669941168644659,11.249776530216044,12.389495473329454,11.088355913748185,1.4557669119162897,186.23761121157156
12,11.653553466628102,10.412395400700552,11.39451809474466,10.257012980487882,1.5148895736824874,164.7771154297752
13,10.804816077591717,9.699524636241193,10.562346048555014,9.549947354033181,1.5662628982435312,146.52474533446917
14,10.08898040880685,9.095544641505663,9.85841729649196,8.949726962650841,1.6292975133582521,131.03050503715528
15,9.482412973532444,8.580712061430805,9.265203754130075,8.440732440520907,1.6583823962705635,117.89119229615591
16,8.945141085048547,8.120942962210192,8.7379503645412,7.985148131202536,1.7005925096996943,106.13062423546822
17,8.465846199161248,7.707979345979512,8.268636071415855,7.576987770109376,1.7288080678562912,95.59426991393143
18,8.03582796406129,7.335857612902461,7.847252346844145,7.208955146428516,1.7603447919469328,86.0937831086944
19,7.648128895582741,6.967756496622561,7.469599014773832,6.848985195523579,1.734144514965652,76.80142816838962
