n,DLC,cum_D30_UW,life_UW_yr,life_Sys_yr,vs_final_Sys_pct,cum_contrib_UW_pct
1,DLC1.2-d-s1,0.2324715364053867,129.04805665191472,113.82425209599418,2738.0115866827873,3.670704779760496
2,DLC1.2-d-s5,0.46422341605707074,64.62405592291763,56.95083209879278,1319.9708620206086,7.33004624370844
3,DLC1.2-d-s2,0.6870974867603956,43.661926550550156,38.53153086794093,860.7173255451622,10.84920789792813
4,DLC1.2-d-s3,0.9090138524668612,33.00279739256633,29.133331981471876,626.3894310710185,14.353247475854394
5,DLC1.2-d-s6,1.1300534673059923,26.547416443505938,23.4241392707472,484.04054877854475,17.843443235956133
6,DLC1.2-d-s4,1.3506734144418118,22.211142737563986,19.597976204005676,388.64176586545807,21.327012480535686
7,DLC1.2-c-s6,1.5505976023329628,19.347379329661855,16.99616149458405,323.76999947323986,24.483797536586867
8,DLC1.2-c-s5,1.7453096024632961,17.188927372919157,15.053261218183794,275.3271290422277,27.55828261379987
9,DLC1.2-c-s1,1.9399980498279947,15.463933070788332,13.509379760234589,236.8331052692504,30.632395794948824
10,DLC1.2-c-s2,2.13342678751851,14.061883995979269,12.260798367680852,205.7018797726346,33.6866182729449
11,DLC1.2-c-s4,2.3242713950413427,12.907270667273508,11.23359953303431,180.09044687610748,36.70003756658254
12,DLC1.2-c-s3,2.513328662779474,11.936361704013352,10.375518906511637,158.6956850785461,39.68523492478582
13,DLC1.2-e-s1,2.6866801351520495,11.166197124654062,9.713994345934449,142.20171008444754,42.42243917807086
14,DLC1.2-e-s2,2.8583000421240095,10.49574906688485,9.136467260810344,127.80206739825562,45.13230216846071
15,DLC1.2-e-s4,3.0260666641744294,9.913859583851762,8.63602397982819,115.32437653930656,47.78132213437547
16,DLC1.2-e-s5,3.193236389618828,9.39485723560261,8.18640797136209,104.11397613615941,50.420917156236335
17,DLC1.2-e-s6,3.359842012093242,8.928991271619186,7.7848230170783745,94.10114730304313,53.05160504262496
18,DLC1.2-e-s3,3.5166045964947754,8.530956261020338,7.440444952082035,85.51467367671297,55.526872237688686
19,DLC1.2-b-s5,3.6689316397954705,8.176767229621207,7.111139660091068,77.30401367221633,57.932102635252704
20,DLC1.2-b-s1,3.8192114337622374,7.855024661582439,6.813307437160576,69.87808041107458,60.305007148832765
21,DLC1.2-b-s6,3.96898045589732,7.558616207198607,6.54088638834835,63.085730988621556,62.66984662084722
22,DLC1.2-b-s3,4.118592534012755,7.28404175752995,6.289346686314446,56.81402196582992,65.03220796082029
23,DLC1.2-b-s2,4.267824875531017,7.029341848584474,6.057214651489828,51.02620968205651,67.38857329386775
24,DLC1.2-b-s4,4.41688845364388,6.792111758052291,5.841622377842773,45.65078784230992,69.74227386782933
25,DLC1.2-a-s5,4.542180032187013,6.604758020909028,5.666792001715102,41.291693677245746,71.72061669350767
26,DLC1.2-a-s4,4.666542238688593,6.4287428390299315,5.5033789826701,37.21727163691104,73.68428481772425
