DLC,dt,k,ksel,nbin,ScaleFactor,scr_eps_UW,scr_eps_Sys,D30_UW,D30_DW,life_UW_yr,life_DW_yr,life_Sys_yr,t_s,contrib_UW_pct,contrib_DW_pct
DLC1.2-a-s1,20,0.21,center,30,37800.0,1.9636440747641681,1.4986152509140038,0.12287198414423757,0.042473539246035794,244.15655211348627,706.3221133096415,193.01331887071282,5.723405800003093,1.9401376464015907,2.732501533639681
DLC1.2-a-s2,20,0.19,center,30,37800.0,1.8097823273530318,1.503523514491684,0.12288082039670324,0.042487914492106475,244.13899502907995,706.0831381962389,192.98748803609405,4.687691600003745,1.940277170038172,2.733426353719002
DLC1.2-a-s3,20,0.18,center,30,37800.0,1.7892853651474832,1.4825573498435467,0.12321826359001632,0.04271715907622181,243.4704006203081,702.2938942748951,192.34085048749586,4.410275299975183,1.945605367897337,2.748174622612846
DLC1.2-a-s4,20,0.19,center,30,37800.0,1.7737115377391939,1.5055203831685275,0.1243622065015799,0.04318010854787812,241.2308437098925,694.7643488838382,190.5032905422608,4.095516499946825,1.9636681242165759,2.7779581104915163
DLC1.2-a-s5,20,0.21,center,30,37800.0,1.8249205613471091,1.5050315779587244,0.12529157854313364,0.043612623226212247,239.4414720353453,687.8742387128245,188.9789048849489,4.432958899997175,1.9783428256783415,2.805783600028039
DLC1.2-a-s6,20,0.2,center,30,37800.0,1.8834140335398768,1.5169470389610709,0.12353291466794218,0.04268348429343843,242.8502563923172,702.8479632486748,192.0000008065975,4.315688200062141,1.950573680291871,2.7460081821128544
DLC1.2-b-s1,20,0.24,center,30,45700.0,2.226117762143774,1.517606148780412,0.150279793966767,0.045499704676701044,199.6276359457495,659.3449388993957,162.468289761007,5.033508999971673,2.3729045135800635,2.9271874917003093
DLC1.2-b-s2,20,0.23,center,30,45700.0,2.0477124115408056,1.488624343537772,0.14923234151826098,0.04471315744090719,201.0288098061439,670.9434474549898,163.96078260441794,4.899911399988923,2.356365333047449,2.8765855977626065
DLC1.2-b-s3,20,0.23,center,30,45700.0,2.224298462750487,1.48502517143571,0.1496120781154357,0.04505552246583842,200.5185702778154,665.845125261755,163.37387429331633,5.005626199999824,2.3623613399730825,2.898611380692304
DLC1.2-b-s4,20,0.24,center,30,45700.0,2.226447984378402,1.5009719601695553,0.14906357811286333,0.044885520689203616,201.25640602351254,668.3669820324919,163.978656405697,4.7433248000452295,2.353700573961582,2.887674450932691
DLC1.2-b-s5,20,0.23,center,30,45700.0,2.14813010450715,1.5206256817562862,0.15232704330069505,0.0458874678101146,196.94467475994864,653.7732725663137,160.45169641890843,4.847460999968462,2.4052303975640137,2.952133926010946
DLC1.2-b-s6,20,0.23,center,30,45700.0,2.1667545613136125,1.490329190811693,0.1497690221350825,0.04482428699287581,200.30844544702865,669.2800268026144,163.41030926696496,4.920363900018856,2.3648394720144505,2.8837350295400697
