DLC,k,dt_s,eps_UW_pct,eps_DW_pct,eps_Sys_pct
DLC1.2-a-s1,0.0,20.0,-5.739762324494102,-12.21761274639106,-6.62350458865153
DLC1.2-a-s1,0.05,20.0,-3.977413891817494,-9.78845996323734,-4.770556087129341
DLC1.2-a-s1,0.1,20.0,-2.182251013283343,-7.2916083702948224,-2.8799460887580786
DLC1.2-a-s1,0.15,20.0,-0.3537862268100156,-4.725508822320334,-0.9510348733349994
DLC1.2-a-s1,0.2,20.0,1.5084723731654037,-2.0885895351738126,1.016824472198219
DLC1.2-a-s1,0.25,20.0,3.405021129826924,0.6207439091651556,3.024286050180658
DLC1.2-a-s1,0.3,20.0,5.336360817993202,3.4169845232620677,5.073770942014066
DLC1.2-a-s1,0.35,20.0,7.302996638008685,6.290434255707011,7.1644016264078125
DLC1.2-a-s1,0.4,20.0,9.305438209519945,9.24581359644321,9.297273129386996
DLC1.2-a-s1,0.45,20.0,11.344199565140233,12.291679847609082,11.474012075919626
DLC1.2-a-s1,0.5,20.0,13.419799144008282,15.41977881200065,13.693946215568209
DLC1.2-a-s1,0.55,20.0,15.532759785246132,18.631882619006923,15.957779032527352
DLC1.2-a-s1,0.6,20.0,17.683608721320134,21.929786532557017,18.26622125770494
DLC1.2-a-s1,0.65,20.0,19.872877571310156,25.31530893092451,20.619990861163927
DLC1.2-a-s1,0.7,20.0,22.101102334090793,28.793266397903206,23.020222814148728
DLC1.2-a-s1,0.75,20.0,24.368823381429404,32.36779770254583,25.4679642514952
DLC1.2-a-s1,0.8,20.0,26.67658545100395,36.035855613038436,27.963275892093375
DLC1.2-a-s1,0.85,20.0,29.024937639346415,39.799357697327586,30.506905653042725
DLC1.2-a-s1,0.9,20.0,31.414433394713015,43.66024460034625,33.09960866067412
DLC1.2-a-s1,0.95,20.0,33.84563050988767,47.62048001603139,35.7421472408284
DLC1.2-a-s1,1.0,20.0,36.31909111491982,51.68205065825286,38.43529090883284
DLC1.2-a-s1,1.05,20.0,38.83538166980121,55.84696623071317,41.17981635919266
DLC1.2-a-s1,1.1,20.0,41.39507295708547,60.11725939586607,43.9765074550114
DLC1.2-a-s1,1.15,20.0,43.998740074452016,64.49498574290654,46.826155217154344
DLC1.2-a-s1,1.2,20.0,46.64696242721904,68.98222375487902,49.72955781316835
DLC1.2-a-s1,1.25,20.0,49.34032372080719,73.58107477494902,52.687520545971836
DLC1.2-a-s1,1.3,20.0,52.07941195315789,78.29366297188338,55.70085584232718
DLC1.2-a-s1,1.35,20.0,54.86481940710834,83.1221353047794,58.77038324110788
DLC1.2-a-s1,1.4,20.0,57.6971426427265,88.06866148708481,61.896929381372544
DLC1.2-a-s1,1.45,20.0,60.57698248960741,93.13543394994461,65.0813279902559
DLC1.2-a-s1,1.5,20.0,63.50494403913518,98.32466780491463,68.32441987068978
DLC1.2-a-s1,1.55,20.0,66.48163663671144,103.63860080607354,71.62705288896262
DLC1.2-a-s1,1.6,20.0,69.50767387395311,109.07949331157054,74.9900819621283
DLC1.2-a-s1,1.65,20.0,72.58367358086251,114.64962824463751,78.41436904527474
DLC1.2-a-s1,1.7,20.0,75.71025781797007,120.3513110540996,81.90078311865969
DLC1.2-a-s1,1.75,20.0,78.88805286845407,126.18686967441137,85.45020017472488
DLC1.2-a-s1,1.8,20.0,82.11768923023723,132.15865448524906,89.06350320499507
DLC1.2-a-s1,1.85,20.0,85.39980160806395,138.26903827068335,92.74158218687174
DLC1.2-a-s1,1.9,20.0,88.7350289055586,144.52041617796203,96.48533407032814
DLC1.2-a-s1,1.95,20.0,92.12401421726743,150.91520567592306,100.29566276451357
DLC1.2-a-s1,2.0,20.0,95.56740482068558,157.45584651306643,104.17347912427437
DLC1.2-a-s1,2.05,20.0,99.0658521682713,164.14480067530465,108.11970093659849
DLC1.2-a-s1,2.1,20.0,102.62001187944811,170.98455234341336,112.13525290698891
DLC1.2-a-s1,2.15,20.0,106.2305437325974,177.97760785020512,116.22106664577485
DLC1.2-a-s1,2.2,20.0,109.89811165704211,185.12649563744557,120.3780806543632
DLC1.2-a-s1,2.25,20.0,113.62338372502383,192.4337662125287,124.60724031143933
DLC1.2-a-s1,2.3,20.0,117.40703214367385,199.9019921049337,128.90949785912053
DLC1.2-a-s1,2.35,20.0,121.24973324697996,207.53376782247744,133.28581238906762
DLC1.2-a-s1,2.4,20.0,125.15216748775072,215.3317098073811,137.73714982856094
DLC1.2-a-s1,2.45,20.0,129.11501942957665,223.29845639216632,142.2644829265432
DLC1.2-a-s1,2.5,20.0,133.1389777387923,231.43666775539663,146.86879123963604
DLC1.2-a-s1,2.55,20.0,137.22473517643792,239.74902587727857,151.55106111813276
DLC1.2-a-s1,2.6,20.0,141.37298859022326,248.23823449513708,156.31228569197287
DLC1.2-a-s1,2.65,20.0,145.5844389064931,256.90701905877717,161.15346485669994
DLC1.2-a-s1,2.7,20.0,149.85979112219837,265.758126685747,166.0756052594098
DLC1.2-a-s1,2.75,20.0,154.19975429686968,274.7943261165136,171.07972028468916
DLC1.2-a-s1,2.8,20.0,158.6050415445989,284.01840766956127,176.16683004055096
DLC1.2-a-s1,2.85,20.0,163.07637002602476,293.43318319642805,181.33796134436656
DLC1.2-a-s1,2.9,20.0,167.61446094032814,303.0414860366859,186.5941477088006
DLC1.2-a-s1,2.95,20.0,172.22003951723454,312.84617097288105,191.93642932775035
DLC1.2-a-s1,3.0,20.0,176.89383500902562,322.8501141854375,197.36585306229077
DLC1.2-a-s2,0.0,20.0,-3.978211004093657,-8.742313534418455,-4.628760286171662
DLC1.2-a-s2,0.05,20.0,-2.4705109974496486,-6.6062065932100955,-3.0354774046395416
DLC1.2-a-s2,0.1,20.0,-0.9404270897907074,-4.416558490548783,-1.4154851661623669
DLC1.2-a-s2,0.15,20.0,0.6123007233907796,-2.173766234154728,0.2313931390673707
DLC1.2-a-s2,0.2,20.0,2.187934412814796,0.12113949485399456,1.9052488962046255
DLC1.2-a-s2,0.25,20.0,3.786737914443661,2.4661071546302704,3.606034854199036
DLC1.2-a-s2,0.3,20.0,5.408977128453629,4.862005079120202,5.334103830986625
DLC1.2-a-s2,0.35,20.0,7.054919918147373,7.309711513115014,7.08981180294348
DLC1.2-a-s2,0.4,20.0,8.724836108811274,9.810114619161393,8.873517905544404
DLC1.2-a-s2,0.45,20.0,10.418997486515892,12.36411248367868,10.685584433836848
DLC1.2-a-s2,0.5,20.0,12.137677796863077,14.972613122303269,12.526376842734921
DLC1.2-a-s2,0.55,20.0,13.881152743679515,17.636534484477128,14.396263747136429
DLC1.2-a-s2,0.6,20.0,15.64969998765855,20.356804457299837,16.295616921867783
DLC1.2-a-s2,0.65,20.0,17.443599144951214,23.134360868662828,18.224811301459944
DLC1.2-a-s2,0.7,20.0,19.263131785707422,25.970151489683914,20.184224979759357
DLC1.2-a-s2,0.75,20.0,21.10858143256975,28.865134036461583,22.174239209378797
DLC1.2-a-s2,0.8,20.0,22.980233559118624,31.820276171166938,24.19523840099018
DLC1.2-a-s2,0.85,20.0,24.87837558827266,34.83655550249165,26.24761012246537
DLC1.2-a-s2,0.9,20.0,26.80329689064356,37.91495958547073,28.331745097867376
DLC1.2-a-s2,0.95,20.0,28.755288782847344,41.0564859206976,30.448037206296497
DLC1.2-a-s2,1.0,20.0,30.73464452577317,44.2621419529498,32.59688348059528
DLC1.2-a-s2,1.05,20.0,32.74165932281039,47.532945069242636,34.77868410591562
DLC1.2-a-s2,1.1,20.0,34.77663031803549,50.86992259632841,36.993842418152845
DLC1.2-a-s2,1.15,20.0,36.83985659435975,54.274111797657845,39.24276490224936
DLC1.2-a-s2,1.2,20.0,38.93163917163862,57.74655986982171,41.525861190372204
DLC1.2-a-s2,1.25,20.0,41.052281004744,61.28832393848771,43.84354405996851
DLC1.2-a-s2,1.3,20.0,43.20208698160055,64.90047105384991,46.19622943170158
