bin,LoadCase,n_pts,rpm,rev,Fx_kN,Fy_kN,Fz_kN,Mx_kNm,My_kNm,Mz_kNm,MASTA_force_x_N,MASTA_force_y_N,MASTA_axial_N,MASTA_moment_x_Nm,MASTA_moment_y_Nm,MASTA_torque_Nm,P_UW_N,P_DW_N,L10_UW_cycles,L10_DW_cycles,dmg_UW,dmg_DW
0,DLC1.2-d-s1_b00,200,5.9841164000000004,1.9947054666666668,4034.231470338963,99.40685098769107,-5047.512181804283,33195.4805,-14663.963816513891,25701.81308862829,5047512.181804283,99406.85098769107,4034231.470338963,-25701813.08862829,-14663963.81651389,33195480.499999996,17925172.634021517,11806845.152370244,10219063.204179335,51990935.58020728,1.951945522610021e-07,3.836640838265742e-08
1,DLC1.2-d-s1_b01,200,5.93053205,1.9768440166666668,3966.872920877236,152.00551881264474,-4998.044318875948,32563.835499999997,-32664.542503074037,24533.926532964353,4998044.318875948,152005.51881264473,3966872.920877236,-24533926.532964353,-32664542.50307404,32563835.499999996,19940520.471817072,13487713.215154761,6201367.522543929,27890477.536489885,3.1877549741733813e-07,7.08788156846833e-08
2,DLC1.2-d-s1_b02,200,6.10300305,2.03433435,4225.043472807541,158.26654258811408,-4969.762524867456,34799.8105,-29634.645336635338,25277.19945617439,4969762.5248674555,158266.54258811407,4225043.472807541,-25277199.45617439,-29634645.336635336,34799810.5,19752607.949045748,13070585.750998132,6644816.662808947,32372597.753957324,3.061535710061308e-07,6.284124510061343e-08
3,DLC1.2-d-s1_b03,200,6.049964149999999,2.0166547166666664,4001.523690033062,162.89741443381692,-4970.155529381874,36571.1665,-33634.21941221,20192.604627992216,4970155.529381874,162897.4144338169,4001523.690033062,-20192604.627992216,-33634219.412209995,36571166.5,19808811.196927324,13228503.651704278,6454364.426272961,30883080.345767993,3.12448226266513e-07,6.529966227747145e-08
4,DLC1.2-d-s1_b04,200,6.116418599999999,2.0388062,4179.964385161475,146.33843240225806,-5042.530093887291,36552.4255,-22177.6624501566,29371.631578091085,5042530.093887291,146338.43240225807,4179964.385161475,-29371631.578091085,-22177662.4501566,36552425.5,19168532.407453425,12766959.687057069,7645576.40431624,36211555.67689613,2.666648127208578e-07,5.630264046625339e-08
5,DLC1.2-d-s1_b05,200,5.9897857,1.9965952333333332,3963.0968655954853,154.4760805415864,-5061.380248530291,33281.750499999995,-16224.022236078179,34521.034883010245,5061380.248530291,154476.08054158642,3963096.865595485,-34521034.883010246,-16224022.236078179,33281750.499999996,18895647.77976407,13057455.475407073,8046080.595072568,32406384.076235726,2.4814507010482236e-07,6.161116984345926e-08
6,DLC1.2-d-s1_b06,200,6.00019855,2.0000661833333337,4020.9847704412387,153.7112626700887,-5019.593439471521,33492.515,-25064.02348281448,22373.47451139275,5019593.439471521,153711.2626700887,4020984.770441239,-22373474.51139275,-25064023.48281448,33492515.0,18842354.38063733,12384794.185628695,8131214.23811268,41860968.39552689,2.4597386377530314e-07,4.7778784390163636e-08
7,DLC1.2-d-s1_b07,200,5.8396442,1.9465480666666668,3693.893431831086,111.88507404810336,-4953.384942365439,31770.394500000002,-33448.38549327562,16430.261437903628,4953384.94236544,111885.07404810336,3693893.431831086,-16430261.437903628,-33448385.493275624,31770394.500000004,19381048.364433736,13089578.924631245,6931874.577443351,32427319.265131228,2.808112069714629e-07,6.00280291673623e-08
8,DLC1.2-d-s1_b08,200,5.72546205,1.90848735,3792.080265624781,119.45526231968906,-4969.101541153614,30273.356499999998,-33388.518959434114,18954.28621727608,4969101.5411536135,119455.26231968905,3792080.265624781,-18954286.21727608,-33388518.959434114,30273356.499999996,19571560.620686874,13207467.172722083,6598824.471331659,30606487.911656737,2.89216262425429e-07,6.23556467997472e-08
9,DLC1.2-d-s1_b09,200,6.13157995,2.0438599833333333,4186.071478696741,124.98189511001294,-5026.856108044785,35241.771,-24499.38889134342,21965.39683452829,5026856.108044785,124981.89511001295,4186071.478696741,-21965396.83452829,-24499388.89134342,35241771.0,18863160.19092425,12205652.24554277,8222236.739149789,44989577.22361633,2.485771266596583e-07,4.542963302754604e-08
