index,t_s,rpm,rev,force_x_N,force_y_N,axial_load_N,moment_x_Nm,moment_y_Nm,Moment_z_Nm,bearing,stress_inner_MPa,stress_outer_MPa,s0_static,L10_basic_rev,L10m_mod_rev,L10r_rev,L10mr_rev,dmg_ISO281_basic,dmg_ISO281_mod,dmg_ISO16281_basic,dmg_ISO16281_mod,shaft_DIN743_SF_inf,shaft_SF_offset_m
0,-1.37845e-12,5.09167,0.012729175000000002,4965600.0,126450.0,3017070.0,-4814750.0,-13666500.0,23992200.0,Main Bearing_UW,1367.42727128442,1325.7028424076022,10.28885837153339,20638113.446799662,6578265.356979007,31603092.44918441,9150441.777796775,6.167799703598347e-10,1.935035196854043e-09,4.027825764351269e-10,1.3910995019810845e-09,,
0,-1.37845e-12,5.09167,0.012729175000000002,4965600.0,126450.0,3017070.0,-4814750.0,-13666500.0,23992200.0,Main Bearing_DW,1100.8315392472334,1067.2856178252919,24.67028414149639,380796724.03065944,206747297.04873496,350305815.06948936,135602030.707341,3.342774293135759e-11,6.156876138989837e-11,3.633732142720767e-11,9.387156618231154e-11,,
3,0.3,5.09208,0.025460400000000005,4945040.0,30276.5,2981310.0,-7795370.0,-13608900.0,23987300.0,Main Bearing_UW,1374.7365003388145,1332.7876485496129,10.137368570351578,19642502.663159117,6216153.2441052105,29959709.288859237,8626824.792578733,1.296189209522306e-09,4.095844970383275e-09,8.498213301911999e-10,2.951306026511914e-09,,
3,0.3,5.09208,0.025460400000000005,4945040.0,30276.5,2981310.0,-7795370.0,-13608900.0,23987300.0,Main Bearing_DW,1136.3681445667066,1101.6967003058576,22.54399923196238,281978438.7696917,143409728.19229683,263311154.2292936,98152684.1702858,9.029200995326811e-11,1.7753607318647434e-10,9.669320722292254e-11,2.593958607981476e-10,,
6,0.6,5.08415,0.025420750000000002,4967410.0,-26789.100000000002,2956620.0,-9458380.0,-11925900.0,24013000.0,Main Bearing_UW,1356.8596636947502,1315.4578309705792,10.470460571352463,21877548.272542574,7017093.061941854,33103603.209596664,9609197.652168065,1.1619560694515448e-09,3.6226895917731022e-09,7.679148955190044e-10,2.6454602059584518e-09,,
6,0.6,5.08415,0.025420750000000002,4967410.0,-26789.100000000002,2956620.0,-9458380.0,-11925900.0,24013000.0,Main Bearing_DW,1127.8342769336514,1093.441317719138,23.125253324895134,306950040.31687516,158394976.1579098,283118847.3786945,106242241.82054113,8.28172231994408e-11,1.6048962294521966e-10,8.978826466468932e-11,2.39271588818122e-10,,
9,0.9,5.07403,0.025370150000000005,5039440.0,72259.0,3003990.0,-11077200.0,-12044800.0,23956900.0,Main Bearing_UW,1368.303585582399,1326.5501344959805,10.22784329451054,20137883.65268811,6359645.146625129,30302473.755480133,8688757.995998386,1.2598220566545714e-09,3.9892398734641946e-09,8.372303266300782e-10,2.919882221565412e-09,,
9,0.9,5.07403,0.025370150000000005,5039440.0,72259.0,3003990.0,-11077200.0,-12044800.0,23956900.0,Main Bearing_DW,1160.9049057533348,1125.4863620045085,21.358345198868395,235507478.7575204,114382249.7918315,218746068.39948344,79099104.45176798,1.0772545370468353e-10,2.218014599832761e-10,1.15979913081994e-10,3.2073877670094084e-10,,
12,1.2,5.05975,0.025298750000000002,4989250.0,104972.0,3034320.0,-12841800.0,-8547310.0,23893200.0,Main Bearing_UW,1325.6820195061766,1285.2335112042774,11.185010833296634,23172108.675637055,7437161.743797681,37967030.675944224,11096384.969715305,1.0917759084480248e-09,3.4016673122778628e-09,6.663347001225777e-10,2.279909183850989e-09,,
12,1.2,5.05975,0.025298750000000002,4989250.0,104972.0,3034320.0,-12841800.0,-8547310.0,23893200.0,Main Bearing_DW,1145.9505540786672,1111.0554134935587,22.41541381012845,276652904.63298625,138060203.70215395,248950482.71033645,91070175.90405187,9.144581378446712e-11,1.832443334255728e-10,1.0162161456596202e-10,2.777940170737544e-10,,
15,1.5,5.06334,0.025316700000000004,5011680.0,-54318.0,2972300.0,-18448700.0,-7697730.0,23854700.0,Main Bearing_UW,1367.5237783422617,1325.72035905903,10.342368439024465,17310680.00654139,5329887.426044506,28620284.81786525,8129582.235074855,1.4624902078042738e-09,4.749950229021705e-09,8.845719097874564e-10,3.1141452620740843e-09,,
15,1.5,5.06334,0.025316700000000004,5011680.0,-54318.0,2972300.0,-18448700.0,-7697730.0,23854700.0,Main Bearing_DW,1261.7144861222296,1223.2234131633663,17.012423619086366,110323151.54389086,45975229.451924324,103993457.96738216,34203316.49077803,2.294776721450713e-10,5.506595682458385e-10,2.4344512140312383e-10,7.401826079300218e-10,,
18,1.8,5.0932,0.025466000000000006,5089920.0,42031.799999999996,2977080.0,-17982200.0,-14020400.0,23801300.0,Main Bearing_UW,1443.9732740255345,1399.4183603036133,8.910073839808039,12732195.484871978,3788266.3443000047,18987686.158575267,5219463.032458002,2.0001263749255156e-09,6.722336204875692e-09,1.341185007342192e-09,4.879045955807317e-09,,
18,1.8,5.0932,0.025466000000000006,5089920.0,42031.799999999996,2977080.0,-17982200.0,-14020400.0,23801300.0,Main Bearing_DW,1312.5639904628654,1272.5188627247273,15.043489254906527,73216331.64192809,28664632.8121913,71646427.96010146,22782517.536583696,3.478185731093995e-10,8.884118686205222e-10,3.5543991131255756e-10,1.1177869153006129e-09,,
