=== (a) 베어링 손상 ===
bearing,standard,life_basis,sample_damage,scale_factor,damage_30yr,SF_fatigue,equiv_life_years,note
Main Bearing_UW,ISO281,basic,5.401904063130598e-06,45040.0,0.24330175900340215,4.11012236038136,123.3036708114408,1501점 표본(1 DLC)
Main Bearing_UW,ISO281,modified,2.08483689409494e-05,45040.0,0.939010537100361,1.0649507758325831,31.948523274977493,1501점 표본(1 DLC)
Main Bearing_UW,ISO16281,basic,3.716807214993088e-06,45040.0,0.16740499696328867,5.973537338430205,179.20612015290615,1501점 표본(1 DLC)
Main Bearing_UW,ISO16281,modified,1.5270287369265443e-05,45040.0,0.6877737431117156,1.4539665260782852,43.618995782348556,1501점 표본(1 DLC)
Main Bearing_DW,ISO281,basic,9.403758947256856e-07,45040.0,0.04235453029844488,23.61022523337289,708.3067570011867,1501점 표본(1 DLC)
Main Bearing_DW,ISO281,modified,2.8903269514936183e-06,45040.0,0.13018032589527256,7.681652301319938,230.44956903959815,1501점 표본(1 DLC)
Main Bearing_DW,ISO16281,basic,8.83475742653812e-07,45040.0,0.039791747449127696,25.130839033356445,753.9251710006934,1501점 표본(1 DLC)
Main Bearing_DW,ISO16281,modified,3.123413036847203e-06,45040.0,0.14067852317959803,7.108405585999395,213.25216757998186,1501점 표본(1 DLC)

=== (b) 샤프트 임계점 (DIN743 무한수명 피로 SF 최소) ===
min_shaft_DIN743_SF_inf,crit_index,crit_t_s,crit_rpm,crit_force_x_N,crit_force_y_N,crit_axial_load_N,crit_moment_x_Nm,crit_moment_y_Nm,crit_Moment_z_Nm,crit_shaft_SF_offset_m
,,,,,,,,,,
