index,t_s,rpm,rev,force_x_N,force_y_N,axial_load_N,moment_x_Nm,moment_y_Nm,Moment_z_Nm,bearing,stress_inner_MPa,stress_outer_MPa,s0_static,L10_basic_rev,L10m_mod_rev,L10r_rev,L10mr_rev,dmg_ISO281_basic,dmg_ISO281_mod,dmg_ISO16281_basic,dmg_ISO16281_mod,shaft_DIN743_SF_inf,shaft_SF_offset_m
0,-1.37845e-12,5.09167,0.4243058333333333,4965600.0,126450.0,3017070.0,-4814750.0,-13666500.0,23992200.0,Main Bearing_UW,1367.42727128442,1325.7028424076022,10.28885837153339,20638113.446799662,34208281.92411289,31603092.44918441,40424953.31175001,2.055933234532782e-08,1.2403599639251296e-08,1.3426085881170894e-08,1.0496136632766466e-08,,
0,-1.37845e-12,5.09167,0.4243058333333333,4965600.0,126450.0,3017070.0,-4814750.0,-13666500.0,23992200.0,Main Bearing_DW,1100.8315392472334,1067.2856178252919,24.67028414149639,380796724.03065944,2800952309.3214407,350305815.06948936,971027189.7501825,1.1142580977119194e-09,1.5148627555037727e-10,1.2112440475735886e-09,4.369659653325414e-10,,
100,10.0,4.93432,0.8223866666666666,5038220.0,44046.4,2747460.0,-13840700.0,-20461000.0,22699400.0,Main Bearing_UW,1517.2059562289492,1470.385563038053,8.039417353890595,9068343.205728738,10910437.042122621,13666774.778320977,13860191.888759797,9.06876424953944e-08,7.537614336544227e-08,6.017415813211347e-08,5.933443586257977e-08,,
100,10.0,4.93432,0.8223866666666666,5038220.0,44046.4,2747460.0,-13840700.0,-20461000.0,22699400.0,Main Bearing_DW,1330.596031513506,1289.9975011509878,13.989760306231027,57475171.649697185,144574997.1214119,60764313.854195744,92609449.05852643,1.4308555208481913e-08,5.688304914687557e-09,1.3534040203926062e-08,8.880159368478076e-09,,
200,20.0,4.75097,0.7918283333333332,4906600.0,-61956.299999999996,2598880.0,28118.5,-16919300.0,20958000.0,Main Bearing_UW,1436.8080916174376,1392.5789404664447,9.485426828263083,15738703.689105952,22565003.65944098,23339618.57934244,26605830.85813247,5.0310899104188775e-08,3.509099069000327e-08,3.392636133454936e-08,2.976145858986768e-08,,
200,20.0,4.75097,0.7918283333333332,4906600.0,-61956.299999999996,2598880.0,28118.5,-16919300.0,20958000.0,Main Bearing_DW,1138.1123340115323,1103.3822384172404,20.99724735251651,222495165.89582586,1097171493.014037,239102301.57741347,549039235.7076766,3.5588563470366543e-09,7.216996963328894e-10,3.3116717325992166e-09,1.4422071900065883e-09,,
300,30.0,4.60145,0.7669083333333333,5090480.0,-28954.8,2426320.0,-3487290.0,-16618000.0,19721000.0,Main Bearing_UW,1467.6176977128819,1422.3941810991328,9.343603842595629,14967895.890467295,20678127.741954762,20797770.018339578,22667888.45359827,5.1236883189557685e-08,3.708789997352223e-08,3.687454629304342e-08,3.383236753185961e-08,,
300,30.0,4.60145,0.7669083333333333,5090480.0,-28954.8,2426320.0,-3487290.0,-16618000.0,19721000.0,Main Bearing_DW,1117.3151303514514,1083.2169770864375,20.900325831353616,219090167.54084536,1039784508.2200023,261924380.2250669,605485448.2403785,3.500423327716691e-09,7.375646850578653e-10,2.9279761306463444e-09,1.2666007673050959e-09,,
400,40.0,4.51521,0.752535,4937160.0,53131.9,2442050.0,-4123760.0,-22945400.0,18818900.0,Main Bearing_UW,1551.8008928914687,1503.9118676837106,8.041370000823434,9075687.142039355,10414389.298150469,12609309.551592007,12029470.935601119,8.291768856973858e-08,7.225915783018074e-08,5.968090456665706e-08,6.25576140487508e-08,,
400,40.0,4.51521,0.752535,4937160.0,53131.9,2442050.0,-4123760.0,-22945400.0,18818900.0,Main Bearing_DW,1266.8343838000956,1228.1749124706596,14.965108763760336,71952456.17304762,188253396.70718992,86505722.25310779,138446442.13118848,1.0458781256752831e-08,3.997457751960226e-09,8.699251106165576e-09,5.43556763478917e-09,,
500,50.0,4.52557,0.7542616666666667,4944760.0,45838.0,2526390.0,-4362930.0,-24361400.0,18952300.0,Main Bearing_UW,1566.611216775253,1518.1877386920646,7.7679131383792885,8087120.242450906,8941785.339883173,11397767.998424664,10624007.389870506,9.326702757644147e-08,8.435246855037132e-08,6.617626071796834e-08,7.099596592767997e-08,,
500,50.0,4.52557,0.7542616666666667,4944760.0,45838.0,2526390.0,-4362930.0,-24361400.0,18952300.0,Main Bearing_DW,1302.6024480463245,1262.8529428900856,14.060706759192776,58452514.95286535,139161673.22843307,68660380.16134012,102829003.77206722,1.2903835998757017e-08,5.4200387877526496e-09,1.0985398928673002e-08,7.3351062346045665e-09,,
600,60.0,4.5795,0.76325,4966040.0,-10209.099999999999,2532400.0,-8777710.0,-23632400.0,19230200.0,Main Bearing_UW,1562.3977680073378,1514.0676647484288,7.758166397624631,8053345.516064393,8947811.755716369,11495256.608771041,10795466.733883986,9.477427715941266e-08,8.530018521147281e-08,6.639695188862767e-08,7.070097280781471e-08,,
600,60.0,4.5795,0.76325,4966040.0,-10209.099999999999,2532400.0,-8777710.0,-23632400.0,19230200.0,Main Bearing_DW,1317.0218236825738,1276.8335409560962,13.764858466397742,54452588.87400096,126626747.79395752,62872942.457890905,92465633.44600677,1.4016780758874494e-08,6.02755747341733e-09,1.2139562268955138e-08,8.254418117901962e-09,,
700,70.0,4.68177,0.780295,4920460.0,-18678.0,2750610.0,-6583140.0,-23561600.0,20063000.0,Main Bearing_UW,1538.4762111279488,1490.9975682658808,7.871750437362877,8453121.051493159,9656594.326312875,12530245.887407715,12131868.318224048,9.230850892194058e-08,8.080436783740668e-08,6.227292002179768e-08,6.43177933960814e-08,,
700,70.0,4.68177,0.780295,4920460.0,-18678.0,2750610.0,-6583140.0,-23561600.0,20063000.0,Main Bearing_DW,1315.9443124996355,1275.7901968985816,14.216973692047171,60646149.33546675,150516626.346996,65924063.16641831,99685761.69616784,1.286635686766797e-08,5.1841116754845e-09,1.1836269831096849e-08,7.827547151400223e-09,,
800,80.0,4.7881,0.7980166666666667,5036730.0,-27499.8,2759520.0,-9392510.0,-15358100.0,21057600.0,Main Bearing_UW,1422.450769290931,1378.6289008100066,9.431968321240102,15444972.637077143,22090148.058721095,23668311.69804921,27153766.545481257,5.166837685105061e-08,3.612545577084139e-08,3.371667049375731e-08,2.9388801930296745e-08,,
800,80.0,4.7881,0.7980166666666667,5036730.0,-27499.8,2759520.0,-9392510.0,-15358100.0,21057600.0,Main Bearing_DW,1184.7160439053876,1148.5673758360663,19.480424568646765,173290235.34173903,746226642.554539,174556073.5939788,362875921.5282134,4.605087327009099e-09,1.0694025396022262e-09,4.571692352125603e-09,2.1991447195115737e-09,,
900,90.0,4.74603,0.7910050000000001,4875200.0,50631.5,2615670.0,-13471500.0,-8009690.0,20714900.0,Main Bearing_UW,1314.484337421721,1274.3778058098337,11.371607212979127,28181504.24183608,50638295.67560332,42938868.13339537,57431520.10120257,2.8068232029493136e-08,1.5620687652430073e-08,1.8421654654301476e-08,1.3773011729554362e-08,,
900,90.0,4.74603,0.7910050000000001,4875200.0,50631.5,2615670.0,-13471500.0,-8009690.0,20714900.0,Main Bearing_DW,1146.4047282400984,1111.497374615796,21.978841569337952,259096786.57700095,1396609792.100775,242550846.58615887,560712444.1958057,3.0529324985083184e-09,5.663750923657591e-10,3.2611924927626233e-09,1.410714187259547e-09,,
1000,100.0,4.66612,0.7776866666666666,5184480.0,-21786.6,2691310.0,-19215300.0,-22111400.0,20462100.0,Main Bearing_UW,1579.3763273729558,1530.0658284006565,7.312419751065081,6611749.765535634,6955742.2336401865,9805758.846195979,8939938.431548728,1.1762191465872337e-07,1.1180498651970253e-07,7.93091772768163e-08,8.699015911812522e-08,,
1000,100.0,4.66612,0.7776866666666666,5184480.0,-21786.6,2691310.0,-19215300.0,-22111400.0,20462100.0,Main Bearing_DW,1416.0446449945737,1372.83268720489,11.70419048662219,31713971.84182263,59159251.75279107,34290269.089635134,43069650.830724604,2.4521894341884245e-08,1.314564744524471e-08,2.2679514839436963e-08,1.805648877264378e-08,,
1100,110.0,4.57425,0.762375,4975690.0,-95604.1,2624590.0,-17472100.0,-10045900.0,19571000.0,Main Bearing_UW,1386.0113705243193,1343.3692033119942,9.914945393683736,18242336.14367666,27022664.956427667,27542903.861907955,32039264.771521505,4.179152242319918e-08,2.8212428390363474e-08,2.7679543298060538e-08,2.3795021684693788e-08,,
1100,110.0,4.57425,0.762375,4975690.0,-95604.1,2624590.0,-17472100.0,-10045900.0,19571000.0,Main Bearing_DW,1253.2616874121134,1215.0268778506504,16.972423434632688,109460869.17558047,355145384.4484067,107559402.18926103,186007624.77541643,6.964817708300069e-09,2.146656083350432e-09,7.0879438197186e-09,4.098622306050535e-09,,
1200,120.0,4.38215,0.7303583333333334,5106410.0,29246.9,2185940.0,-12382500.0,-8192719.999999999,17962200.0,Main Bearing_UW,1341.9460598890832,1301.0040282143711,11.192440557392052,27323019.173748925,46069628.448617026,41442054.82852826,52627677.70836272,2.673051351642128e-08,1.58533584473755e-08,1.7623603278246778e-08,1.3877837007755274e-08,,
1200,120.0,4.38215,0.7303583333333334,5106410.0,29246.9,2185940.0,-12382500.0,-8192719.999999999,17962200.0,Main Bearing_DW,1099.7020108325733,1066.3446555138462,23.317348068568116,315531859.82289,1773905860.1355975,328681762.1243259,795775304.1355218,2.3146896600022836e-09,4.117232767230978e-10,2.222083539448322e-09,9.177946708546666e-10,,
1300,130.0,4.13321,0.6888683333333333,4991510.0,-22361.7,1995930.0,-20983400.0,-11283000.0,15946300.0,Main Bearing_UW,1453.8734159685362,1409.013332375573,9.134414134072212,13879751.49868454,17543358.06675871,20716968.483895093,21296517.13523025,4.9631171955680984e-08,3.9266617640245646e-08,3.3251406153793405e-08,3.234652544165342e-08,,
1300,130.0,4.13321,0.6888683333333333,4991510.0,-22361.7,1995930.0,-20983400.0,-11283000.0,15946300.0,Main Bearing_DW,1307.9226525140275,1268.0193240710703,14.284968171249844,61618381.765702285,140619448.4932318,68517480.66286944,97214421.90931347,1.1179591439981109e-08,4.898812651555019e-09,1.0053906341402312e-08,7.086071385333593e-09,,
1400,140.0,3.99563,0.6659383333333333,5088450.0,43009.3,1980530.0,-11151100.0,-17533900.0,14921600.0,Main Bearing_UW,1533.1509399542883,1485.8423580510598,8.766699552293979,12103187.873559244,14313566.409421518,15267779.814870466,14371334.58487385,5.5021729836000433e-08,4.65249759762876e-08,4.361723455591917e-08,4.63379604309156e-08,,
1400,140.0,3.99563,0.6659383333333333,5088450.0,43009.3,1980530.0,-11151100.0,-17533900.0,14921600.0,Main Bearing_DW,1176.9459952016946,1141.0264488387813,16.755728846250097,104871410.84329124,298746769.8064751,146373727.9773688,253411976.20006678,6.350046480526912e-09,2.229106389216261e-09,4.5495755456627824e-09,2.627888165820467e-09,,
1500,150.0,3.96703,0.6611716666666666,4945900.0,-8878.69,2118140.0,259531.0,-22257600.0,14717000.0,Main Bearing_UW,1573.0848588282954,1524.5387791810167,8.207979891897038,9717778.096869143,10637721.822195025,12174362.452465827,10829789.808078261,6.803732911741232e-08,6.215350219886067e-08,5.430852492261319e-08,6.10512002895457e-08,,
1500,150.0,3.96703,0.6611716666666666,4945900.0,-8878.69,2118140.0,259531.0,-22257600.0,14717000.0,Main Bearing_DW,1205.1245274167804,1168.3423624590405,15.720477319639722,84787492.74804398,217071323.94338435,118810682.92493315,192136386.99145016,7.797985825945061e-09,3.0458729170468905e-09,5.564917652097055e-09,3.4411580077025594e-09,,
1600,160.0,4.05795,0.676325,5022130.0,27771.7,2190530.0,-18205200.0,-13817200.0,15357700.0,Main Bearing_UW,1464.8806883953268,1419.6805276989965,8.971615829581332,13072187.25021444,16012559.15833023,19463013.9390606,19518992.74906873,5.173770747423353e-08,4.2237158552395085e-08,3.474924295474473e-08,3.4649585083342383e-08,,
1600,160.0,4.05795,0.676325,5022130.0,27771.7,2190530.0,-18205200.0,-13817200.0,15357700.0,Main Bearing_DW,1284.9392282102956,1245.7355197972076,14.996398097759878,72455145.74079303,175509646.36151114,80223557.30082338,117761369.87365143,9.334395688327512e-09,3.8534918964335424e-09,8.43050374173645e-09,5.743182171926522e-09,,
1700,170.0,4.20008,0.7000133333333334,5026410.0,-23241.0,2309640.0,-17606300.0,-13189500.0,16441400.000000002,Main Bearing_UW,1445.895994697255,1401.283356584102,9.153088968744726,13974565.414709214,17869340.95153829,21165504.87761749,22047900.553047154,5.0091957249455503e-08,3.917398717903317e-08,3.307331138004636e-08,3.174965941310849e-08,,
1700,170.0,4.20008,0.7000133333333334,5026410.0,-23241.0,2309640.0,-17606300.0,-13189500.0,16441400.000000002,Main Bearing_DW,1274.0380591884677,1235.1673958415836,15.59389723991935,82533119.11596467,218022446.45414138,88422653.24174763,136455796.98130146,8.481605212929937e-09,3.210739741334723e-09,7.916674151583035e-09,5.1299640529691545e-09,,
1800,180.0,4.28927,0.7148783333333333,5052490.0,-37181.3,2384190.0,-6482930.0,-17725800.0,17233000.0,Main Bearing_UW,1488.113827446009,1442.19915526125,8.9946474406095,13184384.164552957,16716818.062482867,18342860.411155935,18682801.148691084,5.4221594608516374e-08,4.276401948393018e-08,3.897311091668951e-08,3.8263980205314e-08,,
1800,180.0,4.28927,0.7148783333333333,5052490.0,-37181.3,2384190.0,-6482930.0,-17725800.0,17233000.0,Main Bearing_DW,1165.9886092556383,1130.4056197431532,18.63708494211098,149522303.96904194,540344713.5321712,179562048.22101894,348652559.03616565,4.781081580185832e-09,1.3230042145878615e-09,3.981232896460422e-09,2.050403230395275e-09,,
