=== (a) 베어링 손상 ===
bearing,standard,life_basis,sample_damage,scale_factor,damage_30yr,SF_fatigue,equiv_life_years,note
Main Bearing_UW,ISO281,basic,5.355458563650585e-06,45040.0,0.24120985370682235,4.145767615345625,124.37302846036876,61점 표본(1 DLC)
Main Bearing_UW,ISO281,modified,4.726055913968023e-06,45040.0,0.21286155836511977,4.697889124182337,140.93667372547011,61점 표본(1 DLC)
Main Bearing_UW,ISO16281,basic,3.694349925040954e-06,45040.0,0.16639352062384458,6.009849399488562,180.29548198465687,61점 표본(1 DLC)
Main Bearing_UW,ISO16281,modified,3.853024551695072e-06,45040.0,0.17354022580834605,5.762352764853365,172.87058294560092,61점 표본(1 DLC)
Main Bearing_DW,ISO281,basic,9.026283971919116e-07,45040.0,0.0406543830095237,24.597593813334715,737.9278144000414,61점 표본(1 DLC)
Main Bearing_DW,ISO281,modified,4.3872089212026953e-07,45040.0,0.01975998898109694,50.60731566989401,1518.2194700968203,61점 표본(1 DLC)
Main Bearing_DW,ISO16281,basic,8.439081085399612e-07,45040.0,0.038009621208639856,26.30912827336182,789.2738482008547,61점 표본(1 DLC)
Main Bearing_DW,ISO16281,modified,6.229121563883604e-07,45040.0,0.028055963523731752,35.64304605522202,1069.2913816566606,61점 표본(1 DLC)

=== (b) 샤프트 임계점 (DIN743 무한수명 피로 SF 최소) ===
min_shaft_DIN743_SF_inf,crit_index,crit_t_s,crit_rpm,crit_force_x_N,crit_force_y_N,crit_axial_load_N,crit_moment_x_Nm,crit_moment_y_Nm,crit_Moment_z_Nm,crit_shaft_SF_offset_m
,,,,,,,,,,
