=== (a) 베어링 손상 ===
bearing,standard,life_basis,sample_damage,scale_factor,damage_30yr,SF_fatigue,equiv_life_years,note
Main Bearing_UW,ISO281,basic,5.355458563650585e-06,45040.0,0.24120985370682235,4.145767615345625,124.37302846036876,61점 표본(1 DLC)
Main Bearing_UW,ISO281,modified,4.525039824289676e-06,45040.0,0.20380779368600702,4.9065837076899665,147.19751123069898,61점 표본(1 DLC)
Main Bearing_UW,ISO16281,basic,3.694349925040954e-06,45040.0,0.16639352062384458,6.009849399488562,180.29548198465687,61점 표본(1 DLC)
Main Bearing_UW,ISO16281,modified,3.701872640703787e-06,45040.0,0.16673234373729856,5.997636556801407,179.92909670404222,61점 표본(1 DLC)
Main Bearing_DW,ISO281,basic,9.026283971919116e-07,45040.0,0.0406543830095237,24.597593813334715,737.9278144000414,61점 표본(1 DLC)
Main Bearing_DW,ISO281,modified,4.1503548983551e-07,45040.0,0.01869319846219137,53.495393098328655,1604.8617929498596,61점 표본(1 DLC)
Main Bearing_DW,ISO16281,basic,8.439081085399612e-07,45040.0,0.038009621208639856,26.30912827336182,789.2738482008547,61점 표본(1 DLC)
Main Bearing_DW,ISO16281,modified,5.944064466886644e-07,45040.0,0.026772066358857444,37.35236520766928,1120.5709562300783,61점 표본(1 DLC)

=== (b) 샤프트 임계점 (DIN743 무한수명 피로 SF 최소) ===
min_shaft_DIN743_SF_inf,crit_index,crit_t_s,crit_rpm,crit_force_x_N,crit_force_y_N,crit_axial_load_N,crit_moment_x_Nm,crit_moment_y_Nm,crit_Moment_z_Nm,crit_shaft_SF_offset_m
,,,,,,,,,,
