index,t_s,rpm,rev,force_x_N,force_y_N,axial_load_N,moment_x_Nm,moment_y_Nm,Moment_z_Nm,bearing,stress_inner_MPa,stress_outer_MPa,s0_static,L10_basic_rev,L10m_mod_rev,L10r_rev,L10mr_rev,dmg_ISO281_basic,dmg_ISO281_mod,dmg_ISO16281_basic,dmg_ISO16281_mod,shaft_DIN743_SF_inf,shaft_SF_offset_m
0,0.0,5.090543333333334,0.05090543333333335,4935421.666666666,49885.183333333334,2991678.3333333335,-7030626.666666667,-13128266.666666668,24001500.0,Main Bearing_UW,1363.345632572795,1321.745266493997,10.353794299853282,21075496.12687592,35218905.64116783,32113682.25151773,41244721.79420301,2.4153848159435575e-09,1.4454007700293032e-09,1.5851633872016496e-09,1.2342290387442534e-09,,
0,0.0,5.090543333333334,0.05090543333333335,4935421.666666666,49885.183333333334,2991678.3333333335,-7030626.666666667,-13128266.666666668,24001500.0,Main Bearing_DW,1114.5930186251726,1080.6191181005577,23.840154050310645,339737033.06164205,2319655750.2026286,313045035.9159159,832773216.6694341,1.498377520830855e-10,2.194525344068257e-11,1.626137695631966e-10,6.112760630910161e-11,,
1,0.6,5.076173333333333,0.050761733333333336,5021705.0,48802.2,2994748.333333333,-10734235.0,-11599260.0,23966050.0,Main Bearing_UW,1359.1666846938087,1317.6949725929721,10.408314765054461,21243785.0951052,35550199.67132702,32085687.65895294,41117994.5164848,2.3894862947483588e-09,1.4278888389556689e-09,1.5820678014725103e-09,1.2345381609743206e-09,,
1,0.6,5.076173333333333,0.050761733333333336,5021705.0,48802.2,2994748.333333333,-10734235.0,-11599260.0,23966050.0,Main Bearing_DW,1146.4325337116422,1111.4558745170089,22.148234933182497,265813134.6368072,1551238348.581427,245102923.24248555,596431822.8966811,1.909677390573323e-10,3.272336155159767e-11,2.0710374507901593e-10,8.510902903671307e-11,,
2,1.2,5.065665,0.050656650000000004,5017668.333333334,5929.5166666666655,2992825.0000000005,-16805983.333333332,-8774076.666666666,23855766.666666668,Main Bearing_UW,1363.9942949061924,1322.2948601452515,10.37621977472354,18108669.848923646,28436229.479415044,29549165.303392608,36957107.51018874,2.7973700124093303e-09,1.7814123365641813e-09,1.714317459728177e-09,1.3706876271643938e-09,,
2,1.2,5.065665,0.050656650000000004,5017668.333333334,5929.5166666666655,2992825.0000000005,-16805983.333333332,-8774076.666666666,23855766.666666668,Main Bearing_DW,1235.8631206420066,1198.160310185484,18.032216955565257,133950121.43137664,525569902.06858814,125443318.00233917,243320510.64287475,3.7817546903794093e-10,9.638422938722467e-11,4.0382103093809586e-10,2.0818898442289375e-10,,
3,1.8,5.0866533333333335,0.050866533333333346,5046296.666666666,85828.78333333334,3027254.9999999995,-16891800.0,-18810600.000000004,23823300.0,Main Bearing_UW,1498.5943699059271,1452.3478337221338,8.126211554728672,9398815.254243385,11637357.288071858,14143894.448822824,14667234.13465542,5.412015446347675e-09,4.370969462755165e-09,3.5963597944954188e-09,3.4680385453960276e-09,,
3,1.8,5.0866533333333335,0.050866533333333346,5046296.666666666,85828.78333333334,3027254.9999999995,-16891800.0,-18810600.000000004,23823300.0,Main Bearing_DW,1357.564091718662,1316.1452285821174,13.607358155693015,52403313.83386004,129106122.54460041,52467305.543574885,78047449.23932329,9.706739824622748e-10,3.9399009381418935e-10,9.69490100670177e-10,6.517385747913058e-10,,
4,2.4,5.06118,0.050611800000000005,4976748.333333333,-4157.625,2984148.333333333,-16500550.0,-24375200.0,23872116.666666668,Main Bearing_UW,1573.2728465720663,1524.1539672360877,7.262353360006086,6462054.543768556,7033282.551944888,9685466.429712433,9143069.837724885,7.83215301839345e-09,7.196042477492179e-09,5.225540800465373e-09,5.535536849032096e-09,,
4,2.4,5.06118,0.050611800000000005,4976748.333333333,-4157.625,2984148.333333333,-16500550.0,-24375200.0,23872116.666666668,Main Bearing_DW,1428.470247544482,1384.8448184800427,11.675356224807738,31454286.061515287,61675058.8979064,32629483.16352597,42305110.041615814,1.6090589340040426e-09,8.206202134931088e-10,1.5511063949849842e-09,1.1963519288854904e-09,,
