=== (a) 베어링 손상 ===
bearing,standard,life_basis,sample_damage,scale_factor,damage_30yr,SF_fatigue,equiv_life_years,note
Main Bearing_UW,ISO281,basic,5.127129243247689e-06,45040.0,0.23092590111587594,4.330393408308978,129.91180224926933,150점 표본(1 DLC)
Main Bearing_UW,ISO281,modified,4.406319649320622e-06,45040.0,0.19846063700540084,5.038782577185754,151.1634773155726,150점 표본(1 DLC)
Main Bearing_UW,ISO16281,basic,3.5143050188643448e-06,45040.0,0.15828429804965008,6.3177460577063895,189.5323817311917,150점 표본(1 DLC)
Main Bearing_UW,ISO16281,modified,3.586299887686683e-06,45040.0,0.1615269469414082,6.19091748426804,185.7275245280412,150점 표본(1 DLC)
Main Bearing_DW,ISO281,basic,8.18685094110072e-07,45040.0,0.03687357663871764,27.119690877775867,813.5907263332759,150점 표본(1 DLC)
Main Bearing_DW,ISO281,modified,3.6852651433029953e-07,45040.0,0.01659843420543669,60.24664661877912,1807.3993985633733,150점 표본(1 DLC)
Main Bearing_DW,ISO16281,basic,7.72736404655106e-07,45040.0,0.03480404766566598,28.7322902671029,861.968708013087,150점 표본(1 DLC)
Main Bearing_DW,ISO16281,modified,5.459341437235856e-07,45040.0,0.024588873833310296,40.668800319163466,1220.064009574904,150점 표본(1 DLC)

=== (b) 샤프트 임계점 (DIN743 무한수명 피로 SF 최소) ===
min_shaft_DIN743_SF_inf,crit_index,crit_t_s,crit_rpm,crit_force_x_N,crit_force_y_N,crit_axial_load_N,crit_moment_x_Nm,crit_moment_y_Nm,crit_Moment_z_Nm,crit_shaft_SF_offset_m
,,,,,,,,,,
