index,t_s,rpm,rev,force_x_N,force_y_N,axial_load_N,moment_x_Nm,moment_y_Nm,Moment_z_Nm,bearing,stress_inner_MPa,stress_outer_MPa,s0_static,L10_basic_rev,L10m_mod_rev,L10r_rev,L10mr_rev,dmg_ISO281_basic,dmg_ISO281_mod,dmg_ISO16281_basic,dmg_ISO16281_mod,shaft_DIN743_SF_inf,shaft_SF_offset_m
0,0.0,4.6895438,4.6895438,4974403.816666667,5032.006369999999,2589399.9833333334,-4188507.119433333,-19619271.583333332,20448371.833333336,Main Bearing_UW,1489.7646319,1443.7969933316956,8.702055945966242,11808251.70400952,15145440.351690486,17224759.6771803,18057606.079634346,3.971412464393568e-07,3.0963403447537053e-07,2.722559784803732e-07,2.5969908631958373e-07,,
0,0.0,4.6895438,4.6895438,4974403.816666667,5032.006369999999,2589399.9833333334,-4188507.119433333,-19619271.583333332,20448371.833333336,Main Bearing_DW,1210.459905702507,1173.5215477462013,17.51373416510164,121537008.68919066,424675170.3366232,135671874.99414036,255875499.71932486,3.8585315292666753e-08,1.104266066764107e-08,3.456533493181649e-08,1.8327443640145532e-08,,
1,60.0,4.657162866666667,4.657162866666667,4993780.583333333,17258.32533333333,2622923.2333333334,-12174842.943333333,-17152422.46666667,20103425.666666668,Main Bearing_UW,1463.7027110653376,1418.5401980230633,8.846485026238474,12474271.368833099,16250284.993563477,18897290.406685784,20182194.983375274,3.7334147454115546e-07,2.8658961172135183e-07,2.464460653586073e-07,2.3075601392727217e-07,,
1,60.0,4.657162866666667,4.657162866666667,4993780.583333333,17258.32533333333,2622923.2333333334,-12174842.943333333,-17152422.46666667,20103425.666666668,Main Bearing_DW,1251.004020014762,1212.8329173970242,16.51678530366448,99968791.86703122,314331291.8204966,105241261.52807745,182652621.02918777,4.6586167339715105e-08,1.4816096862943592e-08,4.425225238699915e-08,2.5497377702137957e-08,,
2,120.0,4.127989433333333,4.127989433333333,5003502.350000001,-2539.480556666667,2156520.883333334,-12267129.903666668,-16309439.233333332,15798238.833333334,Main Bearing_UW,1489.296350300199,1443.3444115797015,9.016423609772085,13291083.616799468,16534929.574878635,18333153.232156206,18309290.457739647,3.105833619251103e-07,2.4965267705796277e-07,2.251652719562106e-07,2.2545873325136758e-07,,
2,120.0,4.127989433333333,4.127989433333333,5003502.350000001,-2539.480556666667,2156520.883333334,-12267129.903666668,-16309439.233333332,15798238.833333334,Main Bearing_DW,1201.6081374183832,1164.9412394076746,17.029337859815058,110689197.32608293,332365181.9028851,135747953.10737446,235215524.93443555,3.729351673924018e-08,1.2420041743540708e-08,3.0409220462191126e-08,1.754981706451552e-08,,
3,180.0,4.725939266666667,4.725939266666667,5023009.6,21968.24451333333,2692740.0833333335,-17379564.952833336,-16696315.443333333,20658105.166666664,Main Bearing_UW,1479.7745847762444,1434.1119824969082,8.474802447126226,10811301.431659218,13502050.777274195,16455439.919295358,17090156.954582743,4.371295441663931e-07,3.5001640451693985e-07,2.8719616672934486e-07,2.765298925706707e-07,,
3,180.0,4.725939266666667,4.725939266666667,5023009.6,21968.24451333333,2692740.0833333335,-17379564.952833336,-16696315.443333333,20658105.166666664,Main Bearing_DW,1327.1128748328583,1286.6227207034024,14.261703921102194,61284514.78932785,153893329.70974347,63153061.37476142,94916784.05509083,7.711473743265479e-08,3.070918847217231e-08,7.48330985670213e-08,4.9790343338262235e-08,,
4,240.0,5.0713445,5.0713445,4969382.266666667,42135.14828666667,3029627.0833333335,-10316091.688666668,-28388419.333333336,23792024.0,Main Bearing_UW,1605.3344935716643,1555.2096797460676,6.958804608510153,5604817.893234407,5831543.068857625,8328640.545249668,7596778.24659839,9.048187820913212e-07,8.696402376041193e-07,6.089042350245861e-07,6.675651618856713e-07,,
4,240.0,5.0713445,5.0713445,4969382.266666667,42135.14828666667,3029627.0833333335,-10316091.688666668,-28388419.333333336,23792024.0,Main Bearing_DW,1436.0796626211104,1392.104787499058,11.415953266371224,29184570.469164673,55528253.60807863,30809981.109248064,39357048.5219932,1.737680020118231e-07,9.132908331304312e-08,1.6460070137718333e-07,1.2885479705537552e-07,,
