=== (a) 베어링 손상 ===,,,,,,,,,,
bearing,standard,life_basis,sample_damage,scale_factor,damage_30yr,SF_fatigue,equiv_life_years,note,,
Main Bearing_UW,ISO281,basic,4.84E-06,45040,0.217846712,4.590383716,137.7115115,10점 표본(1 DLC),,
Main Bearing_UW,ISO281,modified,4.02E-06,45040,0.181046934,5.523429628,165.7028888,10점 표본(1 DLC),,
Main Bearing_UW,ISO16281,basic,3.31E-06,45040,0.149000987,6.711364939,201.3409482,10점 표본(1 DLC),,
Main Bearing_UW,ISO16281,modified,3.29E-06,45040,0.148299613,6.743105946,202.2931784,10점 표본(1 DLC),,
Main Bearing_DW,ISO281,basic,7.05E-07,45040,0.031732649,31.5132849,945.398547,10점 표본(1 DLC),,
Main Bearing_DW,ISO281,modified,2.82E-07,45040,0.012709401,78.68191487,2360.457446,10점 표본(1 DLC),,
Main Bearing_DW,ISO16281,basic,6.67E-07,45040,0.03005997,33.26683249,998.0049747,10점 표본(1 DLC),,
Main Bearing_DW,ISO16281,modified,4.40E-07,45040,0.019817725,50.45987774,1513.796332,10점 표본(1 DLC),,
,,,,,,,,,,
=== (b) 샤프트 임계점 (DIN743 무한수명 피로 SF 최소) ===,,,,,,,,,,
min_shaft_DIN743_SF_inf,crit_index,crit_t_s,crit_rpm,crit_force_x_N,crit_force_y_N,crit_axial_load_N,crit_moment_x_Nm,crit_moment_y_Nm,crit_Moment_z_Nm,crit_shaft_SF_offset_m
