index,t_s,rpm,rev,force_x_N,force_y_N,axial_load_N,moment_x_Nm,moment_y_Nm,Moment_z_Nm,bearing,stress_inner_MPa,stress_outer_MPa,s0_static,L10_basic_rev,L10m_mod_rev,L10r_rev,L10mr_rev,dmg_ISO281_basic,dmg_ISO281_mod,dmg_ISO16281_basic,dmg_ISO16281_mod,shaft_DIN743_SF_inf,shaft_SF_offset_m
0,-1.37845e-12,5.09167,0.012729175000000002,4965600.0,126450.0,3017070.0,-4814750.0,-13666500.0,23992200.0,Main Bearing_UW,1367.42727128442,1325.7028424076022,10.28885837153339,20638113.446799662,34208281.92411289,31603092.44918441,40424953.31175001,6.167799703598347e-10,3.72107989177539e-10,4.027825764351269e-10,3.14884098982994e-10,,
0,-1.37845e-12,5.09167,0.012729175000000002,4965600.0,126450.0,3017070.0,-4814750.0,-13666500.0,23992200.0,Main Bearing_DW,1100.8315392472334,1067.2856178252919,24.67028414149639,380796724.03065944,2800952309.3214407,350305815.06948936,971027189.7501825,3.342774293135759e-11,4.5445882665113194e-12,3.633732142720767e-11,1.3108978959976243e-11,,
3,0.3,5.09208,0.025460400000000005,4945040.0,30276.5,2981310.0,-7795370.0,-13608900.0,23987300.0,Main Bearing_UW,1374.7365003388145,1332.7876485496129,10.137368570351578,19642502.663159117,31933762.308392502,29959709.288859237,37767208.69472237,1.296189209522306e-09,7.972878282903974e-10,8.498213301911999e-10,6.741403688527786e-10,,
3,0.3,5.09208,0.025460400000000005,4945040.0,30276.5,2981310.0,-7795370.0,-13608900.0,23987300.0,Main Bearing_DW,1136.3681445667066,1101.6967003058576,22.54399923196238,281978438.7696917,1711810361.7318826,263311154.2292936,658410723.9995483,9.029200995326811e-11,1.487337649612137e-11,9.669320722292254e-11,3.866947950868654e-11,,
6,0.6,5.08415,0.025420750000000002,4967410.0,-26789.100000000002,2956620.0,-9458380.0,-11925900.0,24013000.0,Main Bearing_UW,1356.8596636947502,1315.4578309705792,10.470460571352463,21877548.272542574,37076076.95036686,33103603.209596664,42833136.37834822,1.1619560694515448e-09,6.856375347917835e-10,7.679148955190044e-10,5.934832736845759e-10,,
6,0.6,5.08415,0.025420750000000002,4967410.0,-26789.100000000002,2956620.0,-9458380.0,-11925900.0,24013000.0,Main Bearing_DW,1127.8342769336514,1093.441317719138,23.125253324895134,306950040.31687516,1962109165.3183486,283118847.3786945,725796539.1388819,8.28172231994408e-11,1.2955828579433567e-11,8.978826466468932e-11,3.5024622782247404e-11,,
9,0.9,5.07403,0.025370150000000005,5039440.0,72259.0,3003990.0,-11077200.0,-12044800.0,23956900.0,Main Bearing_UW,1368.303585582399,1326.5501344959805,10.22784329451054,20137883.65268811,32988687.524660155,30302473.755480133,38226336.760277465,1.2598220566545714e-09,7.690560584150237e-10,8.372303266300782e-10,6.636824804610405e-10,,
9,0.9,5.07403,0.025370150000000005,5039440.0,72259.0,3003990.0,-11077200.0,-12044800.0,23956900.0,Main Bearing_DW,1160.9049057533348,1125.4863620045085,21.358345198868395,235507478.7575204,1276507770.2653997,218746068.39948344,511416239.7009588,1.0772545370468353e-10,1.9874653794489067e-11,1.15979913081994e-10,4.960763470247783e-11,,
12,1.2,5.05975,0.025298750000000002,4989250.0,104972.0,3034320.0,-12841800.0,-8547310.0,23893200.0,Main Bearing_UW,1325.6820195061766,1285.2335112042774,11.185010833296634,23172108.675637055,40062241.22875117,37967030.675944224,50826009.20134734,1.0917759084480248e-09,6.314861381705234e-10,6.663347001225777e-10,4.977520446230384e-10,,
12,1.2,5.05975,0.025298750000000002,4989250.0,104972.0,3034320.0,-12841800.0,-8547310.0,23893200.0,Main Bearing_DW,1145.9505540786672,1111.0554134935587,22.41541381012845,276652904.63298625,1649610662.8076284,248950482.71033645,607997641.1324117,9.144581378446712e-11,1.5336194515705703e-11,1.0162161456596202e-10,4.160994761900788e-11,,
