=== (a) 베어링 손상 ===
bearing,standard,life_basis,sample_damage,scale_factor,damage_30yr,SF_fatigue,equiv_life_years,note
Main Bearing_UW,ISO281,basic,5.3999286926048926e-06,45040.0,0.24321278831492435,4.111625901451978,123.34877704355935,2001점 표본(1 DLC)
Main Bearing_UW,ISO281,modified,4.799091330653882e-06,45040.0,0.21615107353265087,4.62639386266543,138.79181587996288,2001점 표본(1 DLC)
Main Bearing_UW,ISO16281,basic,3.7148307623265456e-06,45040.0,0.16731597753518762,5.976715521921351,179.30146565764053,2001점 표본(1 DLC)
Main Bearing_UW,ISO16281,modified,3.888893410710593e-06,45040.0,0.1751557592184051,5.7092042217868535,171.27612665360562,2001점 표본(1 DLC)
Main Bearing_DW,ISO281,basic,9.398936417072487e-07,45040.0,0.04233280962249448,23.622339478942305,708.6701843682691,2001점 표본(1 DLC)
Main Bearing_DW,ISO281,modified,4.7116301630883036e-07,45040.0,0.02122118225454972,47.12272803677584,1413.6818411032752,2001점 표본(1 DLC)
Main Bearing_DW,ISO16281,basic,8.831429978328192e-07,45040.0,0.039776760622390175,25.140307665906413,754.2092299771923,2001점 표본(1 DLC)
Main Bearing_DW,ISO16281,modified,6.664427876667887e-07,45040.0,0.03001658315651216,33.31491778347356,999.447533504207,2001점 표본(1 DLC)

=== (b) 샤프트 임계점 (DIN743 무한수명 피로 SF 최소) ===
min_shaft_DIN743_SF_inf,crit_index,crit_t_s,crit_rpm,crit_force_x_N,crit_force_y_N,crit_axial_load_N,crit_moment_x_Nm,crit_moment_y_Nm,crit_Moment_z_Nm,crit_shaft_SF_offset_m
,,,,,,,,,,
