index,t_s,rpm,rev,force_x_N,force_y_N,axial_load_N,moment_x_Nm,moment_y_Nm,Moment_z_Nm,bearing,stress_inner_MPa,stress_outer_MPa,s0_static,L10_basic_rev,L10m_mod_rev,L10r_rev,L10mr_rev,dmg_ISO281_basic,dmg_ISO281_mod,dmg_ISO16281_basic,dmg_ISO16281_mod,shaft_DIN743_SF_inf,shaft_SF_offset_m
0,-1.37845e-12,5.09167,0.042430583333333334,4965600.0,126450.0,3017070.0,-4814750.0,-13666500.0,23992200.0,Main Bearing_UW,1367.42727128442,1325.7028424076022,10.28885837153339,20638113.446799662,34208281.92411289,31603092.44918441,40424953.31175001,2.0559332345327823e-09,1.2403599639251297e-09,1.3426085881170895e-09,1.0496136632766467e-09,,
0,-1.37845e-12,5.09167,0.042430583333333334,4965600.0,126450.0,3017070.0,-4814750.0,-13666500.0,23992200.0,Main Bearing_DW,1100.8315392472334,1067.2856178252919,24.67028414149639,380796724.03065944,2800952309.3214407,350305815.06948936,971027189.7501825,1.1142580977119194e-10,1.514862755503773e-11,1.2112440475735887e-10,4.369659653325414e-11,,
10,1.0,5.07038,0.08450633333333334,5017970.0,69693.6,3031630.0,-12174300.0,-10711400.0,23942200.0,Main Bearing_UW,1353.8195654921406,1312.510320927596,10.526938296237255,20759542.647627957,34400851.26163615,32506959.56581739,41763690.96050975,4.0707223067358505e-09,2.4565186684079195e-09,2.599638184008933e-09,2.02344025132356e-09,,
10,1.0,5.07038,0.08450633333333334,5017970.0,69693.6,3031630.0,-12174300.0,-10711400.0,23942200.0,Main Bearing_DW,1161.4519510965642,1126.0183202482365,21.448446185696113,238835465.41788703,1304630505.2965143,219053913.66477793,512247186.54266614,3.538265692051798e-10,6.477415098777479e-11,3.8577869675798107e-10,1.6497178618724268e-10,,
20,2.0,5.08988,0.08483133333333333,5022810.0,133557.0,3022840.0,-15807000.0,-18493300.0,23798500.0,Main Bearing_UW,1486.1471216583138,1440.2869710224854,8.300249574574307,10086717.755970806,12805506.45360884,15199434.670724083,16052127.320928138,8.410201949302848e-09,6.6245980696395035e-09,5.581216352521884e-09,5.284740871867715e-09,,
20,2.0,5.08988,0.08483133333333333,5022810.0,133557.0,3022840.0,-15807000.0,-18493300.0,23798500.0,Main Bearing_DW,1337.849001231145,1297.031018912614,14.166135079437161,59926276.51500663,157224728.9598878,59751240.07397592,92371933.84313793,1.4155949320844258e-09,5.395546482702225e-10,1.419741803321682e-09,9.183669736458075e-10,,
30,3.0,5.04939,0.0841565,5005060.0,42324.5,2876640.0,-12708000.0,-26107300.0,23794500.0,Main Bearing_UW,1588.3397434914652,1538.748076684347,7.185441533599917,6236738.931995134,6701995.965759731,9259273.052948356,8643747.017932886,1.3493670477093116e-08,1.2556930865066569e-08,9.088888460115421e-09,9.73611326493052e-09,,
30,3.0,5.04939,0.0841565,5005060.0,42324.5,2876640.0,-12708000.0,-26107300.0,23794500.0,Main Bearing_DW,1411.6088585617392,1368.5249335967521,11.872844208759531,33263039.308316812,66682217.79194891,35596348.1882832,47191428.867674805,2.5300303805659217e-09,1.2620531048108135e-09,2.3641891453264502e-09,1.783300527644026e-09,,
40,4.0,5.08022,0.08467033333333333,4982680.0,42240.4,2966760.0,-4923150.0,-18420100.0,23649400.0,Main Bearing_UW,1448.6437200152566,1403.9474438846032,8.956524110973346,12999032.501334654,18054269.905321144,19893660.698334213,22495642.700196277,6.5135873246443496e-09,4.689767782211919e-09,4.2561464487238974e-09,3.763854825654507e-09,,
40,4.0,5.08022,0.08467033333333333,4982680.0,42240.4,2966760.0,-4923150.0,-18420100.0,23649400.0,Main Bearing_DW,1211.3476248094764,1174.3851196222308,18.46435849800474,144952856.2280455,595205999.3161136,144555358.6204433,293846940.02884495,5.841232490108829e-10,1.4225383048997958e-10,5.857294682215889e-10,2.881443425104982e-10,,
50,5.0,5.02709,0.08378483333333334,4924090.0,47203.4,2911710.0,-7450340.0,-7407130.0,23650800.0,Main Bearing_UW,1269.034340963888,1230.3243345734027,12.478101233228784,36717447.66964543,76565628.18338652,57513826.53431668,86375246.34997986,2.281880649416676e-09,1.0942878066990544e-09,1.4567772374411843e-09,9.700097756462476e-10,,
