=== (a) 베어링 손상 ===
bearing,standard,life_basis,sample_damage,scale_factor,damage_30yr,SF_fatigue,equiv_life_years,note
Main Bearing_UW,ISO281,basic,6.038035096125826e-06,45040.0,0.2719531007295072,3.6771046085428916,110.31313825628673,11점 표본(1 DLC)
Main Bearing_UW,ISO281,modified,5.589305608419937e-06,45040.0,0.251742324603234,3.972315746174506,119.16947238523517,11점 표본(1 DLC)
Main Bearing_UW,ISO16281,basic,4.154066822376838e-06,45040.0,0.1870991696798528,5.344759154789996,160.34277464369987,11점 표본(1 DLC)
Main Bearing_UW,ISO16281,modified,4.46446842658846e-06,45040.0,0.20107965793354424,4.973153476969285,149.19460430907856,11점 표본(1 DLC)
Main Bearing_DW,ISO281,basic,1.1554467669526376e-06,45040.0,0.0520413223835468,19.215499418518935,576.4649825555681,11점 표본(1 DLC)
Main Bearing_DW,ISO281,modified,6.552962811587725e-07,45040.0,0.029514544503391114,33.881600303372586,1016.4480091011775,11점 표본(1 DLC)
Main Bearing_DW,ISO16281,basic,1.0890026896629873e-06,45040.0,0.04904868114242095,20.387908027462245,611.6372408238673,11점 표본(1 DLC)
Main Bearing_DW,ISO16281,modified,8.935622736440023e-07,45040.0,0.040246044804925864,24.847162121073975,745.4148636322193,11점 표본(1 DLC)

=== (b) 샤프트 임계점 (DIN743 무한수명 피로 SF 최소) ===
min_shaft_DIN743_SF_inf,crit_index,crit_t_s,crit_rpm,crit_force_x_N,crit_force_y_N,crit_axial_load_N,crit_moment_x_Nm,crit_moment_y_Nm,crit_Moment_z_Nm,crit_shaft_SF_offset_m
,,,,,,,,,,
