index,t_s,rpm,rev,force_x_N,force_y_N,axial_load_N,moment_x_Nm,moment_y_Nm,Moment_z_Nm,bearing,stress_inner_MPa,stress_outer_MPa,s0_static,L10_basic_rev,L10m_mod_rev,L10r_rev,L10mr_rev,dmg_ISO281_basic,dmg_ISO281_mod,dmg_ISO16281_basic,dmg_ISO16281_mod,shaft_DIN743_SF_inf,shaft_SF_offset_m
0,0.0,5.090543333333334,0.05090543333333335,4937892.446465131,61563.08668316379,2994768.38908728,-7336655.086852604,-13220078.53136835,24001500.0,Main Bearing_UW,1365.7962858946557,1324.1209104861928,10.30411515632676,20740300.468253057,34440006.314471975,31574447.40531788,40364247.458968125,2.454421208181324e-09,1.4780901277576846e-09,1.6122351305112524e-09,1.2611515521274306e-09,,
0,0.0,5.090543333333334,0.05090543333333335,4937892.446465131,61563.08668316379,2994768.38908728,-7336655.086852604,-13220078.53136835,24001500.0,Main Bearing_DW,1121.5838275571489,1087.3728671612616,23.446413758540086,321391298.3606858,2117789164.7705705,296843243.75095403,774653604.0926852,1.583908263633324e-10,2.4037063830595317e-11,1.714892772699993e-10,6.571380171006427e-11,,
1,0.6,5.076173333333333,0.050761733333333336,5026383.215585295,54455.90838382207,2999254.148527335,-10932039.622646471,-11773958.202452116,23966050.0,Main Bearing_UW,1363.04536748409,1321.4529030806636,10.331198449682253,20734864.60569022,34367878.678975485,31298320.156359226,39838547.09621913,2.448134304161452e-09,1.4770109557092557e-09,1.6218676618981264e-09,1.274186360529972e-09,,
1,0.6,5.076173333333333,0.050761733333333336,5026383.215585295,54455.90838382207,2999254.148527335,-10932039.622646471,-11773958.202452116,23966050.0,Main Bearing_DW,1153.33448512564,1118.14708368461,21.76754140002946,250886501.49483314,1413363648.4023666,232072936.13690734,554020971.0967096,2.0232947181647692e-10,3.5915550389818797e-11,2.1873180982804192e-10,9.162420915736851e-11,,
2,1.2,5.065665,0.050656650000000004,5022939.538822831,16689.784167145277,2996718.11322241,-17229286.742197767,-9052499.34996492,23855766.666666668,Main Bearing_UW,1371.288709712378,1329.2792317955032,10.231545470210948,17364535.305059545,26831815.839808665,28260760.56420058,34924692.586794704,2.9172476608251105e-09,1.8879322332275383e-09,1.7924729904180108e-09,1.4504537119148095e-09,,
2,1.2,5.065665,0.050656650000000004,5022939.538822831,16689.784167145277,2996718.11322241,-17229286.742197767,-9052499.34996492,23855766.666666668,Main Bearing_DW,1247.4430043261157,1209.386816237771,17.556589088332377,122531151.18585128,458303482.2948075,115241105.3681862,217517224.68299752,4.1341854303780794e-10,1.1053079881992845e-10,4.3957101798144005e-10,2.328856947941725e-10,,
3,1.8,5.0866533333333335,0.050866533333333346,5050422.365849835,91404.73582901793,3032381.2884782753,-17005228.922568277,-19264338.52456564,23823300.0,Main Bearing_UW,1505.4249903737239,1458.9668306580625,8.035009335012177,9051779.87277943,11062583.31311505,13620307.174534302,13993260.48132551,5.619506223996841e-09,4.598070079438808e-09,3.734609849948009e-09,3.635073712893181e-09,,
3,1.8,5.0866533333333335,0.050866533333333346,5050422.365849835,91404.73582901793,3032381.2884782753,-17005228.922568277,-19264338.52456564,23823300.0,Main Bearing_DW,1365.1627237657071,1323.5120862591093,13.384795374536148,49600396.950990744,119162586.78920868,49782662.35895089,72933098.04559433,1.0255267389007723e-09,4.2686664249168345e-10,1.0217720572388707e-09,6.974410068462193e-10,,
4,2.4,5.06118,0.050611800000000005,4982121.895937649,-7543.668333515581,2992668.330754841,-16638291.403293453,-24546945.19229079,23872116.666666668,Main Bearing_UW,1576.382025819234,1527.1656316737688,7.225896847160547,6354556.178800029,6878478.051986916,9518742.79422743,8948574.676867843,7.96464750266121e-09,7.3579939657407625e-09,5.3170677151496465e-09,5.655850437369878e-09,,
4,2.4,5.06118,0.050611800000000005,4982121.895937649,-7543.668333515581,2992668.330754841,-16638291.403293453,-24546945.19229079,23872116.666666668,Main Bearing_DW,1432.5941622023397,1388.8198478465831,11.586499237413392,30663389.268435784,59483332.56272364,31806556.937523175,40950648.269683376,1.6505611808574168e-09,8.508568336622897e-10,1.5912379356060293e-09,1.2359218263577278e-09,,
