=== (a) 베어링 손상 ===
bearing,standard,life_basis,sample_damage,scale_factor,damage_30yr,SF_fatigue,equiv_life_years,note
Main Bearing_UW,ISO281,basic,5.5216967752828724e-06,45040.0,0.24869722275874057,4.0209536274962465,120.62860882488741,600점 표본(1 DLC)
Main Bearing_UW,ISO281,modified,4.912090936346552e-06,45040.0,0.2212405757730487,4.519966540973986,135.59899622921958,600점 표본(1 DLC)
Main Bearing_UW,ISO16281,basic,3.797243293090565e-06,45040.0,0.17102783792079904,5.847001354616247,175.41004063848743,600점 표본(1 DLC)
Main Bearing_UW,ISO16281,modified,3.976564875826859e-06,45040.0,0.17910448200724174,5.583333196315919,167.49999588947756,600점 표본(1 DLC)
Main Bearing_DW,ISO281,basic,9.620203118190725e-07,45040.0,0.04332939484433103,23.079020687749907,692.3706206324972,600점 표본(1 DLC)
Main Bearing_DW,ISO281,modified,4.775819811199241e-07,45040.0,0.021510292429641385,46.48937262340472,1394.6811787021416,600점 표본(1 DLC)
Main Bearing_DW,ISO16281,basic,9.046159696861675e-07,45040.0,0.04074390327466498,24.54354933200058,736.3064799600174,600점 표본(1 DLC)
Main Bearing_DW,ISO16281,modified,6.793306077989436e-07,45040.0,0.030597050575264417,32.68288874903617,980.4866624710851,600점 표본(1 DLC)

=== (b) 샤프트 임계점 (DIN743 무한수명 피로 SF 최소) ===
min_shaft_DIN743_SF_inf,crit_index,crit_t_s,crit_rpm,crit_force_x_N,crit_force_y_N,crit_axial_load_N,crit_moment_x_Nm,crit_moment_y_Nm,crit_Moment_z_Nm,crit_shaft_SF_offset_m
,,,,,,,,,,
