index,t_s,rpm,rev,force_x_N,force_y_N,axial_load_N,moment_x_Nm,moment_y_Nm,Moment_z_Nm,bearing,stress_inner_MPa,stress_outer_MPa,s0_static,L10_basic_rev,L10m_mod_rev,L10r_rev,L10mr_rev,dmg_ISO281_basic,dmg_ISO281_mod,dmg_ISO16281_basic,dmg_ISO16281_mod,shaft_DIN743_SF_inf,shaft_SF_offset_m
0,0.0,5.071105,0.33807366666666666,5004107.373899782,40514.192642310954,2992268.986219725,-13144101.90069635,-18070655.957039315,23855367.5,Main Bearing_UW,1468.3937465723625,1423.0836595057456,8.575555792091222,11245711.927364983,14807505.416536402,17077455.317748893,18542582.7944443,3.006245125699941e-08,2.283123707583589e-08,1.9796489604355802e-08,1.823228567532457e-08,,
0,0.0,5.071105,0.33807366666666666,5004107.373899782,40514.192642310954,2992268.986219725,-13144101.90069635,-18070655.957039315,23855367.5,Main Bearing_DW,1293.7345666252188,1254.2613179567743,15.50632160717538,80998191.516661,245122329.20958564,80652735.0694626,136140077.03457075,4.173842160378683e-09,1.379203876516714e-09,4.191719801882712e-09,2.4832780620567583e-09,,
1,4.0,5.028626,0.33524173333333335,4997637.101078559,36837.87950168086,2881107.175361821,-9360791.671359813,-18855680.234936252,23501905.0,Main Bearing_UW,1469.697194380145,1424.348578966459,8.654002724990997,11592295.870908681,15358403.957111305,17679151.67534887,19296823.526632827,2.8919356188504086e-08,2.1827901796925225e-08,1.896254636475468e-08,1.737289729942568e-08,,
1,4.0,5.028626,0.33524173333333335,4997637.101078559,36837.87950168086,2881107.175361821,-9360791.671359813,-18855680.234936252,23501905.0,Main Bearing_DW,1256.8823654172284,1218.5316248121019,16.57480697956597,101144195.33072978,340142571.9554704,103039290.35861461,186594526.1630203,3.3144930585203805e-09,9.855918105341468e-10,3.2535330180028306e-09,1.796632196168744e-09,,
2,8.0,4.93843825,0.32922921666666666,4990146.691324578,15307.478507094213,2741508.3859165986,-8226536.755724789,-18498568.879490525,22728629.999999996,Main Bearing_UW,1467.6400676187654,1422.3558790429495,8.794017858168413,12229363.176275345,16349919.679332573,18508717.778941296,20263971.521730844,2.6921206928040458e-08,2.0136442448878517e-08,1.778779170976687e-08,1.624702326064785e-08,,
2,8.0,4.93843825,0.32922921666666666,4990146.691324578,15307.478507094213,2741508.3859165986,-8226536.755724789,-18498568.879490525,22728629.999999996,Main Bearing_DW,1231.0028501902475,1193.4404113464323,17.283202637692668,116285823.12367468,414309714.03613013,121658374.60991946,229436594.7979147,2.831206830058021e-09,7.946451785051702e-10,2.7061779982043493e-09,1.434946404067094e-09,,
3,12.0,4.86523575,0.32434905,4968170.233540124,20734.664659561233,2697169.0428258856,-6982415.800921814,-20868015.666262586,22026242.5,Main Bearing_UW,1504.0704195411847,1457.6583321222422,8.35347207174011,10303927.20038914,12858105.815731365,15328512.215469249,15891575.010122215,3.1478196972097265e-08,2.522525904267892e-08,2.115985200916453e-08,2.041012610728668e-08,,
3,12.0,4.86523575,0.32434905,4968170.233540124,20734.664659561233,2697169.0428258856,-6982415.800921814,-20868015.666262586,22026242.5,Main Bearing_DW,1263.6189352859644,1225.0606309953425,15.868248713574157,87473404.12029828,266321366.89949852,94730225.064981,163526346.9222908,3.7079733350029138e-09,1.2178859465016164e-09,3.4239235658683386e-09,1.983466616264189e-09,,
4,16.0,4.79476875,0.31965125,4994118.287993191,7041.998887985637,2600756.1450556307,-5963696.942808364,-18554301.223439083,21416565.0,Main Bearing_UW,1474.9297629256523,1429.4213410992231,8.875562034640845,12611466.125828523,16766683.388861854,18593666.689870294,20092846.576529983,2.534608163799038e-08,1.906466786462641e-08,1.7191404757951473e-08,1.5908709041424606e-08,,
4,16.0,4.79476875,0.31965125,4994118.287993191,7041.998887985637,2600756.1450556307,-5963696.942808364,-18554301.223439083,21416565.0,Main Bearing_DW,1201.251560368824,1164.5951260695658,18.028580614112585,133860102.21845812,501322359.40983546,146849280.81295705,288353485.2541965,2.38795014124771e-09,6.376161844771864e-10,2.176730101982195e-09,1.1085395750226952e-09,,
