phase,D_pw_mm,alpha,D_we_mm,L_we_mm,T_mm,T_over_Dpw,B_over_Lax,Z,sigma_max,ok,warn,err,cda
A,3330.9,24.0,170.0,200.0,260.5,0.07819,1.3795,56,3282.7,1,,,LoadedTaperRollerBearingResults
A,3330.9,24.0,170.0,220.0,286.5,0.08601,1.3795,56,3163.3,1,,,LoadedTaperRollerBearingResults
A,3330.9,24.0,170.0,240.0,312.5,0.09383,1.3795,56,3061.7,1,,,LoadedTaperRollerBearingResults
A,3330.9,24.0,170.0,260.0,338.6,0.10165,1.3795,56,2973.7,1,,,LoadedTaperRollerBearingResults
A,3330.9,24.0,170.0,280.0,364.6,0.10947,1.3795,56,2897.4,1,,,LoadedTaperRollerBearingResults
A,3330.9,24.0,170.0,300.0,390.7,0.11729,1.3795,56,2828.6,1,,,LoadedTaperRollerBearingResults
A,3330.9,24.0,170.0,320.0,416.7,0.12511,1.3795,56,2768.0,1,,,LoadedTaperRollerBearingResults
A,3330.9,24.0,170.0,340.0,442.8,0.13293,1.3795,56,2714.2,1,,,LoadedTaperRollerBearingResults
A,3330.9,24.0,170.0,360.0,468.8,0.14075,1.3795,56,2666.3,1,,,LoadedTaperRollerBearingResults
A,3330.9,24.0,170.0,380.0,494.9,0.14857,1.3795,56,2623.6,1,,,LoadedTaperRollerBearingResults
A,3330.9,24.0,170.0,400.0,520.9,0.15639,1.3795,56,0.0,0,,,None
A,3330.9,24.0,170.0,420.0,546.9,0.1642,1.3795,56,0.0,0,,,None
A,3330.9,24.0,170.0,440.0,573.0,0.17202,1.3795,56,0.0,0,,,None
A,3330.9,24.0,170.0,460.0,599.0,0.17984,1.3795,56,0.0,0,,,None
A,3330.9,24.0,170.0,480.0,625.1,0.18766,1.3795,56,0.0,0,,,None
A,3330.9,24.0,170.0,500.0,651.1,0.19548,1.3795,56,0.0,0,,,None
A,3330.9,24.0,170.0,520.0,677.2,0.2033,1.3795,56,0.0,0,,,None
A,3330.9,24.0,170.0,540.0,703.2,0.21112,1.3795,56,0.0,0,,,None
A,3330.9,24.0,170.0,560.0,729.3,0.21894,1.3795,56,0.0,0,,,None
A,3900.0,24.0,170.0,200.0,260.5,0.06678,1.3795,66,2928.5,1,,,LoadedTaperRollerBearingResults
