D_pw_mm,alpha,D_we_mm,L_we_mm,prev,bore_cur_mm,bore_fix_mm,D_cur_mm,D_fix_mm,T_mm,sigma_cur,sigma_fix,verdict,err
3330.9,24.0,170.0,380.0,OK(대조),3005.0,2927.0,3650.0,3728.0,494.9,2623.6,2643.2,유지,
3330.9,24.0,170.0,400.0,FAIL,3005.0,2919.0,3650.0,3736.0,520.9,0.0,2607.5,복구,
3330.9,24.0,170.0,500.0,FAIL,3005.0,2878.0,3650.0,3777.0,651.1,0.0,2474.3,복구,
3900.0,24.0,170.0,460.0,OK(대조),3544.0,3448.0,4248.0,4344.0,599.0,2155.2,2166.2,유지,
3900.0,24.0,170.0,480.0,FAIL,3544.0,3440.0,4248.0,4353.0,625.1,0.0,2138.8,복구,
3900.0,24.0,170.0,560.0,FAIL,3544.0,3407.0,4248.0,4385.0,729.3,0.0,2047.9,복구,
3900.0,30.0,170.0,440.0,FAIL,3553.0,3423.0,4240.0,4369.0,573.0,0.0,2170.3,복구,
3900.0,30.0,170.0,500.0,FAIL,3553.0,3393.0,4240.0,4399.0,651.1,0.0,2089.0,복구,
4500.0,24.0,170.0,560.0,FAIL,4114.0,3990.0,4877.0,5001.0,729.3,0.0,1822.6,복구,
4500.0,30.0,200.0,500.0,FAIL,4096.0,3950.0,4895.0,5041.0,651.1,0.0,1858.2,복구,
4500.0,30.0,110.0,415.0,FAIL(프로브),4174.0,4070.0,4817.0,4920.0,540.4,1998.6,2005.6,유지,
4200.0,30.0,110.0,415.0,FAIL(프로브),3889.0,3779.0,4502.0,4613.0,540.4,0.0,2119.2,복구,
3330.9,19.0,110.50999999999999,238.048,v1.3기준선,3055.0,3055.0,3600.0,3600.0,310.0,3138.5,3138.5,유지,
4500.0,30.0,200.0,560.0,신규최대,4096.0,3920.0,4895.0,5071.0,729.3,0.0,1787.4,복구,
3330.9,30.0,230.0,575.0,신규최대2,2961.0,2750.0,3694.0,3905.0,748.8,0.0,2336.7,복구,
