series,alpha,z1,z2,span,a_mm,T_mm,L_eff_meas,L_eff_appx,sigma_max,governing,Myz_max_UW,My_min_UW,Mz_min_UW,Myz_max_DW,My_min_DW,Mz_min_DW
A_동일Leff,30.0,0.3,4.3,4.0,1477.34,384.17,6.57051,6.59808,2203.8,Myz_max/UW,2203.8,2136.8,2065.6,1838.3,1805.3,1832.6
A_동일Leff,30.0,0.5,4.5,4.0,1477.34,384.17,6.57051,6.59808,2209.2,Myz_max/UW,2209.2,2142.4,2068.7,1841.9,1809.0,1833.2
A_동일Leff,30.0,0.7,4.7,4.0,1477.34,384.17,6.57051,6.59808,2214.6,Myz_max/UW,2214.6,2148.0,2071.8,1845.6,1812.7,1833.7
A_동일Leff,30.0,1.0,5.0,4.0,1477.34,384.17,6.57051,6.59808,2222.8,Myz_max/UW,2222.8,2156.5,2076.4,1851.1,1818.3,1834.5
B_z1경로,30.0,0.3,5.0,4.7,1477.34,384.17,7.27051,7.29808,2145.0,Myz_max/UW,2145.0,2081.0,2005.8,1754.3,1722.2,1751.7
B_z1경로,30.0,0.5,5.0,4.5,1477.34,384.17,7.07051,7.09808,2166.0,Myz_max/UW,2166.0,2101.3,2024.8,1780.4,1748.1,1773.9
B_z1경로,30.0,0.7,5.0,4.3,1477.34,384.17,6.87051,6.89808,2187.9,Myz_max/UW,2187.9,2122.6,2044.8,1807.8,1775.3,1797.4
B_z1경로,30.0,1.0,5.0,4.0,1477.34,384.17,6.57051,6.59808,2222.8,Myz_max/UW,2222.8,2156.5,2076.4,1851.1,1818.3,1834.5
C_z2경로,30.0,0.3,3.0,2.7,1477.34,384.17,5.27051,5.29808,2350.2,Myz_max/UW,2350.2,2276.6,2215.2,2037.5,2000.5,2024.0
C_z2경로,30.0,0.3,3.5,3.2,1477.34,384.17,5.77051,5.79808,2287.0,Myz_max/UW,2287.0,2216.0,2150.9,1953.4,1918.1,1943.2
C_z2경로,30.0,0.3,4.0,3.7,1477.34,384.17,6.27051,6.29808,2232.7,Myz_max/UW,2232.7,2164.3,2095.4,1878.8,1845.0,1871.4
C_z2경로,30.0,0.3,4.5,4.2,1477.34,384.17,6.77051,6.79808,2185.9,Myz_max/UW,2185.9,2119.8,2047.4,1813.0,1780.3,1808.2
C_z2경로,30.0,0.3,5.0,4.7,1477.34,384.17,7.27051,7.29808,2145.0,Myz_max/UW,2145.0,2081.0,2005.8,1754.3,1722.2,1751.7
D_alpha경로,12.0,0.3,5.0,4.7,656.07,384.17,5.62797,5.6565,2216.5,Myz_max/UW,2216.5,2104.4,2104.8,1901.3,1916.9,1847.2
D_alpha경로,18.0,0.3,5.0,4.7,909.03,384.17,6.1339,6.16214,2178.4,Myz_max/UW,2178.4,2094.5,2053.5,1837.7,1826.5,1806.3
D_alpha경로,24.0,0.3,5.0,4.7,1179.89,384.17,6.67561,6.70353,2154.9,Myz_max/UW,2154.9,2084.0,2022.1,1790.5,1766.0,1774.9
D_alpha경로,30.0,0.3,5.0,4.7,1477.34,384.17,7.27051,7.29808,2145.0,Myz_max/UW,2145.0,2081.0,2005.8,1754.3,1722.2,1751.7
