idx,S_rank,z1,z2,D_pw_mm,alpha,D_we_mm,L_we_mm,Z,bore_mm,D_mm,T_mm,B_mm,C_mm,L_eff_m,S_index,mass_brg_kg,mass_shaft_kg,mass_total_kg,Myz_max_UW,Myz_max_DW,My_min_UW,My_min_DW,Mz_min_UW,Mz_min_DW,sigma_max_MPa,governing,feasible,t_s,warn
0.30_5.00_4500_30_110_415,1,0.3,5.0,4500.0,30.0,110.0,415.0,118,4174.0,4817.0,540.4378999999999,523.0033733459999,441.06758332699997,7.29808,357.387,16612.4,126804.1,160028.8,1909.1,1527.8,1850.4,1501.2,1786.4,1526.8,1909.1,Myz_max/UW,1,2.91,
0.50_5.00_4500_30_110_415,2,0.5,5.0,4500.0,30.0,110.0,415.0,118,4174.0,4817.0,540.4378999999999,523.0033733459999,441.06758332699997,7.09808,347.593,16612.4,126804.1,160028.8,1926.0,1550.3,1866.9,1523.5,1801.7,1545.8,1926.0,Myz_max/UW,1,0.53,
0.70_5.00_4500_30_110_415,3,0.7,5.0,4500.0,30.0,110.0,415.0,118,4174.0,4817.0,540.4378999999999,523.0033733459999,441.06758332699997,6.89808,337.799,16612.4,126804.1,160028.8,1943.7,1573.9,1884.2,1547.0,1817.8,1566.1,1943.7,Myz_max/UW,1,0.55,
0.30_4.50_4500_30_110_415,4,0.3,4.5,4500.0,30.0,110.0,415.0,118,4174.0,4817.0,540.4378999999999,523.0033733459999,441.06758332699997,6.79808,332.902,16612.4,115276.5,148501.2,1940.7,1578.4,1880.7,1551.4,1819.3,1575.5,1940.7,Myz_max/UW,1,0.55,
0.30_5.00_4500_24_110_415,5,0.3,5.0,4500.0,24.0,110.0,415.0,118,4168.0,4822.0,540.4378999999999,523.0033733459999,441.06758332699997,6.70353,328.272,16626.6,126439.8,159693.0,1920.0,1559.3,1855.4,1539.4,1802.6,1546.7,1920.0,Myz_max/UW,1,0.55,
0.50_5.00_4500_30_140_500,6,0.5,5.0,4500.0,30.0,140.0,500.0,92,4148.0,4843.0,651.13,630.1245462,531.4067269,7.09808,326.512,21588.8,125229.3,168406.9,,,,,,,0.0,,0,0.16,sigma=0 (해석 무효)
0.30_5.00_4200_30_110_415,7,0.3,5.0,4200.0,30.0,110.0,415.0,110,3889.0,4502.0,540.4378999999999,523.0033733459999,441.06758332699997,7.12487,325.25,14814.9,110079.0,139708.8,,,,,,,0.0,,0,0.13,sigma=0 (해석 무효)
0.50_4.50_4500_30_110_415,8,0.5,4.5,4500.0,30.0,110.0,415.0,118,4174.0,4817.0,540.4378999999999,523.0033733459999,441.06758332699997,6.59808,323.108,16612.4,115276.5,148501.2,1959.6,1603.3,1899.1,1576.1,1836.5,1597.0,1959.6,Myz_max/UW,1,0.55,
1.00_5.00_4500_30_110_415,9,1.0,5.0,4500.0,30.0,110.0,415.0,118,4174.0,4817.0,540.4378999999999,523.0033733459999,441.06758332699997,6.59808,323.108,16612.4,126804.1,160028.8,1971.8,1611.1,1911.7,1584.0,1843.4,1598.1,1971.8,Myz_max/UW,1,0.54,
0.50_5.00_4500_24_110_415,10,0.5,5.0,4500.0,24.0,110.0,415.0,118,4168.0,4822.0,540.4378999999999,523.0033733459999,441.06758332699997,6.50353,318.478,16626.6,126439.8,159693.0,1939.5,1584.2,1874.5,1564.1,1820.4,1568.2,1939.5,Myz_max/UW,1,0.57,
