rank_mass,S_rank,z1,z2,D_pw_mm,alpha,D_we_mm,L_we_mm,slenderness,Z,bore_mm,D_mm,T_mm,t_i_mm,t_o_mm,c12_margin,L_eff_m,mass_brg_kg,mass_shaft_kg,mass_total_kg,Myz_max_UW,Myz_max_DW,sigma_max_MPa
1,389,0.3,3.0,4500.0,31.0,170.0,400.0,2.353,76,3990.0,4998.0,520.904,78.9,73.19,2.153,5.38293,23899.8,73736.0,121535.5,2090.5,1808.7,2090.5
2,1095,0.3,3.0,4500.0,31.0,200.0,400.0,2.0,65,3965.0,5024.0,520.904,78.9,73.19,1.83,5.38434,24658.3,72814.9,122131.4,2088.0,1812.6,2088.0
3,985,0.5,3.0,4200.0,31.0,200.0,475.0,2.375,60,3597.0,4790.0,618.5735,93.7,86.91,2.173,5.00758,31323.7,59925.9,122573.3,2099.3,1814.6,2099.3
4,193,0.3,4.0,4200.0,31.0,170.0,400.0,2.353,71,3690.0,4698.0,520.904,78.9,73.19,2.153,6.20293,22305.0,81083.2,125693.2,2092.3,1745.4,2092.3
5,765,0.3,4.0,4200.0,31.0,200.0,400.0,2.0,60,3665.0,4724.0,520.904,78.9,73.19,1.83,6.20443,22956.1,79988.3,125900.5,2094.1,1758.2,2094.1
6,1635,0.3,4.0,4200.0,31.0,230.0,400.0,1.739,52,3639.0,4750.0,520.904,78.9,73.19,1.591,6.20616,23638.6,78857.4,126134.5,2097.5,1770.3,2097.5
7,732,0.5,4.5,3900.0,23.0,200.0,475.0,2.375,56,3343.0,4444.0,618.5735,93.7,86.91,2.173,5.63808,26696.8,73945.0,127338.5,2098.6,1725.5,2098.6
8,1272,0.5,3.5,4200.0,23.0,200.0,475.0,2.375,60,3643.0,4744.0,618.5735,93.7,86.91,2.173,4.76514,28730.4,70249.6,127710.4,2094.1,1813.9,2094.1
9,1514,0.5,4.5,3900.0,23.0,230.0,475.0,2.065,49,3315.0,4471.0,618.5735,93.7,86.91,1.889,5.63938,27648.2,72711.5,128007.9,2082.9,1731.0,2082.9
10,2317,0.5,3.5,4200.0,23.0,230.0,475.0,2.065,52,3615.0,4771.0,618.5735,93.7,86.91,1.889,4.76635,29687.7,69173.9,128549.3,2096.6,1825.3,2096.6
11,500,0.5,4.5,3900.0,27.0,200.0,475.0,2.375,56,3319.0,4468.0,618.5735,93.7,86.91,2.173,5.97062,27970.9,72887.0,128828.8,2085.9,1698.7,2085.9
12,1142,0.5,4.5,3900.0,27.0,230.0,475.0,2.065,49,3292.0,4494.0,618.5735,93.7,86.91,1.889,5.97218,28835.5,71706.0,129376.9,2070.4,1704.2,2070.4
13,1365,0.7,4.5,3900.0,27.0,230.0,475.0,2.065,49,3292.0,4494.0,618.5735,93.7,86.91,1.889,5.77218,28835.5,71706.0,129376.9,2093.3,1734.6,2093.3
14,860,0.5,3.5,4200.0,27.0,200.0,475.0,2.375,60,3619.0,4768.0,618.5735,93.7,86.91,2.173,5.12313,30102.6,69327.1,129532.3,2065.9,1771.5,2065.9
15,1084,0.7,3.5,4200.0,27.0,200.0,475.0,2.375,60,3619.0,4768.0,618.5735,93.7,86.91,2.173,4.92313,30102.6,69327.1,129532.3,2094.9,1808.9,2094.9
